group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,rustorm,1,,,1470917.0,ns,11
bench_medium_complex_query,rustorm,1,,,2829483.0,ns,22
bench_medium_complex_query,rustorm,1,,,4252847.0,ns,33
bench_medium_complex_query,rustorm,1,,,4336290.0,ns,44
bench_medium_complex_query,rustorm,1,,,5996164.0,ns,55
bench_medium_complex_query,rustorm,1,,,7009326.0,ns,66
bench_medium_complex_query,rustorm,1,,,7057247.0,ns,77
bench_medium_complex_query,rustorm,1,,,8917801.0,ns,88
bench_medium_complex_query,rustorm,1,,,11117106.0,ns,99
bench_medium_complex_query,rustorm,1,,,10421791.0,ns,110
bench_medium_complex_query,rustorm,1,,,12205518.0,ns,121
bench_medium_complex_query,rustorm,1,,,12582850.0,ns,132
bench_medium_complex_query,rustorm,1,,,13588836.0,ns,143
bench_medium_complex_query,rustorm,1,,,15709236.0,ns,154
bench_medium_complex_query,rustorm,1,,,14884181.0,ns,165
bench_medium_complex_query,rustorm,1,,,15465527.0,ns,176
bench_medium_complex_query,rustorm,1,,,18265512.0,ns,187
bench_medium_complex_query,rustorm,1,,,19819894.0,ns,198
bench_medium_complex_query,rustorm,1,,,19472416.0,ns,209
bench_medium_complex_query,rustorm,1,,,25215321.0,ns,220
bench_medium_complex_query,rustorm,1,,,20834488.0,ns,231
bench_medium_complex_query,rustorm,1,,,21061985.0,ns,242
bench_medium_complex_query,rustorm,1,,,22691625.0,ns,253
bench_medium_complex_query,rustorm,1,,,22739407.0,ns,264
bench_medium_complex_query,rustorm,1,,,24222738.0,ns,275
bench_medium_complex_query,rustorm,1,,,24564696.0,ns,286
bench_medium_complex_query,rustorm,1,,,25534706.0,ns,297
bench_medium_complex_query,rustorm,1,,,34431832.0,ns,308
bench_medium_complex_query,rustorm,1,,,27001738.0,ns,319
bench_medium_complex_query,rustorm,1,,,28441741.0,ns,330
bench_medium_complex_query,rustorm,1,,,30317688.0,ns,341
bench_medium_complex_query,rustorm,1,,,37283605.0,ns,352
bench_medium_complex_query,rustorm,1,,,37928335.0,ns,363
bench_medium_complex_query,rustorm,1,,,34271422.0,ns,374
bench_medium_complex_query,rustorm,1,,,34103216.0,ns,385
bench_medium_complex_query,rustorm,1,,,43135336.0,ns,396
bench_medium_complex_query,rustorm,1,,,37679649.0,ns,407
bench_medium_complex_query,rustorm,1,,,36023509.0,ns,418
bench_medium_complex_query,rustorm,1,,,39408495.0,ns,429
bench_medium_complex_query,rustorm,1,,,41917921.0,ns,440
bench_medium_complex_query,rustorm,1,,,39241686.0,ns,451
bench_medium_complex_query,rustorm,1,,,40699650.0,ns,462
bench_medium_complex_query,rustorm,1,,,41483032.0,ns,473
bench_medium_complex_query,rustorm,1,,,51703699.0,ns,484
bench_medium_complex_query,rustorm,1,,,55735417.0,ns,495
bench_medium_complex_query,rustorm,1,,,56133552.0,ns,506
bench_medium_complex_query,rustorm,1,,,45730651.0,ns,517
bench_medium_complex_query,rustorm,1,,,52035132.0,ns,528
bench_medium_complex_query,rustorm,1,,,49823647.0,ns,539
bench_medium_complex_query,rustorm,1,,,62280974.0,ns,550
bench_medium_complex_query,rustorm,1,,,46327112.0,ns,561
bench_medium_complex_query,rustorm,1,,,63271462.0,ns,572
bench_medium_complex_query,rustorm,1,,,51027085.0,ns,583
bench_medium_complex_query,rustorm,1,,,54136552.0,ns,594
bench_medium_complex_query,rustorm,1,,,58717452.0,ns,605
bench_medium_complex_query,rustorm,1,,,69153058.0,ns,616
bench_medium_complex_query,rustorm,1,,,71553111.0,ns,627
bench_medium_complex_query,rustorm,1,,,67839830.0,ns,638
bench_medium_complex_query,rustorm,1,,,68643962.0,ns,649
bench_medium_complex_query,rustorm,1,,,67518379.0,ns,660
bench_medium_complex_query,rustorm,1,,,74823665.0,ns,671
bench_medium_complex_query,rustorm,1,,,58089674.0,ns,682
bench_medium_complex_query,rustorm,1,,,69348497.0,ns,693
bench_medium_complex_query,rustorm,1,,,61328051.0,ns,704
bench_medium_complex_query,rustorm,1,,,62984238.0,ns,715
bench_medium_complex_query,rustorm,1,,,65292861.0,ns,726
bench_medium_complex_query,rustorm,1,,,69199582.0,ns,737
bench_medium_complex_query,rustorm,1,,,71006662.0,ns,748
bench_medium_complex_query,rustorm,1,,,71369777.0,ns,759
bench_medium_complex_query,rustorm,1,,,72339664.0,ns,770
bench_medium_complex_query,rustorm,1,,,75086388.0,ns,781
bench_medium_complex_query,rustorm,1,,,69611490.0,ns,792
