group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,postgres_by_id,10,,,1973951.0,ns,13
bench_medium_complex_query,postgres_by_id,10,,,3105142.0,ns,26
bench_medium_complex_query,postgres_by_id,10,,,4082375.0,ns,39
bench_medium_complex_query,postgres_by_id,10,,,4990958.0,ns,52
bench_medium_complex_query,postgres_by_id,10,,,5296101.0,ns,65
bench_medium_complex_query,postgres_by_id,10,,,6033833.0,ns,78
bench_medium_complex_query,postgres_by_id,10,,,6987872.0,ns,91
bench_medium_complex_query,postgres_by_id,10,,,9521633.0,ns,104
bench_medium_complex_query,postgres_by_id,10,,,10240641.0,ns,117
bench_medium_complex_query,postgres_by_id,10,,,9378244.0,ns,130
bench_medium_complex_query,postgres_by_id,10,,,10201197.0,ns,143
bench_medium_complex_query,postgres_by_id,10,,,13719104.0,ns,156
bench_medium_complex_query,postgres_by_id,10,,,11994410.0,ns,169
bench_medium_complex_query,postgres_by_id,10,,,16198953.0,ns,182
bench_medium_complex_query,postgres_by_id,10,,,14083987.0,ns,195
bench_medium_complex_query,postgres_by_id,10,,,15041513.0,ns,208
bench_medium_complex_query,postgres_by_id,10,,,20028232.0,ns,221
bench_medium_complex_query,postgres_by_id,10,,,18640450.0,ns,234
bench_medium_complex_query,postgres_by_id,10,,,17065297.0,ns,247
bench_medium_complex_query,postgres_by_id,10,,,18634111.0,ns,260
bench_medium_complex_query,postgres_by_id,10,,,19762965.0,ns,273
bench_medium_complex_query,postgres_by_id,10,,,25257788.0,ns,286
bench_medium_complex_query,postgres_by_id,10,,,21301421.0,ns,299
bench_medium_complex_query,postgres_by_id,10,,,21590262.0,ns,312
bench_medium_complex_query,postgres_by_id,10,,,21671031.0,ns,325
bench_medium_complex_query,postgres_by_id,10,,,22554740.0,ns,338
bench_medium_complex_query,postgres_by_id,10,,,24519033.0,ns,351
bench_medium_complex_query,postgres_by_id,10,,,32342173.0,ns,364
bench_medium_complex_query,postgres_by_id,10,,,25972660.0,ns,377
bench_medium_complex_query,postgres_by_id,10,,,26909745.0,ns,390
bench_medium_complex_query,postgres_by_id,10,,,28868397.0,ns,403
bench_medium_complex_query,postgres_by_id,10,,,37134177.0,ns,416
bench_medium_complex_query,postgres_by_id,10,,,29685071.0,ns,429
bench_medium_complex_query,postgres_by_id,10,,,39465187.0,ns,442
bench_medium_complex_query,postgres_by_id,10,,,32338763.0,ns,455
bench_medium_complex_query,postgres_by_id,10,,,41489312.0,ns,468
bench_medium_complex_query,postgres_by_id,10,,,33563932.0,ns,481
bench_medium_complex_query,postgres_by_id,10,,,33982995.0,ns,494
bench_medium_complex_query,postgres_by_id,10,,,46469931.0,ns,507
bench_medium_complex_query,postgres_by_id,10,,,35292613.0,ns,520
bench_medium_complex_query,postgres_by_id,10,,,48336821.0,ns,533
bench_medium_complex_query,postgres_by_id,10,,,37301091.0,ns,546
bench_medium_complex_query,postgres_by_id,10,,,40648297.0,ns,559
bench_medium_complex_query,postgres_by_id,10,,,39622973.0,ns,572
bench_medium_complex_query,postgres_by_id,10,,,39502347.0,ns,585
bench_medium_complex_query,postgres_by_id,10,,,53241206.0,ns,598
bench_medium_complex_query,postgres_by_id,10,,,43330276.0,ns,611
bench_medium_complex_query,postgres_by_id,10,,,43536050.0,ns,624
bench_medium_complex_query,postgres_by_id,10,,,55595220.0,ns,637
bench_medium_complex_query,postgres_by_id,10,,,57670401.0,ns,650
bench_medium_complex_query,postgres_by_id,10,,,57070056.0,ns,663
bench_medium_complex_query,postgres_by_id,10,,,53156486.0,ns,676
bench_medium_complex_query,postgres_by_id,10,,,55695298.0,ns,689
bench_medium_complex_query,postgres_by_id,10,,,51326566.0,ns,702
bench_medium_complex_query,postgres_by_id,10,,,64240891.0,ns,715
bench_medium_complex_query,postgres_by_id,10,,,60820848.0,ns,728
bench_medium_complex_query,postgres_by_id,10,,,52302299.0,ns,741
bench_medium_complex_query,postgres_by_id,10,,,51532355.0,ns,754
bench_medium_complex_query,postgres_by_id,10,,,51118585.0,ns,767
bench_medium_complex_query,postgres_by_id,10,,,71284728.0,ns,780
bench_medium_complex_query,postgres_by_id,10,,,58925437.0,ns,793
bench_medium_complex_query,postgres_by_id,10,,,66869560.0,ns,806
bench_medium_complex_query,postgres_by_id,10,,,61573660.0,ns,819
bench_medium_complex_query,postgres_by_id,10,,,58671268.0,ns,832
bench_medium_complex_query,postgres_by_id,10,,,56803769.0,ns,845
bench_medium_complex_query,postgres_by_id,10,,,77189759.0,ns,858
bench_medium_complex_query,postgres_by_id,10,,,77538977.0,ns,871
bench_medium_complex_query,postgres_by_id,10,,,61187453.0,ns,884
bench_medium_complex_query,postgres_by_id,10,,,62923879.0,ns,897
bench_medium_complex_query,postgres_by_id,10,,,63458223.0,ns,910
bench_medium_complex_query,postgres_by_id,10,,,68231741.0,ns,923
bench_medium_complex_query,postgres_by_id,10,,,66706966.0,ns,936
bench_medium_complex_query,postgres_by_id,10,,,81833218.0,ns,949
bench_medium_complex_query,postgres_by_id,10,,,77165206.0,ns,962
bench_medium_complex_query,postgres_by_id,10,,,84935022.0,ns,975
bench_medium_complex_query,postgres_by_id,10,,,78975035.0,ns,988
bench_medium_complex_query,postgres_by_id,10,,,79752844.0,ns,1001
bench_medium_complex_query,postgres_by_id,10,,,89206141.0,ns,1014
bench_medium_complex_query,postgres_by_id,10,,,70922539.0,ns,1027
bench_medium_complex_query,postgres_by_id,10,,,72218077.0,ns,1040
bench_medium_complex_query,postgres_by_id,10,,,94400752.0,ns,1053
bench_medium_complex_query,postgres_by_id,10,,,73893597.0,ns,1066
bench_medium_complex_query,postgres_by_id,10,,,77745873.0,ns,1079
bench_medium_complex_query,postgres_by_id,10,,,82730637.0,ns,1092
bench_medium_complex_query,postgres_by_id,10,,,94355768.0,ns,1105
bench_medium_complex_query,postgres_by_id,10,,,78756479.0,ns,1118
bench_medium_complex_query,postgres_by_id,10,,,102345647.0,ns,1131
bench_medium_complex_query,postgres_by_id,10,,,81403909.0,ns,1144
bench_medium_complex_query,postgres_by_id,10,,,101535836.0,ns,1157
bench_medium_complex_query,postgres_by_id,10,,,87359004.0,ns,1170
bench_medium_complex_query,postgres_by_id,10,,,105023497.0,ns,1183
bench_medium_complex_query,postgres_by_id,10,,,82142095.0,ns,1196
bench_medium_complex_query,postgres_by_id,10,,,86992080.0,ns,1209
bench_medium_complex_query,postgres_by_id,10,,,84405277.0,ns,1222
bench_medium_complex_query,postgres_by_id,10,,,88484056.0,ns,1235
bench_medium_complex_query,postgres_by_id,10,,,88185166.0,ns,1248
bench_medium_complex_query,postgres_by_id,10,,,114067335.0,ns,1261
bench_medium_complex_query,postgres_by_id,10,,,94621928.0,ns,1274
bench_medium_complex_query,postgres_by_id,10,,,82049811.0,ns,1287
bench_medium_complex_query,postgres_by_id,10,,,117737064.0,ns,1300
