group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_as_macro,10,,,1780726.0,ns,6
bench_medium_complex_query,sqlx_query_as_macro,10,,,2690155.0,ns,12
bench_medium_complex_query,sqlx_query_as_macro,10,,,3808641.0,ns,18
bench_medium_complex_query,sqlx_query_as_macro,10,,,6909305.0,ns,24
bench_medium_complex_query,sqlx_query_as_macro,10,,,6565115.0,ns,30
bench_medium_complex_query,sqlx_query_as_macro,10,,,7274531.0,ns,36
bench_medium_complex_query,sqlx_query_as_macro,10,,,7940428.0,ns,42
bench_medium_complex_query,sqlx_query_as_macro,10,,,9193461.0,ns,48
bench_medium_complex_query,sqlx_query_as_macro,10,,,9989011.0,ns,54
bench_medium_complex_query,sqlx_query_as_macro,10,,,11989618.0,ns,60
bench_medium_complex_query,sqlx_query_as_macro,10,,,12669243.0,ns,66
bench_medium_complex_query,sqlx_query_as_macro,10,,,13377662.0,ns,72
bench_medium_complex_query,sqlx_query_as_macro,10,,,16852731.0,ns,78
bench_medium_complex_query,sqlx_query_as_macro,10,,,15643044.0,ns,84
bench_medium_complex_query,sqlx_query_as_macro,10,,,16445842.0,ns,90
bench_medium_complex_query,sqlx_query_as_macro,10,,,17615747.0,ns,96
bench_medium_complex_query,sqlx_query_as_macro,10,,,21575278.0,ns,102
bench_medium_complex_query,sqlx_query_as_macro,10,,,18971417.0,ns,108
bench_medium_complex_query,sqlx_query_as_macro,10,,,20481459.0,ns,114
bench_medium_complex_query,sqlx_query_as_macro,10,,,21829203.0,ns,120
bench_medium_complex_query,sqlx_query_as_macro,10,,,23023171.0,ns,126
bench_medium_complex_query,sqlx_query_as_macro,10,,,24296996.0,ns,132
bench_medium_complex_query,sqlx_query_as_macro,10,,,25393096.0,ns,138
bench_medium_complex_query,sqlx_query_as_macro,10,,,27714773.0,ns,144
bench_medium_complex_query,sqlx_query_as_macro,10,,,26917482.0,ns,150
bench_medium_complex_query,sqlx_query_as_macro,10,,,29522650.0,ns,156
bench_medium_complex_query,sqlx_query_as_macro,10,,,33180392.0,ns,162
bench_medium_complex_query,sqlx_query_as_macro,10,,,29529326.0,ns,168
bench_medium_complex_query,sqlx_query_as_macro,10,,,36095630.0,ns,174
bench_medium_complex_query,sqlx_query_as_macro,10,,,32533148.0,ns,180
bench_medium_complex_query,sqlx_query_as_macro,10,,,33646773.0,ns,186
bench_medium_complex_query,sqlx_query_as_macro,10,,,39607069.0,ns,192
bench_medium_complex_query,sqlx_query_as_macro,10,,,35450027.0,ns,198
bench_medium_complex_query,sqlx_query_as_macro,10,,,37046449.0,ns,204
bench_medium_complex_query,sqlx_query_as_macro,10,,,44064285.0,ns,210
bench_medium_complex_query,sqlx_query_as_macro,10,,,38396627.0,ns,216
bench_medium_complex_query,sqlx_query_as_macro,10,,,39138884.0,ns,222
bench_medium_complex_query,sqlx_query_as_macro,10,,,40887261.0,ns,228
bench_medium_complex_query,sqlx_query_as_macro,10,,,41024279.0,ns,234
bench_medium_complex_query,sqlx_query_as_macro,10,,,49276409.0,ns,240
bench_medium_complex_query,sqlx_query_as_macro,10,,,45702535.0,ns,246
bench_medium_complex_query,sqlx_query_as_macro,10,,,45118091.0,ns,252
bench_medium_complex_query,sqlx_query_as_macro,10,,,44832561.0,ns,258
