group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60630095.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60293554.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54995209.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60020622.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54396143.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54309039.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,63618883.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,58410066.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,59970208.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60024258.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55702741.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,57222764.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60074151.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54720569.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,56214859.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54444945.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54706582.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60061988.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54423204.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54524513.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54132291.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54629328.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,59877977.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,64427709.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,59351587.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,56691027.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54696246.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54515697.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54564571.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,61690805.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54320887.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54608053.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,59995770.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,53968631.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54734107.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54529436.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,58393616.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54631900.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54525499.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60202494.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,59359122.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54391529.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54440890.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54501263.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54726141.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54490643.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,61178445.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54604372.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60096266.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54583635.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60046484.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55851879.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55903551.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54295324.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54739207.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54455298.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54621551.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54875630.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54922762.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55904853.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54749987.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60184649.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54353118.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55354742.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54707247.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54580280.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60262055.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54662020.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54718949.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,61549615.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54413246.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55518021.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,57181071.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54676684.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54567358.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55109079.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,54584315.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60574789.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55069973.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55138992.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55249327.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60148926.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,55299651.0,ns,5
bench_trivial_query,diesel_async_queryable_by_name,10000,,,60129780.0,ns,5
