group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sea-orm,1,,,1620294.0,ns,3
bench_insert,sea-orm,1,,,2553756.0,ns,6
bench_insert,sea-orm,1,,,4221561.0,ns,9
bench_insert,sea-orm,1,,,7010117.0,ns,12
bench_insert,sea-orm,1,,,6485341.0,ns,15
bench_insert,sea-orm,1,,,9922483.0,ns,18
bench_insert,sea-orm,1,,,10171470.0,ns,21
bench_insert,sea-orm,1,,,13290064.0,ns,24
bench_insert,sea-orm,1,,,18934131.0,ns,27
bench_insert,sea-orm,1,,,11014399.0,ns,30
bench_insert,sea-orm,1,,,18287659.0,ns,33
bench_insert,sea-orm,1,,,22275783.0,ns,36
bench_insert,sea-orm,1,,,19207503.0,ns,39
bench_insert,sea-orm,1,,,23353722.0,ns,42
bench_insert,sea-orm,1,,,21977164.0,ns,45
bench_insert,sea-orm,1,,,24075233.0,ns,48
bench_insert,sea-orm,1,,,19794823.0,ns,51
bench_insert,sea-orm,1,,,22913898.0,ns,54
bench_insert,sea-orm,1,,,24813006.0,ns,57
bench_insert,sea-orm,1,,,28192540.0,ns,60
bench_insert,sea-orm,1,,,28712494.0,ns,63
bench_insert,sea-orm,1,,,29885422.0,ns,66
bench_insert,sea-orm,1,,,30782021.0,ns,69
bench_insert,sea-orm,1,,,40553311.0,ns,72
bench_insert,sea-orm,1,,,39529412.0,ns,75
bench_insert,sea-orm,1,,,42415891.0,ns,78
bench_insert,sea-orm,1,,,41657762.0,ns,81
bench_insert,sea-orm,1,,,39028154.0,ns,84
bench_insert,sea-orm,1,,,37296637.0,ns,87
bench_insert,sea-orm,1,,,42129356.0,ns,90
bench_insert,sea-orm,1,,,36665358.0,ns,93
bench_insert,sea-orm,1,,,38767934.0,ns,96
bench_insert,sea-orm,1,,,39526047.0,ns,99
bench_insert,sea-orm,1,,,35638131.0,ns,102
bench_insert,sea-orm,1,,,46105626.0,ns,105
bench_insert,sea-orm,1,,,48144407.0,ns,108
bench_insert,sea-orm,1,,,54355946.0,ns,111
bench_insert,sea-orm,1,,,46346429.0,ns,114
bench_insert,sea-orm,1,,,50857500.0,ns,117
bench_insert,sea-orm,1,,,58297292.0,ns,120
bench_insert,sea-orm,1,,,42428127.0,ns,123
bench_insert,sea-orm,1,,,60426821.0,ns,126
bench_insert,sea-orm,1,,,53542691.0,ns,129
bench_insert,sea-orm,1,,,60750167.0,ns,132
bench_insert,sea-orm,1,,,64657960.0,ns,135
bench_insert,sea-orm,1,,,66869094.0,ns,138
bench_insert,sea-orm,1,,,68260510.0,ns,141
bench_insert,sea-orm,1,,,71580982.0,ns,144
bench_insert,sea-orm,1,,,69653924.0,ns,147
bench_insert,sea-orm,1,,,70910215.0,ns,150
bench_insert,sea-orm,1,,,71620901.0,ns,153
bench_insert,sea-orm,1,,,55227098.0,ns,156
bench_insert,sea-orm,1,,,62003537.0,ns,159
bench_insert,sea-orm,1,,,67594643.0,ns,162
bench_insert,sea-orm,1,,,69044789.0,ns,165
bench_insert,sea-orm,1,,,69986655.0,ns,168
bench_insert,sea-orm,1,,,70840055.0,ns,171
bench_insert,sea-orm,1,,,82484174.0,ns,174
bench_insert,sea-orm,1,,,100929228.0,ns,177
bench_insert,sea-orm,1,,,75951764.0,ns,180
bench_insert,sea-orm,1,,,103611753.0,ns,183
bench_insert,sea-orm,1,,,96969277.0,ns,186
bench_insert,sea-orm,1,,,75049170.0,ns,189
bench_insert,sea-orm,1,,,63033920.0,ns,192
bench_insert,sea-orm,1,,,77792441.0,ns,195
bench_insert,sea-orm,1,,,92225641.0,ns,198
bench_insert,sea-orm,1,,,93462096.0,ns,201
bench_insert,sea-orm,1,,,76108675.0,ns,204
bench_insert,sea-orm,1,,,96409629.0,ns,207
bench_insert,sea-orm,1,,,92594439.0,ns,210
bench_insert,sea-orm,1,,,98386353.0,ns,213
bench_insert,sea-orm,1,,,118037526.0,ns,216
bench_insert,sea-orm,1,,,93909533.0,ns,219
bench_insert,sea-orm,1,,,101122180.0,ns,222
bench_insert,sea-orm,1,,,107560362.0,ns,225
bench_insert,sea-orm,1,,,98234728.0,ns,228
bench_insert,sea-orm,1,,,86953038.0,ns,231
bench_insert,sea-orm,1,,,94221255.0,ns,234
bench_insert,sea-orm,1,,,108876500.0,ns,237
bench_insert,sea-orm,1,,,102490955.0,ns,240
bench_insert,sea-orm,1,,,100550547.0,ns,243
bench_insert,sea-orm,1,,,108000820.0,ns,246
bench_insert,sea-orm,1,,,133154332.0,ns,249
bench_insert,sea-orm,1,,,112968728.0,ns,252
bench_insert,sea-orm,1,,,127403256.0,ns,255
bench_insert,sea-orm,1,,,95849820.0,ns,258
bench_insert,sea-orm,1,,,107819097.0,ns,261
bench_insert,sea-orm,1,,,104883988.0,ns,264
bench_insert,sea-orm,1,,,112534992.0,ns,267
bench_insert,sea-orm,1,,,106706020.0,ns,270
bench_insert,sea-orm,1,,,110913717.0,ns,273
bench_insert,sea-orm,1,,,110433954.0,ns,276
bench_insert,sea-orm,1,,,125943566.0,ns,279
bench_insert,sea-orm,1,,,127442708.0,ns,282
bench_insert,sea-orm,1,,,144862999.0,ns,285
bench_insert,sea-orm,1,,,130714258.0,ns,288
bench_insert,sea-orm,1,,,120340240.0,ns,291
bench_insert,sea-orm,1,,,128991269.0,ns,294
bench_insert,sea-orm,1,,,127946692.0,ns,297
bench_insert,sea-orm,1,,,141381999.0,ns,300
