group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,wtx,100,,,1908831.0,ns,10
bench_medium_complex_query,wtx,100,,,2889902.0,ns,20
bench_medium_complex_query,wtx,100,,,4166374.0,ns,30
bench_medium_complex_query,wtx,100,,,5127808.0,ns,40
bench_medium_complex_query,wtx,100,,,5789081.0,ns,50
bench_medium_complex_query,wtx,100,,,6955219.0,ns,60
bench_medium_complex_query,wtx,100,,,8520427.0,ns,70
bench_medium_complex_query,wtx,100,,,9594076.0,ns,80
bench_medium_complex_query,wtx,100,,,10417215.0,ns,90
bench_medium_complex_query,wtx,100,,,10168457.0,ns,100
bench_medium_complex_query,wtx,100,,,12109600.0,ns,110
bench_medium_complex_query,wtx,100,,,13523335.0,ns,120
bench_medium_complex_query,wtx,100,,,14165015.0,ns,130
bench_medium_complex_query,wtx,100,,,16488675.0,ns,140
bench_medium_complex_query,wtx,100,,,15890512.0,ns,150
bench_medium_complex_query,wtx,100,,,16867686.0,ns,160
bench_medium_complex_query,wtx,100,,,18687791.0,ns,170
bench_medium_complex_query,wtx,100,,,19869107.0,ns,180
bench_medium_complex_query,wtx,100,,,19532502.0,ns,190
bench_medium_complex_query,wtx,100,,,21411487.0,ns,200
bench_medium_complex_query,wtx,100,,,21522425.0,ns,210
bench_medium_complex_query,wtx,100,,,24629789.0,ns,220
bench_medium_complex_query,wtx,100,,,25820033.0,ns,230
bench_medium_complex_query,wtx,100,,,25033014.0,ns,240
bench_medium_complex_query,wtx,100,,,26890365.0,ns,250
bench_medium_complex_query,wtx,100,,,27506595.0,ns,260
bench_medium_complex_query,wtx,100,,,28087269.0,ns,270
bench_medium_complex_query,wtx,100,,,29131274.0,ns,280
bench_medium_complex_query,wtx,100,,,30671649.0,ns,290
bench_medium_complex_query,wtx,100,,,31679496.0,ns,300
bench_medium_complex_query,wtx,100,,,31627031.0,ns,310
bench_medium_complex_query,wtx,100,,,36760757.0,ns,320
bench_medium_complex_query,wtx,100,,,34395065.0,ns,330
bench_medium_complex_query,wtx,100,,,36783893.0,ns,340
bench_medium_complex_query,wtx,100,,,36868743.0,ns,350
bench_medium_complex_query,wtx,100,,,36982165.0,ns,360
bench_medium_complex_query,wtx,100,,,40493773.0,ns,370
bench_medium_complex_query,wtx,100,,,40042908.0,ns,380
bench_medium_complex_query,wtx,100,,,40033292.0,ns,390
bench_medium_complex_query,wtx,100,,,42892669.0,ns,400
bench_medium_complex_query,wtx,100,,,44911286.0,ns,410
bench_medium_complex_query,wtx,100,,,44608932.0,ns,420
bench_medium_complex_query,wtx,100,,,44341272.0,ns,430
bench_medium_complex_query,wtx,100,,,43951000.0,ns,440
