group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,1,,,880907.0,ns,36
bench_medium_complex_query,sqlx_query_from_row,1,,,2065430.0,ns,72
bench_medium_complex_query,sqlx_query_from_row,1,,,2471258.0,ns,108
bench_medium_complex_query,sqlx_query_from_row,1,,,4055298.0,ns,144
bench_medium_complex_query,sqlx_query_from_row,1,,,4128696.0,ns,180
bench_medium_complex_query,sqlx_query_from_row,1,,,6133422.0,ns,216
bench_medium_complex_query,sqlx_query_from_row,1,,,5721310.0,ns,252
bench_medium_complex_query,sqlx_query_from_row,1,,,8122279.0,ns,288
bench_medium_complex_query,sqlx_query_from_row,1,,,7298740.0,ns,324
bench_medium_complex_query,sqlx_query_from_row,1,,,8411378.0,ns,360
bench_medium_complex_query,sqlx_query_from_row,1,,,11253700.0,ns,396
bench_medium_complex_query,sqlx_query_from_row,1,,,9836332.0,ns,432
bench_medium_complex_query,sqlx_query_from_row,1,,,13292981.0,ns,468
bench_medium_complex_query,sqlx_query_from_row,1,,,11376768.0,ns,504
bench_medium_complex_query,sqlx_query_from_row,1,,,13341967.0,ns,540
bench_medium_complex_query,sqlx_query_from_row,1,,,14120538.0,ns,576
bench_medium_complex_query,sqlx_query_from_row,1,,,14073971.0,ns,612
bench_medium_complex_query,sqlx_query_from_row,1,,,18009316.0,ns,648
bench_medium_complex_query,sqlx_query_from_row,1,,,15673517.0,ns,684
bench_medium_complex_query,sqlx_query_from_row,1,,,20709823.0,ns,720
bench_medium_complex_query,sqlx_query_from_row,1,,,19122499.0,ns,756
bench_medium_complex_query,sqlx_query_from_row,1,,,23678670.0,ns,792
bench_medium_complex_query,sqlx_query_from_row,1,,,19309713.0,ns,828
bench_medium_complex_query,sqlx_query_from_row,1,,,25173284.0,ns,864
bench_medium_complex_query,sqlx_query_from_row,1,,,27211422.0,ns,900
bench_medium_complex_query,sqlx_query_from_row,1,,,25307253.0,ns,936
bench_medium_complex_query,sqlx_query_from_row,1,,,29400489.0,ns,972
bench_medium_complex_query,sqlx_query_from_row,1,,,22840996.0,ns,1008
bench_medium_complex_query,sqlx_query_from_row,1,,,27719420.0,ns,1044
bench_medium_complex_query,sqlx_query_from_row,1,,,29066098.0,ns,1080
bench_medium_complex_query,sqlx_query_from_row,1,,,30141819.0,ns,1116
bench_medium_complex_query,sqlx_query_from_row,1,,,36533303.0,ns,1152
bench_medium_complex_query,sqlx_query_from_row,1,,,29612486.0,ns,1188
bench_medium_complex_query,sqlx_query_from_row,1,,,35494045.0,ns,1224
bench_medium_complex_query,sqlx_query_from_row,1,,,35343365.0,ns,1260
bench_medium_complex_query,sqlx_query_from_row,1,,,40500873.0,ns,1296
bench_medium_complex_query,sqlx_query_from_row,1,,,41449370.0,ns,1332
bench_medium_complex_query,sqlx_query_from_row,1,,,32031239.0,ns,1368
bench_medium_complex_query,sqlx_query_from_row,1,,,44895691.0,ns,1404
bench_medium_complex_query,sqlx_query_from_row,1,,,36787116.0,ns,1440
bench_medium_complex_query,sqlx_query_from_row,1,,,50267760.0,ns,1476
bench_medium_complex_query,sqlx_query_from_row,1,,,36537741.0,ns,1512
bench_medium_complex_query,sqlx_query_from_row,1,,,50627993.0,ns,1548
bench_medium_complex_query,sqlx_query_from_row,1,,,40283170.0,ns,1584
bench_medium_complex_query,sqlx_query_from_row,1,,,51069258.0,ns,1620
bench_medium_complex_query,sqlx_query_from_row,1,,,54356742.0,ns,1656
bench_medium_complex_query,sqlx_query_from_row,1,,,41400410.0,ns,1692
bench_medium_complex_query,sqlx_query_from_row,1,,,50882186.0,ns,1728
bench_medium_complex_query,sqlx_query_from_row,1,,,55334249.0,ns,1764
bench_medium_complex_query,sqlx_query_from_row,1,,,56472315.0,ns,1800
bench_medium_complex_query,sqlx_query_from_row,1,,,45412928.0,ns,1836
bench_medium_complex_query,sqlx_query_from_row,1,,,51710117.0,ns,1872
bench_medium_complex_query,sqlx_query_from_row,1,,,55258897.0,ns,1908
bench_medium_complex_query,sqlx_query_from_row,1,,,46848490.0,ns,1944
bench_medium_complex_query,sqlx_query_from_row,1,,,52102035.0,ns,1980
bench_medium_complex_query,sqlx_query_from_row,1,,,53156268.0,ns,2016
bench_medium_complex_query,sqlx_query_from_row,1,,,54350950.0,ns,2052
bench_medium_complex_query,sqlx_query_from_row,1,,,60515893.0,ns,2088
bench_medium_complex_query,sqlx_query_from_row,1,,,69380578.0,ns,2124
bench_medium_complex_query,sqlx_query_from_row,1,,,52193180.0,ns,2160
bench_medium_complex_query,sqlx_query_from_row,1,,,58655674.0,ns,2196
bench_medium_complex_query,sqlx_query_from_row,1,,,74149239.0,ns,2232
bench_medium_complex_query,sqlx_query_from_row,1,,,58122128.0,ns,2268
bench_medium_complex_query,sqlx_query_from_row,1,,,62857504.0,ns,2304
bench_medium_complex_query,sqlx_query_from_row,1,,,67606141.0,ns,2340
bench_medium_complex_query,sqlx_query_from_row,1,,,71679054.0,ns,2376
bench_medium_complex_query,sqlx_query_from_row,1,,,61707070.0,ns,2412
bench_medium_complex_query,sqlx_query_from_row,1,,,72825222.0,ns,2448
bench_medium_complex_query,sqlx_query_from_row,1,,,81351990.0,ns,2484
