group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10000,,,57491992.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54090468.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57393272.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54066863.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58036579.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54093673.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54411758.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57225184.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57361088.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54338067.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58048719.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57738429.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57563041.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54307981.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57886475.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54125960.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57269564.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54322937.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57626881.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54412325.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57863302.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54450527.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57710198.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,55994112.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57659661.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57451513.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57642711.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57292947.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57652228.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57795847.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57762505.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58321430.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,62097353.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54099871.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57870295.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54446469.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58088955.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58194520.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57692273.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57568131.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54154684.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57579442.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57664361.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57957969.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57450722.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57705047.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57769538.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57710437.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57884161.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54366200.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57305951.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58106277.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54245112.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57451443.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57636038.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54565933.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58039391.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56951960.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58154248.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54185045.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58069261.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,53996984.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57688240.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57433023.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57694851.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54156423.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58161905.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57596188.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57425689.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57884577.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57957051.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57813404.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57955919.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57747671.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57792735.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57559389.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57688550.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54122728.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57707716.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54593657.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57830285.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57706144.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57849562.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58085653.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57820647.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54287315.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57518502.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,53822678.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57742240.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58558395.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57594795.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58488956.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54513769.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57237999.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57871122.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54443638.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57444345.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57512862.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,54362265.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57818723.0,ns,8
