group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,10000,,,55499669.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,52830507.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,58757854.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,53339596.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54635014.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55860570.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,58536270.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55874484.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,52683741.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,57795503.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55373968.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55074719.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,57882710.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,53954072.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54302819.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,53333645.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,58541777.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55069251.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54142206.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54939540.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54528123.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55004279.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54710145.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55598278.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54745522.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55190970.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54395089.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,52753612.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,58426551.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54629093.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,57051192.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55545713.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,52127434.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,57165354.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55737612.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,52572423.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,58128924.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55690073.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,58910682.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,56999372.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55299476.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,52617299.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54445676.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55355321.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,54897858.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55491397.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55193074.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,52275754.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,59276234.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55429341.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55692958.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,55104537.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,53854250.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,52848744.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,58059486.0,ns,4
bench_trivial_query,sqlx_query_as_macro,10000,,,56191958.0,ns,4
