group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_queryable_by_name,100,,,1002544.0,ns,14
bench_trivial_query,diesel_async_queryable_by_name,100,,,1984417.0,ns,28
bench_trivial_query,diesel_async_queryable_by_name,100,,,2985117.0,ns,42
bench_trivial_query,diesel_async_queryable_by_name,100,,,4006765.0,ns,56
bench_trivial_query,diesel_async_queryable_by_name,100,,,5007761.0,ns,70
bench_trivial_query,diesel_async_queryable_by_name,100,,,6169277.0,ns,84
bench_trivial_query,diesel_async_queryable_by_name,100,,,7323021.0,ns,98
bench_trivial_query,diesel_async_queryable_by_name,100,,,8179955.0,ns,112
bench_trivial_query,diesel_async_queryable_by_name,100,,,9263938.0,ns,126
bench_trivial_query,diesel_async_queryable_by_name,100,,,10419296.0,ns,140
bench_trivial_query,diesel_async_queryable_by_name,100,,,11260497.0,ns,154
bench_trivial_query,diesel_async_queryable_by_name,100,,,12337872.0,ns,168
bench_trivial_query,diesel_async_queryable_by_name,100,,,13721745.0,ns,182
bench_trivial_query,diesel_async_queryable_by_name,100,,,14714439.0,ns,196
bench_trivial_query,diesel_async_queryable_by_name,100,,,15611410.0,ns,210
bench_trivial_query,diesel_async_queryable_by_name,100,,,17367276.0,ns,224
bench_trivial_query,diesel_async_queryable_by_name,100,,,17528907.0,ns,238
bench_trivial_query,diesel_async_queryable_by_name,100,,,18640564.0,ns,252
bench_trivial_query,diesel_async_queryable_by_name,100,,,19925114.0,ns,266
bench_trivial_query,diesel_async_queryable_by_name,100,,,20678018.0,ns,280
bench_trivial_query,diesel_async_queryable_by_name,100,,,22203050.0,ns,294
bench_trivial_query,diesel_async_queryable_by_name,100,,,23130352.0,ns,308
bench_trivial_query,diesel_async_queryable_by_name,100,,,23771831.0,ns,322
bench_trivial_query,diesel_async_queryable_by_name,100,,,25372658.0,ns,336
bench_trivial_query,diesel_async_queryable_by_name,100,,,25478980.0,ns,350
bench_trivial_query,diesel_async_queryable_by_name,100,,,27373020.0,ns,364
bench_trivial_query,diesel_async_queryable_by_name,100,,,28524369.0,ns,378
bench_trivial_query,diesel_async_queryable_by_name,100,,,29457292.0,ns,392
bench_trivial_query,diesel_async_queryable_by_name,100,,,32075043.0,ns,406
bench_trivial_query,diesel_async_queryable_by_name,100,,,31535635.0,ns,420
bench_trivial_query,diesel_async_queryable_by_name,100,,,33019398.0,ns,434
bench_trivial_query,diesel_async_queryable_by_name,100,,,33433240.0,ns,448
bench_trivial_query,diesel_async_queryable_by_name,100,,,34823219.0,ns,462
bench_trivial_query,diesel_async_queryable_by_name,100,,,35069787.0,ns,476
bench_trivial_query,diesel_async_queryable_by_name,100,,,37260340.0,ns,490
bench_trivial_query,diesel_async_queryable_by_name,100,,,38923758.0,ns,504
bench_trivial_query,diesel_async_queryable_by_name,100,,,38825735.0,ns,518
bench_trivial_query,diesel_async_queryable_by_name,100,,,38774048.0,ns,532
bench_trivial_query,diesel_async_queryable_by_name,100,,,39614928.0,ns,546
bench_trivial_query,diesel_async_queryable_by_name,100,,,41290128.0,ns,560
bench_trivial_query,diesel_async_queryable_by_name,100,,,42002389.0,ns,574
bench_trivial_query,diesel_async_queryable_by_name,100,,,44078073.0,ns,588
bench_trivial_query,diesel_async_queryable_by_name,100,,,45235402.0,ns,602
bench_trivial_query,diesel_async_queryable_by_name,100,,,46208257.0,ns,616
bench_trivial_query,diesel_async_queryable_by_name,100,,,47074838.0,ns,630
bench_trivial_query,diesel_async_queryable_by_name,100,,,48880368.0,ns,644
bench_trivial_query,diesel_async_queryable_by_name,100,,,49132990.0,ns,658
bench_trivial_query,diesel_async_queryable_by_name,100,,,51063980.0,ns,672
bench_trivial_query,diesel_async_queryable_by_name,100,,,51998363.0,ns,686
bench_trivial_query,diesel_async_queryable_by_name,100,,,52609431.0,ns,700
bench_trivial_query,diesel_async_queryable_by_name,100,,,52879700.0,ns,714
bench_trivial_query,diesel_async_queryable_by_name,100,,,55024728.0,ns,728
bench_trivial_query,diesel_async_queryable_by_name,100,,,54964457.0,ns,742
bench_trivial_query,diesel_async_queryable_by_name,100,,,56549206.0,ns,756
bench_trivial_query,diesel_async_queryable_by_name,100,,,57186296.0,ns,770
bench_trivial_query,diesel_async_queryable_by_name,100,,,58451444.0,ns,784
bench_trivial_query,diesel_async_queryable_by_name,100,,,59296117.0,ns,798
bench_trivial_query,diesel_async_queryable_by_name,100,,,59519873.0,ns,812
bench_trivial_query,diesel_async_queryable_by_name,100,,,61525843.0,ns,826
bench_trivial_query,diesel_async_queryable_by_name,100,,,62386607.0,ns,840
bench_trivial_query,diesel_async_queryable_by_name,100,,,64344638.0,ns,854
bench_trivial_query,diesel_async_queryable_by_name,100,,,64976902.0,ns,868
bench_trivial_query,diesel_async_queryable_by_name,100,,,64798580.0,ns,882
bench_trivial_query,diesel_async_queryable_by_name,100,,,68663830.0,ns,896
bench_trivial_query,diesel_async_queryable_by_name,100,,,69080446.0,ns,910
bench_trivial_query,diesel_async_queryable_by_name,100,,,68924020.0,ns,924
bench_trivial_query,diesel_async_queryable_by_name,100,,,70425719.0,ns,938
bench_trivial_query,diesel_async_queryable_by_name,100,,,70468529.0,ns,952
bench_trivial_query,diesel_async_queryable_by_name,100,,,73484114.0,ns,966
bench_trivial_query,diesel_async_queryable_by_name,100,,,72723653.0,ns,980
bench_trivial_query,diesel_async_queryable_by_name,100,,,74925479.0,ns,994
bench_trivial_query,diesel_async_queryable_by_name,100,,,75733083.0,ns,1008
bench_trivial_query,diesel_async_queryable_by_name,100,,,76992518.0,ns,1022
bench_trivial_query,diesel_async_queryable_by_name,100,,,79217203.0,ns,1036
bench_trivial_query,diesel_async_queryable_by_name,100,,,79475375.0,ns,1050
bench_trivial_query,diesel_async_queryable_by_name,100,,,83118681.0,ns,1064
bench_trivial_query,diesel_async_queryable_by_name,100,,,113669687.0,ns,1078
bench_trivial_query,diesel_async_queryable_by_name,100,,,81202453.0,ns,1092
bench_trivial_query,diesel_async_queryable_by_name,100,,,81646690.0,ns,1106
bench_trivial_query,diesel_async_queryable_by_name,100,,,84512424.0,ns,1120
bench_trivial_query,diesel_async_queryable_by_name,100,,,84770061.0,ns,1134
bench_trivial_query,diesel_async_queryable_by_name,100,,,88960198.0,ns,1148
bench_trivial_query,diesel_async_queryable_by_name,100,,,86252843.0,ns,1162
bench_trivial_query,diesel_async_queryable_by_name,100,,,89179946.0,ns,1176
bench_trivial_query,diesel_async_queryable_by_name,100,,,89112749.0,ns,1190
bench_trivial_query,diesel_async_queryable_by_name,100,,,88940980.0,ns,1204
bench_trivial_query,diesel_async_queryable_by_name,100,,,89829711.0,ns,1218
bench_trivial_query,diesel_async_queryable_by_name,100,,,92541165.0,ns,1232
bench_trivial_query,diesel_async_queryable_by_name,100,,,92067281.0,ns,1246
bench_trivial_query,diesel_async_queryable_by_name,100,,,93630391.0,ns,1260
bench_trivial_query,diesel_async_queryable_by_name,100,,,96609013.0,ns,1274
bench_trivial_query,diesel_async_queryable_by_name,100,,,97245467.0,ns,1288
bench_trivial_query,diesel_async_queryable_by_name,100,,,99392068.0,ns,1302
bench_trivial_query,diesel_async_queryable_by_name,100,,,97782656.0,ns,1316
bench_trivial_query,diesel_async_queryable_by_name,100,,,98754724.0,ns,1330
bench_trivial_query,diesel_async_queryable_by_name,100,,,101327687.0,ns,1344
bench_trivial_query,diesel_async_queryable_by_name,100,,,102936509.0,ns,1358
bench_trivial_query,diesel_async_queryable_by_name,100,,,103631998.0,ns,1372
bench_trivial_query,diesel_async_queryable_by_name,100,,,106070461.0,ns,1386
bench_trivial_query,diesel_async_queryable_by_name,100,,,105163232.0,ns,1400
