group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_queryable_by_name,1000,,,1369513.0,ns,3
bench_trivial_query,diesel_async_queryable_by_name,1000,,,2821632.0,ns,6
bench_trivial_query,diesel_async_queryable_by_name,1000,,,4379257.0,ns,9
bench_trivial_query,diesel_async_queryable_by_name,1000,,,5593259.0,ns,12
bench_trivial_query,diesel_async_queryable_by_name,1000,,,7523275.0,ns,15
bench_trivial_query,diesel_async_queryable_by_name,1000,,,8372320.0,ns,18
bench_trivial_query,diesel_async_queryable_by_name,1000,,,9580791.0,ns,21
bench_trivial_query,diesel_async_queryable_by_name,1000,,,11777537.0,ns,24
bench_trivial_query,diesel_async_queryable_by_name,1000,,,13061410.0,ns,27
bench_trivial_query,diesel_async_queryable_by_name,1000,,,14549135.0,ns,30
bench_trivial_query,diesel_async_queryable_by_name,1000,,,15364627.0,ns,33
bench_trivial_query,diesel_async_queryable_by_name,1000,,,17604105.0,ns,36
bench_trivial_query,diesel_async_queryable_by_name,1000,,,18265347.0,ns,39
bench_trivial_query,diesel_async_queryable_by_name,1000,,,19629801.0,ns,42
bench_trivial_query,diesel_async_queryable_by_name,1000,,,20951314.0,ns,45
bench_trivial_query,diesel_async_queryable_by_name,1000,,,23492888.0,ns,48
bench_trivial_query,diesel_async_queryable_by_name,1000,,,23858516.0,ns,51
bench_trivial_query,diesel_async_queryable_by_name,1000,,,25327827.0,ns,54
bench_trivial_query,diesel_async_queryable_by_name,1000,,,27999976.0,ns,57
bench_trivial_query,diesel_async_queryable_by_name,1000,,,28345376.0,ns,60
bench_trivial_query,diesel_async_queryable_by_name,1000,,,29080644.0,ns,63
bench_trivial_query,diesel_async_queryable_by_name,1000,,,30499042.0,ns,66
bench_trivial_query,diesel_async_queryable_by_name,1000,,,32256936.0,ns,69
bench_trivial_query,diesel_async_queryable_by_name,1000,,,33801918.0,ns,72
bench_trivial_query,diesel_async_queryable_by_name,1000,,,32772073.0,ns,75
bench_trivial_query,diesel_async_queryable_by_name,1000,,,36936336.0,ns,78
bench_trivial_query,diesel_async_queryable_by_name,1000,,,37667399.0,ns,81
bench_trivial_query,diesel_async_queryable_by_name,1000,,,36507010.0,ns,84
bench_trivial_query,diesel_async_queryable_by_name,1000,,,42216126.0,ns,87
bench_trivial_query,diesel_async_queryable_by_name,1000,,,41001995.0,ns,90
bench_trivial_query,diesel_async_queryable_by_name,1000,,,44641961.0,ns,93
bench_trivial_query,diesel_async_queryable_by_name,1000,,,44458489.0,ns,96
bench_trivial_query,diesel_async_queryable_by_name,1000,,,45186800.0,ns,99
bench_trivial_query,diesel_async_queryable_by_name,1000,,,44048318.0,ns,102
bench_trivial_query,diesel_async_queryable_by_name,1000,,,49807268.0,ns,105
bench_trivial_query,diesel_async_queryable_by_name,1000,,,50607021.0,ns,108
bench_trivial_query,diesel_async_queryable_by_name,1000,,,51309090.0,ns,111
bench_trivial_query,diesel_async_queryable_by_name,1000,,,53390550.0,ns,114
bench_trivial_query,diesel_async_queryable_by_name,1000,,,54514532.0,ns,117
