group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,rusqlite_by_id,1000,,,1156138.0,ns,6
bench_medium_complex_query,rusqlite_by_id,1000,,,2336973.0,ns,12
bench_medium_complex_query,rusqlite_by_id,1000,,,3474968.0,ns,18
bench_medium_complex_query,rusqlite_by_id,1000,,,4664068.0,ns,24
bench_medium_complex_query,rusqlite_by_id,1000,,,5785812.0,ns,30
bench_medium_complex_query,rusqlite_by_id,1000,,,6929338.0,ns,36
bench_medium_complex_query,rusqlite_by_id,1000,,,8105284.0,ns,42
bench_medium_complex_query,rusqlite_by_id,1000,,,9292900.0,ns,48
bench_medium_complex_query,rusqlite_by_id,1000,,,10404836.0,ns,54
bench_medium_complex_query,rusqlite_by_id,1000,,,11608242.0,ns,60
bench_medium_complex_query,rusqlite_by_id,1000,,,13115357.0,ns,66
bench_medium_complex_query,rusqlite_by_id,1000,,,13909389.0,ns,72
bench_medium_complex_query,rusqlite_by_id,1000,,,15066780.0,ns,78
bench_medium_complex_query,rusqlite_by_id,1000,,,16177504.0,ns,84
bench_medium_complex_query,rusqlite_by_id,1000,,,17429351.0,ns,90
bench_medium_complex_query,rusqlite_by_id,1000,,,18777117.0,ns,96
bench_medium_complex_query,rusqlite_by_id,1000,,,19691645.0,ns,102
bench_medium_complex_query,rusqlite_by_id,1000,,,20900893.0,ns,108
bench_medium_complex_query,rusqlite_by_id,1000,,,22044268.0,ns,114
bench_medium_complex_query,rusqlite_by_id,1000,,,23121749.0,ns,120
bench_medium_complex_query,rusqlite_by_id,1000,,,24417829.0,ns,126
bench_medium_complex_query,rusqlite_by_id,1000,,,25468090.0,ns,132
bench_medium_complex_query,rusqlite_by_id,1000,,,26539401.0,ns,138
bench_medium_complex_query,rusqlite_by_id,1000,,,27717950.0,ns,144
bench_medium_complex_query,rusqlite_by_id,1000,,,28922580.0,ns,150
bench_medium_complex_query,rusqlite_by_id,1000,,,30074100.0,ns,156
bench_medium_complex_query,rusqlite_by_id,1000,,,31348509.0,ns,162
bench_medium_complex_query,rusqlite_by_id,1000,,,32478819.0,ns,168
bench_medium_complex_query,rusqlite_by_id,1000,,,33733622.0,ns,174
bench_medium_complex_query,rusqlite_by_id,1000,,,34651446.0,ns,180
bench_medium_complex_query,rusqlite_by_id,1000,,,36042202.0,ns,186
bench_medium_complex_query,rusqlite_by_id,1000,,,37199814.0,ns,192
bench_medium_complex_query,rusqlite_by_id,1000,,,38594196.0,ns,198
bench_medium_complex_query,rusqlite_by_id,1000,,,39461065.0,ns,204
bench_medium_complex_query,rusqlite_by_id,1000,,,40702613.0,ns,210
bench_medium_complex_query,rusqlite_by_id,1000,,,41578749.0,ns,216
bench_medium_complex_query,rusqlite_by_id,1000,,,43060365.0,ns,222
bench_medium_complex_query,rusqlite_by_id,1000,,,44403854.0,ns,228
bench_medium_complex_query,rusqlite_by_id,1000,,,45283797.0,ns,234
bench_medium_complex_query,rusqlite_by_id,1000,,,46401663.0,ns,240
bench_medium_complex_query,rusqlite_by_id,1000,,,47504313.0,ns,246
bench_medium_complex_query,rusqlite_by_id,1000,,,50473105.0,ns,252
bench_medium_complex_query,rusqlite_by_id,1000,,,50057610.0,ns,258
bench_medium_complex_query,rusqlite_by_id,1000,,,51116467.0,ns,264
bench_medium_complex_query,rusqlite_by_id,1000,,,52270441.0,ns,270
bench_medium_complex_query,rusqlite_by_id,1000,,,53751146.0,ns,276
