group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_queryable_by_name,10,,,951617.0,ns,30
bench_trivial_query,diesel_async_queryable_by_name,10,,,1642978.0,ns,60
bench_trivial_query,diesel_async_queryable_by_name,10,,,2454714.0,ns,90
bench_trivial_query,diesel_async_queryable_by_name,10,,,3229129.0,ns,120
bench_trivial_query,diesel_async_queryable_by_name,10,,,4000358.0,ns,150
bench_trivial_query,diesel_async_queryable_by_name,10,,,4896582.0,ns,180
bench_trivial_query,diesel_async_queryable_by_name,10,,,5711905.0,ns,210
bench_trivial_query,diesel_async_queryable_by_name,10,,,6483787.0,ns,240
bench_trivial_query,diesel_async_queryable_by_name,10,,,8363447.0,ns,270
bench_trivial_query,diesel_async_queryable_by_name,10,,,8135993.0,ns,300
bench_trivial_query,diesel_async_queryable_by_name,10,,,8893256.0,ns,330
bench_trivial_query,diesel_async_queryable_by_name,10,,,9674904.0,ns,360
bench_trivial_query,diesel_async_queryable_by_name,10,,,10719225.0,ns,390
bench_trivial_query,diesel_async_queryable_by_name,10,,,13296737.0,ns,420
bench_trivial_query,diesel_async_queryable_by_name,10,,,12152501.0,ns,450
bench_trivial_query,diesel_async_queryable_by_name,10,,,13021664.0,ns,480
bench_trivial_query,diesel_async_queryable_by_name,10,,,14129983.0,ns,510
bench_trivial_query,diesel_async_queryable_by_name,10,,,14537818.0,ns,540
bench_trivial_query,diesel_async_queryable_by_name,10,,,17916580.0,ns,570
bench_trivial_query,diesel_async_queryable_by_name,10,,,16644018.0,ns,600
bench_trivial_query,diesel_async_queryable_by_name,10,,,17601969.0,ns,630
bench_trivial_query,diesel_async_queryable_by_name,10,,,21293057.0,ns,660
bench_trivial_query,diesel_async_queryable_by_name,10,,,19294889.0,ns,690
bench_trivial_query,diesel_async_queryable_by_name,10,,,20702446.0,ns,720
bench_trivial_query,diesel_async_queryable_by_name,10,,,21129556.0,ns,750
bench_trivial_query,diesel_async_queryable_by_name,10,,,23062769.0,ns,780
bench_trivial_query,diesel_async_queryable_by_name,10,,,27867074.0,ns,810
bench_trivial_query,diesel_async_queryable_by_name,10,,,24293229.0,ns,840
bench_trivial_query,diesel_async_queryable_by_name,10,,,26852330.0,ns,870
bench_trivial_query,diesel_async_queryable_by_name,10,,,31846064.0,ns,900
bench_trivial_query,diesel_async_queryable_by_name,10,,,33350744.0,ns,930
bench_trivial_query,diesel_async_queryable_by_name,10,,,31728054.0,ns,960
bench_trivial_query,diesel_async_queryable_by_name,10,,,28669535.0,ns,990
bench_trivial_query,diesel_async_queryable_by_name,10,,,28703567.0,ns,1020
bench_trivial_query,diesel_async_queryable_by_name,10,,,30430030.0,ns,1050
bench_trivial_query,diesel_async_queryable_by_name,10,,,32731525.0,ns,1080
bench_trivial_query,diesel_async_queryable_by_name,10,,,31563106.0,ns,1110
bench_trivial_query,diesel_async_queryable_by_name,10,,,33143817.0,ns,1140
bench_trivial_query,diesel_async_queryable_by_name,10,,,40254616.0,ns,1170
bench_trivial_query,diesel_async_queryable_by_name,10,,,39686046.0,ns,1200
bench_trivial_query,diesel_async_queryable_by_name,10,,,36219396.0,ns,1230
bench_trivial_query,diesel_async_queryable_by_name,10,,,41087864.0,ns,1260
bench_trivial_query,diesel_async_queryable_by_name,10,,,39465973.0,ns,1290
bench_trivial_query,diesel_async_queryable_by_name,10,,,37904401.0,ns,1320
bench_trivial_query,diesel_async_queryable_by_name,10,,,42221307.0,ns,1350
bench_trivial_query,diesel_async_queryable_by_name,10,,,39906987.0,ns,1380
bench_trivial_query,diesel_async_queryable_by_name,10,,,42898933.0,ns,1410
bench_trivial_query,diesel_async_queryable_by_name,10,,,48207935.0,ns,1440
bench_trivial_query,diesel_async_queryable_by_name,10,,,49170945.0,ns,1470
bench_trivial_query,diesel_async_queryable_by_name,10,,,44869140.0,ns,1500
bench_trivial_query,diesel_async_queryable_by_name,10,,,50413136.0,ns,1530
bench_trivial_query,diesel_async_queryable_by_name,10,,,43438425.0,ns,1560
