group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,rusqlite,10,,,1024504.0,ns,222
bench_insert,rusqlite,10,,,1941558.0,ns,444
bench_insert,rusqlite,10,,,2848894.0,ns,666
bench_insert,rusqlite,10,,,3818868.0,ns,888
bench_insert,rusqlite,10,,,4834736.0,ns,1110
bench_insert,rusqlite,10,,,5719730.0,ns,1332
bench_insert,rusqlite,10,,,6676638.0,ns,1554
bench_insert,rusqlite,10,,,7621554.0,ns,1776
bench_insert,rusqlite,10,,,8610272.0,ns,1998
bench_insert,rusqlite,10,,,9519541.0,ns,2220
bench_insert,rusqlite,10,,,10518418.0,ns,2442
bench_insert,rusqlite,10,,,11493932.0,ns,2664
bench_insert,rusqlite,10,,,12421365.0,ns,2886
bench_insert,rusqlite,10,,,13405905.0,ns,3108
bench_insert,rusqlite,10,,,14362031.0,ns,3330
bench_insert,rusqlite,10,,,15434015.0,ns,3552
bench_insert,rusqlite,10,,,16451176.0,ns,3774
bench_insert,rusqlite,10,,,17462756.0,ns,3996
bench_insert,rusqlite,10,,,18393727.0,ns,4218
bench_insert,rusqlite,10,,,19192098.0,ns,4440
bench_insert,rusqlite,10,,,20392101.0,ns,4662
bench_insert,rusqlite,10,,,21186516.0,ns,4884
bench_insert,rusqlite,10,,,22227922.0,ns,5106
bench_insert,rusqlite,10,,,23093280.0,ns,5328
bench_insert,rusqlite,10,,,23986389.0,ns,5550
bench_insert,rusqlite,10,,,25001756.0,ns,5772
bench_insert,rusqlite,10,,,25925554.0,ns,5994
bench_insert,rusqlite,10,,,26933046.0,ns,6216
bench_insert,rusqlite,10,,,27779397.0,ns,6438
bench_insert,rusqlite,10,,,28886086.0,ns,6660
bench_insert,rusqlite,10,,,29769348.0,ns,6882
bench_insert,rusqlite,10,,,30736324.0,ns,7104
bench_insert,rusqlite,10,,,31820641.0,ns,7326
bench_insert,rusqlite,10,,,32622048.0,ns,7548
bench_insert,rusqlite,10,,,33591500.0,ns,7770
bench_insert,rusqlite,10,,,34598362.0,ns,7992
bench_insert,rusqlite,10,,,35674293.0,ns,8214
bench_insert,rusqlite,10,,,36575005.0,ns,8436
bench_insert,rusqlite,10,,,37473616.0,ns,8658
bench_insert,rusqlite,10,,,38475939.0,ns,8880
bench_insert,rusqlite,10,,,39587206.0,ns,9102
bench_insert,rusqlite,10,,,40432145.0,ns,9324
bench_insert,rusqlite,10,,,41339801.0,ns,9546
bench_insert,rusqlite,10,,,42512042.0,ns,9768
bench_insert,rusqlite,10,,,43393529.0,ns,9990
bench_insert,rusqlite,10,,,44279125.0,ns,10212
bench_insert,rusqlite,10,,,45141897.0,ns,10434
bench_insert,rusqlite,10,,,46197540.0,ns,10656
bench_insert,rusqlite,10,,,47603127.0,ns,10878
bench_insert,rusqlite,10,,,48165348.0,ns,11100
bench_insert,rusqlite,10,,,49130992.0,ns,11322
bench_insert,rusqlite,10,,,50102749.0,ns,11544
bench_insert,rusqlite,10,,,51502485.0,ns,11766
