group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,tokio_postgres,1,,,1300995.0,ns,2
bench_insert,tokio_postgres,1,,,2908565.0,ns,4
bench_insert,tokio_postgres,1,,,4991926.0,ns,6
bench_insert,tokio_postgres,1,,,3754994.0,ns,8
bench_insert,tokio_postgres,1,,,5623230.0,ns,10
bench_insert,tokio_postgres,1,,,6066749.0,ns,12
bench_insert,tokio_postgres,1,,,6119525.0,ns,14
bench_insert,tokio_postgres,1,,,9396347.0,ns,16
bench_insert,tokio_postgres,1,,,7575172.0,ns,18
bench_insert,tokio_postgres,1,,,11248172.0,ns,20
bench_insert,tokio_postgres,1,,,12864606.0,ns,22
bench_insert,tokio_postgres,1,,,14174034.0,ns,24
bench_insert,tokio_postgres,1,,,10153381.0,ns,26
bench_insert,tokio_postgres,1,,,11111535.0,ns,28
bench_insert,tokio_postgres,1,,,13004661.0,ns,30
bench_insert,tokio_postgres,1,,,17208865.0,ns,32
bench_insert,tokio_postgres,1,,,16563207.0,ns,34
bench_insert,tokio_postgres,1,,,22219964.0,ns,36
bench_insert,tokio_postgres,1,,,19543170.0,ns,38
bench_insert,tokio_postgres,1,,,26436903.0,ns,40
bench_insert,tokio_postgres,1,,,24686384.0,ns,42
bench_insert,tokio_postgres,1,,,24259560.0,ns,44
bench_insert,tokio_postgres,1,,,20377699.0,ns,46
bench_insert,tokio_postgres,1,,,22470307.0,ns,48
bench_insert,tokio_postgres,1,,,34099029.0,ns,50
bench_insert,tokio_postgres,1,,,28952684.0,ns,52
bench_insert,tokio_postgres,1,,,32831716.0,ns,54
bench_insert,tokio_postgres,1,,,30820828.0,ns,56
bench_insert,tokio_postgres,1,,,33224255.0,ns,58
bench_insert,tokio_postgres,1,,,25217215.0,ns,60
bench_insert,tokio_postgres,1,,,25522644.0,ns,62
bench_insert,tokio_postgres,1,,,26497971.0,ns,64
bench_insert,tokio_postgres,1,,,24241442.0,ns,66
bench_insert,tokio_postgres,1,,,34134966.0,ns,68
bench_insert,tokio_postgres,1,,,41633765.0,ns,70
bench_insert,tokio_postgres,1,,,39921267.0,ns,72
bench_insert,tokio_postgres,1,,,40402820.0,ns,74
bench_insert,tokio_postgres,1,,,45939891.0,ns,76
bench_insert,tokio_postgres,1,,,47232463.0,ns,78
bench_insert,tokio_postgres,1,,,41815514.0,ns,80
bench_insert,tokio_postgres,1,,,42982787.0,ns,82
bench_insert,tokio_postgres,1,,,49917455.0,ns,84
bench_insert,tokio_postgres,1,,,50352617.0,ns,86
bench_insert,tokio_postgres,1,,,37702526.0,ns,88
