group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async,100,,,2256445.0,ns,7
bench_medium_complex_query,diesel_async,100,,,3262255.0,ns,14
bench_medium_complex_query,diesel_async,100,,,4209455.0,ns,21
bench_medium_complex_query,diesel_async,100,,,5428462.0,ns,28
bench_medium_complex_query,diesel_async,100,,,6177795.0,ns,35
bench_medium_complex_query,diesel_async,100,,,7509465.0,ns,42
bench_medium_complex_query,diesel_async,100,,,8366983.0,ns,49
bench_medium_complex_query,diesel_async,100,,,9361573.0,ns,56
bench_medium_complex_query,diesel_async,100,,,10608942.0,ns,63
bench_medium_complex_query,diesel_async,100,,,11734474.0,ns,70
bench_medium_complex_query,diesel_async,100,,,12690240.0,ns,77
bench_medium_complex_query,diesel_async,100,,,13653052.0,ns,84
bench_medium_complex_query,diesel_async,100,,,14618406.0,ns,91
bench_medium_complex_query,diesel_async,100,,,15886239.0,ns,98
bench_medium_complex_query,diesel_async,100,,,16497518.0,ns,105
bench_medium_complex_query,diesel_async,100,,,17651275.0,ns,112
bench_medium_complex_query,diesel_async,100,,,18987748.0,ns,119
bench_medium_complex_query,diesel_async,100,,,19759974.0,ns,126
bench_medium_complex_query,diesel_async,100,,,20509641.0,ns,133
bench_medium_complex_query,diesel_async,100,,,21761635.0,ns,140
bench_medium_complex_query,diesel_async,100,,,22501559.0,ns,147
bench_medium_complex_query,diesel_async,100,,,23658658.0,ns,154
bench_medium_complex_query,diesel_async,100,,,25963054.0,ns,161
bench_medium_complex_query,diesel_async,100,,,26189813.0,ns,168
bench_medium_complex_query,diesel_async,100,,,28269389.0,ns,175
bench_medium_complex_query,diesel_async,100,,,27965919.0,ns,182
bench_medium_complex_query,diesel_async,100,,,29150900.0,ns,189
bench_medium_complex_query,diesel_async,100,,,30261466.0,ns,196
bench_medium_complex_query,diesel_async,100,,,31567689.0,ns,203
bench_medium_complex_query,diesel_async,100,,,31930599.0,ns,210
bench_medium_complex_query,diesel_async,100,,,33488061.0,ns,217
bench_medium_complex_query,diesel_async,100,,,34085626.0,ns,224
bench_medium_complex_query,diesel_async,100,,,36349172.0,ns,231
bench_medium_complex_query,diesel_async,100,,,36185970.0,ns,238
bench_medium_complex_query,diesel_async,100,,,38067239.0,ns,245
