group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,postgres_by_name,100,,,1106706.0,ns,9
bench_trivial_query,postgres_by_name,100,,,2064722.0,ns,18
bench_trivial_query,postgres_by_name,100,,,3188361.0,ns,27
bench_trivial_query,postgres_by_name,100,,,4097167.0,ns,36
bench_trivial_query,postgres_by_name,100,,,5734864.0,ns,45
bench_trivial_query,postgres_by_name,100,,,6185384.0,ns,54
bench_trivial_query,postgres_by_name,100,,,7210598.0,ns,63
bench_trivial_query,postgres_by_name,100,,,8111079.0,ns,72
bench_trivial_query,postgres_by_name,100,,,10200689.0,ns,81
bench_trivial_query,postgres_by_name,100,,,10307519.0,ns,90
bench_trivial_query,postgres_by_name,100,,,12676330.0,ns,99
bench_trivial_query,postgres_by_name,100,,,12455108.0,ns,108
bench_trivial_query,postgres_by_name,100,,,13614191.0,ns,117
bench_trivial_query,postgres_by_name,100,,,14420235.0,ns,126
bench_trivial_query,postgres_by_name,100,,,15409140.0,ns,135
bench_trivial_query,postgres_by_name,100,,,16046921.0,ns,144
bench_trivial_query,postgres_by_name,100,,,17746584.0,ns,153
bench_trivial_query,postgres_by_name,100,,,20523206.0,ns,162
bench_trivial_query,postgres_by_name,100,,,19862022.0,ns,171
bench_trivial_query,postgres_by_name,100,,,22857864.0,ns,180
bench_trivial_query,postgres_by_name,100,,,21895387.0,ns,189
bench_trivial_query,postgres_by_name,100,,,24995334.0,ns,198
bench_trivial_query,postgres_by_name,100,,,25172404.0,ns,207
bench_trivial_query,postgres_by_name,100,,,25726027.0,ns,216
bench_trivial_query,postgres_by_name,100,,,27469842.0,ns,225
bench_trivial_query,postgres_by_name,100,,,28764859.0,ns,234
bench_trivial_query,postgres_by_name,100,,,29110263.0,ns,243
bench_trivial_query,postgres_by_name,100,,,32272526.0,ns,252
bench_trivial_query,postgres_by_name,100,,,31009198.0,ns,261
bench_trivial_query,postgres_by_name,100,,,32673037.0,ns,270
bench_trivial_query,postgres_by_name,100,,,34103804.0,ns,279
bench_trivial_query,postgres_by_name,100,,,34895602.0,ns,288
bench_trivial_query,postgres_by_name,100,,,36872923.0,ns,297
bench_trivial_query,postgres_by_name,100,,,37549346.0,ns,306
bench_trivial_query,postgres_by_name,100,,,37647347.0,ns,315
bench_trivial_query,postgres_by_name,100,,,39658813.0,ns,324
bench_trivial_query,postgres_by_name,100,,,40517074.0,ns,333
bench_trivial_query,postgres_by_name,100,,,41137533.0,ns,342
bench_trivial_query,postgres_by_name,100,,,45010645.0,ns,351
bench_trivial_query,postgres_by_name,100,,,43592588.0,ns,360
bench_trivial_query,postgres_by_name,100,,,46460986.0,ns,369
bench_trivial_query,postgres_by_name,100,,,48594100.0,ns,378
bench_trivial_query,postgres_by_name,100,,,46687759.0,ns,387
bench_trivial_query,postgres_by_name,100,,,46912932.0,ns,396
bench_trivial_query,postgres_by_name,100,,,49508267.0,ns,405
bench_trivial_query,postgres_by_name,100,,,50941702.0,ns,414
bench_trivial_query,postgres_by_name,100,,,51098945.0,ns,423
bench_trivial_query,postgres_by_name,100,,,52133503.0,ns,432
bench_trivial_query,postgres_by_name,100,,,54229288.0,ns,441
bench_trivial_query,postgres_by_name,100,,,56372556.0,ns,450
bench_trivial_query,postgres_by_name,100,,,55165495.0,ns,459
bench_trivial_query,postgres_by_name,100,,,56580865.0,ns,468
bench_trivial_query,postgres_by_name,100,,,59176655.0,ns,477
bench_trivial_query,postgres_by_name,100,,,57475957.0,ns,486
bench_trivial_query,postgres_by_name,100,,,58936015.0,ns,495
bench_trivial_query,postgres_by_name,100,,,60888450.0,ns,504
bench_trivial_query,postgres_by_name,100,,,62798365.0,ns,513
bench_trivial_query,postgres_by_name,100,,,63821707.0,ns,522
bench_trivial_query,postgres_by_name,100,,,63708397.0,ns,531
bench_trivial_query,postgres_by_name,100,,,64059820.0,ns,540
bench_trivial_query,postgres_by_name,100,,,65668676.0,ns,549
bench_trivial_query,postgres_by_name,100,,,69445550.0,ns,558
bench_trivial_query,postgres_by_name,100,,,72119446.0,ns,567
bench_trivial_query,postgres_by_name,100,,,74271724.0,ns,576
bench_trivial_query,postgres_by_name,100,,,71096717.0,ns,585
bench_trivial_query,postgres_by_name,100,,,74978243.0,ns,594
bench_trivial_query,postgres_by_name,100,,,73352047.0,ns,603
bench_trivial_query,postgres_by_name,100,,,74517913.0,ns,612
bench_trivial_query,postgres_by_name,100,,,75708607.0,ns,621
bench_trivial_query,postgres_by_name,100,,,80518014.0,ns,630
bench_trivial_query,postgres_by_name,100,,,78928537.0,ns,639
bench_trivial_query,postgres_by_name,100,,,81443963.0,ns,648
bench_trivial_query,postgres_by_name,100,,,84447661.0,ns,657
bench_trivial_query,postgres_by_name,100,,,82760621.0,ns,666
bench_trivial_query,postgres_by_name,100,,,83239360.0,ns,675
bench_trivial_query,postgres_by_name,100,,,84603545.0,ns,684
bench_trivial_query,postgres_by_name,100,,,82296625.0,ns,693
bench_trivial_query,postgres_by_name,100,,,88924379.0,ns,702
bench_trivial_query,postgres_by_name,100,,,86088422.0,ns,711
bench_trivial_query,postgres_by_name,100,,,89612202.0,ns,720
bench_trivial_query,postgres_by_name,100,,,87821840.0,ns,729
bench_trivial_query,postgres_by_name,100,,,89594089.0,ns,738
bench_trivial_query,postgres_by_name,100,,,95350956.0,ns,747
bench_trivial_query,postgres_by_name,100,,,90688132.0,ns,756
bench_trivial_query,postgres_by_name,100,,,92979926.0,ns,765
bench_trivial_query,postgres_by_name,100,,,100682849.0,ns,774
bench_trivial_query,postgres_by_name,100,,,93971090.0,ns,783
bench_trivial_query,postgres_by_name,100,,,96168004.0,ns,792
bench_trivial_query,postgres_by_name,100,,,98322614.0,ns,801
bench_trivial_query,postgres_by_name,100,,,100052713.0,ns,810
bench_trivial_query,postgres_by_name,100,,,97422840.0,ns,819
bench_trivial_query,postgres_by_name,100,,,100330263.0,ns,828
bench_trivial_query,postgres_by_name,100,,,101803605.0,ns,837
bench_trivial_query,postgres_by_name,100,,,101320902.0,ns,846
bench_trivial_query,postgres_by_name,100,,,130253854.0,ns,855
bench_trivial_query,postgres_by_name,100,,,104317135.0,ns,864
bench_trivial_query,postgres_by_name,100,,,109194605.0,ns,873
bench_trivial_query,postgres_by_name,100,,,106021970.0,ns,882
bench_trivial_query,postgres_by_name,100,,,107290075.0,ns,891
bench_trivial_query,postgres_by_name,100,,,116951080.0,ns,900
