group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_from_row,100,,,1088317.0,ns,7
bench_trivial_query,sqlx_query_from_row,100,,,1999713.0,ns,14
bench_trivial_query,sqlx_query_from_row,100,,,3394520.0,ns,21
bench_trivial_query,sqlx_query_from_row,100,,,3896756.0,ns,28
bench_trivial_query,sqlx_query_from_row,100,,,5419799.0,ns,35
bench_trivial_query,sqlx_query_from_row,100,,,5952523.0,ns,42
bench_trivial_query,sqlx_query_from_row,100,,,7588209.0,ns,49
bench_trivial_query,sqlx_query_from_row,100,,,7877668.0,ns,56
bench_trivial_query,sqlx_query_from_row,100,,,9489930.0,ns,63
bench_trivial_query,sqlx_query_from_row,100,,,9904511.0,ns,70
bench_trivial_query,sqlx_query_from_row,100,,,11278560.0,ns,77
bench_trivial_query,sqlx_query_from_row,100,,,11933409.0,ns,84
bench_trivial_query,sqlx_query_from_row,100,,,13241297.0,ns,91
bench_trivial_query,sqlx_query_from_row,100,,,13726588.0,ns,98
bench_trivial_query,sqlx_query_from_row,100,,,15463663.0,ns,105
bench_trivial_query,sqlx_query_from_row,100,,,15608291.0,ns,112
bench_trivial_query,sqlx_query_from_row,100,,,17544539.0,ns,119
bench_trivial_query,sqlx_query_from_row,100,,,17802366.0,ns,126
bench_trivial_query,sqlx_query_from_row,100,,,19408986.0,ns,133
bench_trivial_query,sqlx_query_from_row,100,,,19714607.0,ns,140
bench_trivial_query,sqlx_query_from_row,100,,,22045707.0,ns,147
bench_trivial_query,sqlx_query_from_row,100,,,22227398.0,ns,154
bench_trivial_query,sqlx_query_from_row,100,,,22930323.0,ns,161
bench_trivial_query,sqlx_query_from_row,100,,,24203808.0,ns,168
bench_trivial_query,sqlx_query_from_row,100,,,25581972.0,ns,175
bench_trivial_query,sqlx_query_from_row,100,,,26381170.0,ns,182
bench_trivial_query,sqlx_query_from_row,100,,,27162644.0,ns,189
bench_trivial_query,sqlx_query_from_row,100,,,27683024.0,ns,196
bench_trivial_query,sqlx_query_from_row,100,,,29595956.0,ns,203
bench_trivial_query,sqlx_query_from_row,100,,,30179039.0,ns,210
bench_trivial_query,sqlx_query_from_row,100,,,31489993.0,ns,217
bench_trivial_query,sqlx_query_from_row,100,,,31906190.0,ns,224
bench_trivial_query,sqlx_query_from_row,100,,,33761832.0,ns,231
bench_trivial_query,sqlx_query_from_row,100,,,34115268.0,ns,238
bench_trivial_query,sqlx_query_from_row,100,,,34880786.0,ns,245
bench_trivial_query,sqlx_query_from_row,100,,,35687651.0,ns,252
bench_trivial_query,sqlx_query_from_row,100,,,37191689.0,ns,259
bench_trivial_query,sqlx_query_from_row,100,,,38064494.0,ns,266
bench_trivial_query,sqlx_query_from_row,100,,,38766791.0,ns,273
bench_trivial_query,sqlx_query_from_row,100,,,39846783.0,ns,280
bench_trivial_query,sqlx_query_from_row,100,,,40206081.0,ns,287
bench_trivial_query,sqlx_query_from_row,100,,,42734660.0,ns,294
bench_trivial_query,sqlx_query_from_row,100,,,43337338.0,ns,301
bench_trivial_query,sqlx_query_from_row,100,,,44251425.0,ns,308
bench_trivial_query,sqlx_query_from_row,100,,,45674954.0,ns,315
