group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50847203.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51054567.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51419256.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51900359.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51076255.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50812208.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51213402.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51128776.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52047052.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50886184.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51364240.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,58523919.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51504059.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50550943.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,54625980.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51752932.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51626388.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,55610988.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50889171.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50843667.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51152102.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50844557.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50791443.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51239774.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50616898.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51091957.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51475458.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,55788914.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50999003.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50807341.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,54154219.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52041377.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50987637.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51241805.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50614493.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,57009375.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50571100.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50768468.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51646079.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,59371359.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52077507.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51116911.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51295763.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50995892.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,59676682.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,56448782.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50411787.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51328534.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52126404.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52981451.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,55356939.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,54657085.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,55723864.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,55687604.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,56586865.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51018471.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51436746.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51282703.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,53962122.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,57550695.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51315802.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51161346.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,58406837.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,56187342.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51029210.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,54959277.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50934936.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51049619.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,58184613.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50791097.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51294312.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,59094711.0,ns,18
