group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,1110224.0,ns,3
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,2210129.0,ns,6
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,3287682.0,ns,9
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,4387757.0,ns,12
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,5504504.0,ns,15
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,6615939.0,ns,18
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,7717788.0,ns,21
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,8827209.0,ns,24
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,9936462.0,ns,27
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,10985262.0,ns,30
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,12115173.0,ns,33
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,13193907.0,ns,36
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,14276069.0,ns,39
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,15392925.0,ns,42
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,16510934.0,ns,45
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,17553632.0,ns,48
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,18578578.0,ns,51
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,19897630.0,ns,54
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,20865909.0,ns,57
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,22233192.0,ns,60
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,23241025.0,ns,63
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,24350909.0,ns,66
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,25123104.0,ns,69
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,26379229.0,ns,72
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,27657225.0,ns,75
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,28830786.0,ns,78
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,29886479.0,ns,81
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,30891427.0,ns,84
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,31800287.0,ns,87
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,32995510.0,ns,90
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,34067061.0,ns,93
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,35359053.0,ns,96
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,36178256.0,ns,99
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,37292547.0,ns,102
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,40151452.0,ns,105
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,39568659.0,ns,108
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,40560613.0,ns,111
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,41520267.0,ns,114
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,43030985.0,ns,117
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,44319761.0,ns,120
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,44605171.0,ns,123
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,46127071.0,ns,126
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,47363439.0,ns,129
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,48258784.0,ns,132
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,49506092.0,ns,135
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,50487387.0,ns,138
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,51535445.0,ns,141
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,52464733.0,ns,144
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,54045582.0,ns,147
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,55027506.0,ns,150
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,56010464.0,ns,153
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,57130587.0,ns,156
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,58542881.0,ns,159
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,59588766.0,ns,162
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,60561835.0,ns,165
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,61783566.0,ns,168
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,62687156.0,ns,171
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,64753408.0,ns,174
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,64902925.0,ns,177
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,65503852.0,ns,180
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,67128483.0,ns,183
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,68168756.0,ns,186
bench_loading_associations_sequentially,diesel/bench_loading_associations_sequentially,,,,69395317.0,ns,189
