group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async,10,,,1263971.0,ns,11
bench_trivial_query,diesel_async,10,,,2242474.0,ns,22
bench_trivial_query,diesel_async,10,,,3129891.0,ns,33
bench_trivial_query,diesel_async,10,,,4198819.0,ns,44
bench_trivial_query,diesel_async,10,,,5272478.0,ns,55
bench_trivial_query,diesel_async,10,,,6337516.0,ns,66
bench_trivial_query,diesel_async,10,,,7236413.0,ns,77
bench_trivial_query,diesel_async,10,,,7957260.0,ns,88
bench_trivial_query,diesel_async,10,,,9062618.0,ns,99
bench_trivial_query,diesel_async,10,,,9855370.0,ns,110
bench_trivial_query,diesel_async,10,,,11446359.0,ns,121
bench_trivial_query,diesel_async,10,,,12472103.0,ns,132
bench_trivial_query,diesel_async,10,,,13365249.0,ns,143
bench_trivial_query,diesel_async,10,,,14403316.0,ns,154
bench_trivial_query,diesel_async,10,,,15719832.0,ns,165
bench_trivial_query,diesel_async,10,,,17174384.0,ns,176
bench_trivial_query,diesel_async,10,,,17627870.0,ns,187
bench_trivial_query,diesel_async,10,,,18875290.0,ns,198
bench_trivial_query,diesel_async,10,,,20522123.0,ns,209
bench_trivial_query,diesel_async,10,,,20250879.0,ns,220
bench_trivial_query,diesel_async,10,,,21638386.0,ns,231
bench_trivial_query,diesel_async,10,,,23323730.0,ns,242
bench_trivial_query,diesel_async,10,,,24044376.0,ns,253
bench_trivial_query,diesel_async,10,,,24738766.0,ns,264
bench_trivial_query,diesel_async,10,,,25997049.0,ns,275
bench_trivial_query,diesel_async,10,,,26693762.0,ns,286
bench_trivial_query,diesel_async,10,,,29171477.0,ns,297
bench_trivial_query,diesel_async,10,,,29580619.0,ns,308
bench_trivial_query,diesel_async,10,,,30126052.0,ns,319
bench_trivial_query,diesel_async,10,,,30864912.0,ns,330
bench_trivial_query,diesel_async,10,,,32296316.0,ns,341
bench_trivial_query,diesel_async,10,,,33495662.0,ns,352
bench_trivial_query,diesel_async,10,,,34795090.0,ns,363
bench_trivial_query,diesel_async,10,,,34820052.0,ns,374
bench_trivial_query,diesel_async,10,,,35875557.0,ns,385
bench_trivial_query,diesel_async,10,,,36808401.0,ns,396
bench_trivial_query,diesel_async,10,,,38639189.0,ns,407
bench_trivial_query,diesel_async,10,,,39810113.0,ns,418
bench_trivial_query,diesel_async,10,,,40052897.0,ns,429
bench_trivial_query,diesel_async,10,,,42065657.0,ns,440
bench_trivial_query,diesel_async,10,,,42907265.0,ns,451
bench_trivial_query,diesel_async,10,,,43391216.0,ns,462
bench_trivial_query,diesel_async,10,,,50115322.0,ns,473
bench_trivial_query,diesel_async,10,,,45225308.0,ns,484
bench_trivial_query,diesel_async,10,,,46805617.0,ns,495
bench_trivial_query,diesel_async,10,,,47665604.0,ns,506
bench_trivial_query,diesel_async,10,,,53648625.0,ns,517
bench_trivial_query,diesel_async,10,,,51702486.0,ns,528
bench_trivial_query,diesel_async,10,,,51929358.0,ns,539
bench_trivial_query,diesel_async,10,,,52440701.0,ns,550
bench_trivial_query,diesel_async,10,,,53661600.0,ns,561
bench_trivial_query,diesel_async,10,,,53268101.0,ns,572
bench_trivial_query,diesel_async,10,,,54759308.0,ns,583
bench_trivial_query,diesel_async,10,,,57028148.0,ns,594
bench_trivial_query,diesel_async,10,,,56265756.0,ns,605
bench_trivial_query,diesel_async,10,,,58091834.0,ns,616
bench_trivial_query,diesel_async,10,,,58822351.0,ns,627
bench_trivial_query,diesel_async,10,,,60586263.0,ns,638
bench_trivial_query,diesel_async,10,,,62014446.0,ns,649
bench_trivial_query,diesel_async,10,,,65576223.0,ns,660
bench_trivial_query,diesel_async,10,,,69439333.0,ns,671
