group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,1000,,,2036785.0,ns,2
bench_medium_complex_query,sqlx_query_from_row,1000,,,3396812.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,1000,,,5415623.0,ns,6
bench_medium_complex_query,sqlx_query_from_row,1000,,,5953250.0,ns,8
bench_medium_complex_query,sqlx_query_from_row,1000,,,7237645.0,ns,10
bench_medium_complex_query,sqlx_query_from_row,1000,,,9556388.0,ns,12
bench_medium_complex_query,sqlx_query_from_row,1000,,,9630577.0,ns,14
bench_medium_complex_query,sqlx_query_from_row,1000,,,12318030.0,ns,16
bench_medium_complex_query,sqlx_query_from_row,1000,,,12119910.0,ns,18
bench_medium_complex_query,sqlx_query_from_row,1000,,,15161506.0,ns,20
bench_medium_complex_query,sqlx_query_from_row,1000,,,14450484.0,ns,22
bench_medium_complex_query,sqlx_query_from_row,1000,,,17909513.0,ns,24
bench_medium_complex_query,sqlx_query_from_row,1000,,,17148918.0,ns,26
bench_medium_complex_query,sqlx_query_from_row,1000,,,20622664.0,ns,28
bench_medium_complex_query,sqlx_query_from_row,1000,,,19318512.0,ns,30
bench_medium_complex_query,sqlx_query_from_row,1000,,,23362446.0,ns,32
bench_medium_complex_query,sqlx_query_from_row,1000,,,24867093.0,ns,34
bench_medium_complex_query,sqlx_query_from_row,1000,,,22847260.0,ns,36
bench_medium_complex_query,sqlx_query_from_row,1000,,,27850521.0,ns,38
bench_medium_complex_query,sqlx_query_from_row,1000,,,25373442.0,ns,40
bench_medium_complex_query,sqlx_query_from_row,1000,,,29849163.0,ns,42
bench_medium_complex_query,sqlx_query_from_row,1000,,,31896882.0,ns,44
bench_medium_complex_query,sqlx_query_from_row,1000,,,32508816.0,ns,46
bench_medium_complex_query,sqlx_query_from_row,1000,,,34573322.0,ns,48
bench_medium_complex_query,sqlx_query_from_row,1000,,,31628150.0,ns,50
bench_medium_complex_query,sqlx_query_from_row,1000,,,37459563.0,ns,52
bench_medium_complex_query,sqlx_query_from_row,1000,,,37716563.0,ns,54
bench_medium_complex_query,sqlx_query_from_row,1000,,,36191039.0,ns,56
bench_medium_complex_query,sqlx_query_from_row,1000,,,39849454.0,ns,58
bench_medium_complex_query,sqlx_query_from_row,1000,,,43031819.0,ns,60
bench_medium_complex_query,sqlx_query_from_row,1000,,,38690629.0,ns,62
bench_medium_complex_query,sqlx_query_from_row,1000,,,40146500.0,ns,64
bench_medium_complex_query,sqlx_query_from_row,1000,,,41110844.0,ns,66
bench_medium_complex_query,sqlx_query_from_row,1000,,,46132441.0,ns,68
bench_medium_complex_query,sqlx_query_from_row,1000,,,43449581.0,ns,70
bench_medium_complex_query,sqlx_query_from_row,1000,,,49259892.0,ns,72
bench_medium_complex_query,sqlx_query_from_row,1000,,,46234932.0,ns,74
bench_medium_complex_query,sqlx_query_from_row,1000,,,53695072.0,ns,76
bench_medium_complex_query,sqlx_query_from_row,1000,,,48591452.0,ns,78
bench_medium_complex_query,sqlx_query_from_row,1000,,,54390432.0,ns,80
bench_medium_complex_query,sqlx_query_from_row,1000,,,55654561.0,ns,82
bench_medium_complex_query,sqlx_query_from_row,1000,,,57313251.0,ns,84
bench_medium_complex_query,sqlx_query_from_row,1000,,,57195365.0,ns,86
bench_medium_complex_query,sqlx_query_from_row,1000,,,54357621.0,ns,88
bench_medium_complex_query,sqlx_query_from_row,1000,,,55461106.0,ns,90
bench_medium_complex_query,sqlx_query_from_row,1000,,,57385166.0,ns,92
bench_medium_complex_query,sqlx_query_from_row,1000,,,61881598.0,ns,94
bench_medium_complex_query,sqlx_query_from_row,1000,,,63858139.0,ns,96
bench_medium_complex_query,sqlx_query_from_row,1000,,,63678582.0,ns,98
bench_medium_complex_query,sqlx_query_from_row,1000,,,65115991.0,ns,100
bench_medium_complex_query,sqlx_query_from_row,1000,,,67456037.0,ns,102
bench_medium_complex_query,sqlx_query_from_row,1000,,,64483609.0,ns,104
bench_medium_complex_query,sqlx_query_from_row,1000,,,65679485.0,ns,106
bench_medium_complex_query,sqlx_query_from_row,1000,,,66956245.0,ns,108
bench_medium_complex_query,sqlx_query_from_row,1000,,,77311311.0,ns,110
bench_medium_complex_query,sqlx_query_from_row,1000,,,70648411.0,ns,112
bench_medium_complex_query,sqlx_query_from_row,1000,,,70311913.0,ns,114
bench_medium_complex_query,sqlx_query_from_row,1000,,,75735131.0,ns,116
bench_medium_complex_query,sqlx_query_from_row,1000,,,76454327.0,ns,118
bench_medium_complex_query,sqlx_query_from_row,1000,,,74089553.0,ns,120
bench_medium_complex_query,sqlx_query_from_row,1000,,,80666290.0,ns,122
bench_medium_complex_query,sqlx_query_from_row,1000,,,77006186.0,ns,124
bench_medium_complex_query,sqlx_query_from_row,1000,,,81245052.0,ns,126
bench_medium_complex_query,sqlx_query_from_row,1000,,,78749627.0,ns,128
bench_medium_complex_query,sqlx_query_from_row,1000,,,87141334.0,ns,130
bench_medium_complex_query,sqlx_query_from_row,1000,,,93066760.0,ns,132
bench_medium_complex_query,sqlx_query_from_row,1000,,,82356704.0,ns,134
bench_medium_complex_query,sqlx_query_from_row,1000,,,83483003.0,ns,136
bench_medium_complex_query,sqlx_query_from_row,1000,,,85788884.0,ns,138
bench_medium_complex_query,sqlx_query_from_row,1000,,,91975154.0,ns,140
bench_medium_complex_query,sqlx_query_from_row,1000,,,86538465.0,ns,142
bench_medium_complex_query,sqlx_query_from_row,1000,,,88210455.0,ns,144
bench_medium_complex_query,sqlx_query_from_row,1000,,,93709033.0,ns,146
bench_medium_complex_query,sqlx_query_from_row,1000,,,95151053.0,ns,148
bench_medium_complex_query,sqlx_query_from_row,1000,,,95107756.0,ns,150
bench_medium_complex_query,sqlx_query_from_row,1000,,,93295478.0,ns,152
bench_medium_complex_query,sqlx_query_from_row,1000,,,104059104.0,ns,154
bench_medium_complex_query,sqlx_query_from_row,1000,,,96043804.0,ns,156
bench_medium_complex_query,sqlx_query_from_row,1000,,,97396319.0,ns,158
bench_medium_complex_query,sqlx_query_from_row,1000,,,97339040.0,ns,160
bench_medium_complex_query,sqlx_query_from_row,1000,,,99073898.0,ns,162
bench_medium_complex_query,sqlx_query_from_row,1000,,,104358951.0,ns,164
bench_medium_complex_query,sqlx_query_from_row,1000,,,102136254.0,ns,166
bench_medium_complex_query,sqlx_query_from_row,1000,,,103458890.0,ns,168
bench_medium_complex_query,sqlx_query_from_row,1000,,,104235304.0,ns,170
bench_medium_complex_query,sqlx_query_from_row,1000,,,104572215.0,ns,172
bench_medium_complex_query,sqlx_query_from_row,1000,,,110816758.0,ns,174
bench_medium_complex_query,sqlx_query_from_row,1000,,,107694993.0,ns,176
bench_medium_complex_query,sqlx_query_from_row,1000,,,113065550.0,ns,178
bench_medium_complex_query,sqlx_query_from_row,1000,,,115036842.0,ns,180
bench_medium_complex_query,sqlx_query_from_row,1000,,,124251688.0,ns,182
bench_medium_complex_query,sqlx_query_from_row,1000,,,112152750.0,ns,184
bench_medium_complex_query,sqlx_query_from_row,1000,,,117111914.0,ns,186
bench_medium_complex_query,sqlx_query_from_row,1000,,,117547477.0,ns,188
bench_medium_complex_query,sqlx_query_from_row,1000,,,120570004.0,ns,190
bench_medium_complex_query,sqlx_query_from_row,1000,,,120990463.0,ns,192
bench_medium_complex_query,sqlx_query_from_row,1000,,,118718046.0,ns,194
bench_medium_complex_query,sqlx_query_from_row,1000,,,119898383.0,ns,196
bench_medium_complex_query,sqlx_query_from_row,1000,,,120687389.0,ns,198
bench_medium_complex_query,sqlx_query_from_row,1000,,,121743062.0,ns,200
