group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,wtx,100,,,1999526.0,ns,10
bench_medium_complex_query,wtx,100,,,2817608.0,ns,20
bench_medium_complex_query,wtx,100,,,3725522.0,ns,30
bench_medium_complex_query,wtx,100,,,5013048.0,ns,40
bench_medium_complex_query,wtx,100,,,6408943.0,ns,50
bench_medium_complex_query,wtx,100,,,7110577.0,ns,60
bench_medium_complex_query,wtx,100,,,7968389.0,ns,70
bench_medium_complex_query,wtx,100,,,9224957.0,ns,80
bench_medium_complex_query,wtx,100,,,10150466.0,ns,90
bench_medium_complex_query,wtx,100,,,11685266.0,ns,100
bench_medium_complex_query,wtx,100,,,12109448.0,ns,110
bench_medium_complex_query,wtx,100,,,13239483.0,ns,120
bench_medium_complex_query,wtx,100,,,14501521.0,ns,130
bench_medium_complex_query,wtx,100,,,14745075.0,ns,140
bench_medium_complex_query,wtx,100,,,16115487.0,ns,150
bench_medium_complex_query,wtx,100,,,17474959.0,ns,160
bench_medium_complex_query,wtx,100,,,18154621.0,ns,170
bench_medium_complex_query,wtx,100,,,21327935.0,ns,180
bench_medium_complex_query,wtx,100,,,22119860.0,ns,190
bench_medium_complex_query,wtx,100,,,23127081.0,ns,200
bench_medium_complex_query,wtx,100,,,23221896.0,ns,210
bench_medium_complex_query,wtx,100,,,25242613.0,ns,220
bench_medium_complex_query,wtx,100,,,26416809.0,ns,230
bench_medium_complex_query,wtx,100,,,25468540.0,ns,240
bench_medium_complex_query,wtx,100,,,28418452.0,ns,250
bench_medium_complex_query,wtx,100,,,27391392.0,ns,260
bench_medium_complex_query,wtx,100,,,31624617.0,ns,270
bench_medium_complex_query,wtx,100,,,28635852.0,ns,280
bench_medium_complex_query,wtx,100,,,34540793.0,ns,290
bench_medium_complex_query,wtx,100,,,30878959.0,ns,300
bench_medium_complex_query,wtx,100,,,34695329.0,ns,310
bench_medium_complex_query,wtx,100,,,33209599.0,ns,320
bench_medium_complex_query,wtx,100,,,37467541.0,ns,330
bench_medium_complex_query,wtx,100,,,36555797.0,ns,340
bench_medium_complex_query,wtx,100,,,40345770.0,ns,350
bench_medium_complex_query,wtx,100,,,37609497.0,ns,360
bench_medium_complex_query,wtx,100,,,39414486.0,ns,370
bench_medium_complex_query,wtx,100,,,41966557.0,ns,380
bench_medium_complex_query,wtx,100,,,41589196.0,ns,390
bench_medium_complex_query,wtx,100,,,42844410.0,ns,400
bench_medium_complex_query,wtx,100,,,44670080.0,ns,410
bench_medium_complex_query,wtx,100,,,48272087.0,ns,420
bench_medium_complex_query,wtx,100,,,44417031.0,ns,430
bench_medium_complex_query,wtx,100,,,48527125.0,ns,440
bench_medium_complex_query,wtx,100,,,49055973.0,ns,450
bench_medium_complex_query,wtx,100,,,52198359.0,ns,460
bench_medium_complex_query,wtx,100,,,48744472.0,ns,470
bench_medium_complex_query,wtx,100,,,50042638.0,ns,480
bench_medium_complex_query,wtx,100,,,52850206.0,ns,490
bench_medium_complex_query,wtx,100,,,51139912.0,ns,500
bench_medium_complex_query,wtx,100,,,52475189.0,ns,510
bench_medium_complex_query,wtx,100,,,55379182.0,ns,520
bench_medium_complex_query,wtx,100,,,56082225.0,ns,530
bench_medium_complex_query,wtx,100,,,57883815.0,ns,540
bench_medium_complex_query,wtx,100,,,57225671.0,ns,550
bench_medium_complex_query,wtx,100,,,60668989.0,ns,560
bench_medium_complex_query,wtx,100,,,61191013.0,ns,570
bench_medium_complex_query,wtx,100,,,62116789.0,ns,580
bench_medium_complex_query,wtx,100,,,61447895.0,ns,590
bench_medium_complex_query,wtx,100,,,62569909.0,ns,600
bench_medium_complex_query,wtx,100,,,65122533.0,ns,610
bench_medium_complex_query,wtx,100,,,66687074.0,ns,620
bench_medium_complex_query,wtx,100,,,66432920.0,ns,630
bench_medium_complex_query,wtx,100,,,67986351.0,ns,640
bench_medium_complex_query,wtx,100,,,75901740.0,ns,650
bench_medium_complex_query,wtx,100,,,73164741.0,ns,660
bench_medium_complex_query,wtx,100,,,72428476.0,ns,670
bench_medium_complex_query,wtx,100,,,70146852.0,ns,680
bench_medium_complex_query,wtx,100,,,75639628.0,ns,690
bench_medium_complex_query,wtx,100,,,74484195.0,ns,700
bench_medium_complex_query,wtx,100,,,76112547.0,ns,710
bench_medium_complex_query,wtx,100,,,82724635.0,ns,720
bench_medium_complex_query,wtx,100,,,78686026.0,ns,730
bench_medium_complex_query,wtx,100,,,76320404.0,ns,740
bench_medium_complex_query,wtx,100,,,80583445.0,ns,750
bench_medium_complex_query,wtx,100,,,80828637.0,ns,760
bench_medium_complex_query,wtx,100,,,88235369.0,ns,770
bench_medium_complex_query,wtx,100,,,81658169.0,ns,780
bench_medium_complex_query,wtx,100,,,85857232.0,ns,790
bench_medium_complex_query,wtx,100,,,91585770.0,ns,800
bench_medium_complex_query,wtx,100,,,84043802.0,ns,810
bench_medium_complex_query,wtx,100,,,91393843.0,ns,820
bench_medium_complex_query,wtx,100,,,87477372.0,ns,830
bench_medium_complex_query,wtx,100,,,94585147.0,ns,840
bench_medium_complex_query,wtx,100,,,95484524.0,ns,850
bench_medium_complex_query,wtx,100,,,91220737.0,ns,860
bench_medium_complex_query,wtx,100,,,93867976.0,ns,870
bench_medium_complex_query,wtx,100,,,92908746.0,ns,880
bench_medium_complex_query,wtx,100,,,102416640.0,ns,890
bench_medium_complex_query,wtx,100,,,93894938.0,ns,900
bench_medium_complex_query,wtx,100,,,104435266.0,ns,910
bench_medium_complex_query,wtx,100,,,101694107.0,ns,920
bench_medium_complex_query,wtx,100,,,103663093.0,ns,930
bench_medium_complex_query,wtx,100,,,99104315.0,ns,940
bench_medium_complex_query,wtx,100,,,105566008.0,ns,950
bench_medium_complex_query,wtx,100,,,104347163.0,ns,960
bench_medium_complex_query,wtx,100,,,106588080.0,ns,970
bench_medium_complex_query,wtx,100,,,101766487.0,ns,980
bench_medium_complex_query,wtx,100,,,109798596.0,ns,990
bench_medium_complex_query,wtx,100,,,110013029.0,ns,1000
