group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_boxed,100,,,1234693.0,ns,8
bench_trivial_query,diesel_async_boxed,100,,,2310260.0,ns,16
bench_trivial_query,diesel_async_boxed,100,,,3287265.0,ns,24
bench_trivial_query,diesel_async_boxed,100,,,4319635.0,ns,32
bench_trivial_query,diesel_async_boxed,100,,,5453328.0,ns,40
bench_trivial_query,diesel_async_boxed,100,,,6447673.0,ns,48
bench_trivial_query,diesel_async_boxed,100,,,7470391.0,ns,56
bench_trivial_query,diesel_async_boxed,100,,,8713602.0,ns,64
bench_trivial_query,diesel_async_boxed,100,,,9659919.0,ns,72
bench_trivial_query,diesel_async_boxed,100,,,10724606.0,ns,80
bench_trivial_query,diesel_async_boxed,100,,,11738990.0,ns,88
bench_trivial_query,diesel_async_boxed,100,,,12850051.0,ns,96
bench_trivial_query,diesel_async_boxed,100,,,13989984.0,ns,104
bench_trivial_query,diesel_async_boxed,100,,,14927150.0,ns,112
bench_trivial_query,diesel_async_boxed,100,,,15926168.0,ns,120
bench_trivial_query,diesel_async_boxed,100,,,17476284.0,ns,128
bench_trivial_query,diesel_async_boxed,100,,,18318438.0,ns,136
bench_trivial_query,diesel_async_boxed,100,,,19362990.0,ns,144
bench_trivial_query,diesel_async_boxed,100,,,20436293.0,ns,152
bench_trivial_query,diesel_async_boxed,100,,,21380124.0,ns,160
bench_trivial_query,diesel_async_boxed,100,,,22201540.0,ns,168
bench_trivial_query,diesel_async_boxed,100,,,23548887.0,ns,176
bench_trivial_query,diesel_async_boxed,100,,,24391947.0,ns,184
bench_trivial_query,diesel_async_boxed,100,,,25160925.0,ns,192
bench_trivial_query,diesel_async_boxed,100,,,27064320.0,ns,200
bench_trivial_query,diesel_async_boxed,100,,,27665136.0,ns,208
bench_trivial_query,diesel_async_boxed,100,,,28693175.0,ns,216
bench_trivial_query,diesel_async_boxed,100,,,29647847.0,ns,224
bench_trivial_query,diesel_async_boxed,100,,,30647796.0,ns,232
bench_trivial_query,diesel_async_boxed,100,,,31837644.0,ns,240
bench_trivial_query,diesel_async_boxed,100,,,32838362.0,ns,248
bench_trivial_query,diesel_async_boxed,100,,,34141373.0,ns,256
bench_trivial_query,diesel_async_boxed,100,,,34971497.0,ns,264
bench_trivial_query,diesel_async_boxed,100,,,36507636.0,ns,272
bench_trivial_query,diesel_async_boxed,100,,,37277040.0,ns,280
bench_trivial_query,diesel_async_boxed,100,,,38360448.0,ns,288
bench_trivial_query,diesel_async_boxed,100,,,39024853.0,ns,296
bench_trivial_query,diesel_async_boxed,100,,,40036354.0,ns,304
bench_trivial_query,diesel_async_boxed,100,,,41021238.0,ns,312
bench_trivial_query,diesel_async_boxed,100,,,42782791.0,ns,320
bench_trivial_query,diesel_async_boxed,100,,,44088184.0,ns,328
bench_trivial_query,diesel_async_boxed,100,,,45137592.0,ns,336
bench_trivial_query,diesel_async_boxed,100,,,45935596.0,ns,344
bench_trivial_query,diesel_async_boxed,100,,,46783089.0,ns,352
bench_trivial_query,diesel_async_boxed,100,,,47712795.0,ns,360
bench_trivial_query,diesel_async_boxed,100,,,47936450.0,ns,368
bench_trivial_query,diesel_async_boxed,100,,,50064401.0,ns,376
bench_trivial_query,diesel_async_boxed,100,,,51366239.0,ns,384
bench_trivial_query,diesel_async_boxed,100,,,53495210.0,ns,392
bench_trivial_query,diesel_async_boxed,100,,,53630413.0,ns,400
bench_trivial_query,diesel_async_boxed,100,,,54070998.0,ns,408
bench_trivial_query,diesel_async_boxed,100,,,55060778.0,ns,416
bench_trivial_query,diesel_async_boxed,100,,,56212063.0,ns,424
bench_trivial_query,diesel_async_boxed,100,,,57406853.0,ns,432
bench_trivial_query,diesel_async_boxed,100,,,57898377.0,ns,440
