group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async_boxed,10,,,1282832.0,ns,11
bench_trivial_query,diesel_async_boxed,10,,,2282897.0,ns,22
bench_trivial_query,diesel_async_boxed,10,,,3118980.0,ns,33
bench_trivial_query,diesel_async_boxed,10,,,4142316.0,ns,44
bench_trivial_query,diesel_async_boxed,10,,,5254571.0,ns,55
bench_trivial_query,diesel_async_boxed,10,,,6149688.0,ns,66
bench_trivial_query,diesel_async_boxed,10,,,7491815.0,ns,77
bench_trivial_query,diesel_async_boxed,10,,,8672100.0,ns,88
bench_trivial_query,diesel_async_boxed,10,,,10028929.0,ns,99
bench_trivial_query,diesel_async_boxed,10,,,10366248.0,ns,110
bench_trivial_query,diesel_async_boxed,10,,,11384692.0,ns,121
bench_trivial_query,diesel_async_boxed,10,,,12006864.0,ns,132
bench_trivial_query,diesel_async_boxed,10,,,12956913.0,ns,143
bench_trivial_query,diesel_async_boxed,10,,,14147087.0,ns,154
bench_trivial_query,diesel_async_boxed,10,,,15618813.0,ns,165
bench_trivial_query,diesel_async_boxed,10,,,16036577.0,ns,176
bench_trivial_query,diesel_async_boxed,10,,,17285014.0,ns,187
bench_trivial_query,diesel_async_boxed,10,,,18385197.0,ns,198
bench_trivial_query,diesel_async_boxed,10,,,19341184.0,ns,209
bench_trivial_query,diesel_async_boxed,10,,,20798377.0,ns,220
bench_trivial_query,diesel_async_boxed,10,,,22324960.0,ns,231
bench_trivial_query,diesel_async_boxed,10,,,21947547.0,ns,242
bench_trivial_query,diesel_async_boxed,10,,,24155765.0,ns,253
bench_trivial_query,diesel_async_boxed,10,,,24985966.0,ns,264
bench_trivial_query,diesel_async_boxed,10,,,25847044.0,ns,275
bench_trivial_query,diesel_async_boxed,10,,,27273357.0,ns,286
bench_trivial_query,diesel_async_boxed,10,,,27332861.0,ns,297
bench_trivial_query,diesel_async_boxed,10,,,29235555.0,ns,308
bench_trivial_query,diesel_async_boxed,10,,,29706578.0,ns,319
bench_trivial_query,diesel_async_boxed,10,,,31204319.0,ns,330
bench_trivial_query,diesel_async_boxed,10,,,33782730.0,ns,341
bench_trivial_query,diesel_async_boxed,10,,,32935143.0,ns,352
bench_trivial_query,diesel_async_boxed,10,,,33707013.0,ns,363
bench_trivial_query,diesel_async_boxed,10,,,35606883.0,ns,374
bench_trivial_query,diesel_async_boxed,10,,,35944560.0,ns,385
bench_trivial_query,diesel_async_boxed,10,,,37247406.0,ns,396
bench_trivial_query,diesel_async_boxed,10,,,38012002.0,ns,407
bench_trivial_query,diesel_async_boxed,10,,,39508530.0,ns,418
bench_trivial_query,diesel_async_boxed,10,,,40169522.0,ns,429
bench_trivial_query,diesel_async_boxed,10,,,40732033.0,ns,440
bench_trivial_query,diesel_async_boxed,10,,,42938719.0,ns,451
bench_trivial_query,diesel_async_boxed,10,,,43074465.0,ns,462
bench_trivial_query,diesel_async_boxed,10,,,44899095.0,ns,473
bench_trivial_query,diesel_async_boxed,10,,,45918859.0,ns,484
bench_trivial_query,diesel_async_boxed,10,,,45768804.0,ns,495
bench_trivial_query,diesel_async_boxed,10,,,47773642.0,ns,506
bench_trivial_query,diesel_async_boxed,10,,,48745846.0,ns,517
bench_trivial_query,diesel_async_boxed,10,,,49576098.0,ns,528
bench_trivial_query,diesel_async_boxed,10,,,49418854.0,ns,539
bench_trivial_query,diesel_async_boxed,10,,,52510496.0,ns,550
bench_trivial_query,diesel_async_boxed,10,,,52999423.0,ns,561
bench_trivial_query,diesel_async_boxed,10,,,53858563.0,ns,572
bench_trivial_query,diesel_async_boxed,10,,,55505411.0,ns,583
bench_trivial_query,diesel_async_boxed,10,,,55677572.0,ns,594
bench_trivial_query,diesel_async_boxed,10,,,56945540.0,ns,605
bench_trivial_query,diesel_async_boxed,10,,,58012818.0,ns,616
bench_trivial_query,diesel_async_boxed,10,,,58892603.0,ns,627
bench_trivial_query,diesel_async_boxed,10,,,59195645.0,ns,638
bench_trivial_query,diesel_async_boxed,10,,,61297638.0,ns,649
bench_trivial_query,diesel_async_boxed,10,,,61778985.0,ns,660
bench_trivial_query,diesel_async_boxed,10,,,62694630.0,ns,671
bench_trivial_query,diesel_async_boxed,10,,,64304015.0,ns,682
bench_trivial_query,diesel_async_boxed,10,,,65825612.0,ns,693
bench_trivial_query,diesel_async_boxed,10,,,66009101.0,ns,704
bench_trivial_query,diesel_async_boxed,10,,,66740499.0,ns,715
bench_trivial_query,diesel_async_boxed,10,,,68418295.0,ns,726
bench_trivial_query,diesel_async_boxed,10,,,69335353.0,ns,737
bench_trivial_query,diesel_async_boxed,10,,,69966889.0,ns,748
bench_trivial_query,diesel_async_boxed,10,,,71615144.0,ns,759
bench_trivial_query,diesel_async_boxed,10,,,72838373.0,ns,770
bench_trivial_query,diesel_async_boxed,10,,,73732308.0,ns,781
