group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,postgres_by_id,100,,,1060419.0,ns,9
bench_trivial_query,postgres_by_id,100,,,2004912.0,ns,18
bench_trivial_query,postgres_by_id,100,,,3433833.0,ns,27
bench_trivial_query,postgres_by_id,100,,,4046371.0,ns,36
bench_trivial_query,postgres_by_id,100,,,4958184.0,ns,45
bench_trivial_query,postgres_by_id,100,,,5921912.0,ns,54
bench_trivial_query,postgres_by_id,100,,,6858872.0,ns,63
bench_trivial_query,postgres_by_id,100,,,7852025.0,ns,72
bench_trivial_query,postgres_by_id,100,,,10182071.0,ns,81
bench_trivial_query,postgres_by_id,100,,,9832251.0,ns,90
bench_trivial_query,postgres_by_id,100,,,10904251.0,ns,99
bench_trivial_query,postgres_by_id,100,,,13584736.0,ns,108
bench_trivial_query,postgres_by_id,100,,,12837629.0,ns,117
bench_trivial_query,postgres_by_id,100,,,16171237.0,ns,126
bench_trivial_query,postgres_by_id,100,,,14721537.0,ns,135
bench_trivial_query,postgres_by_id,100,,,16137659.0,ns,144
bench_trivial_query,postgres_by_id,100,,,18134351.0,ns,153
bench_trivial_query,postgres_by_id,100,,,17642368.0,ns,162
bench_trivial_query,postgres_by_id,100,,,18852284.0,ns,171
bench_trivial_query,postgres_by_id,100,,,19769937.0,ns,180
bench_trivial_query,postgres_by_id,100,,,21382611.0,ns,189
bench_trivial_query,postgres_by_id,100,,,21909359.0,ns,198
bench_trivial_query,postgres_by_id,100,,,22604940.0,ns,207
bench_trivial_query,postgres_by_id,100,,,23902789.0,ns,216
bench_trivial_query,postgres_by_id,100,,,24734966.0,ns,225
bench_trivial_query,postgres_by_id,100,,,25970286.0,ns,234
bench_trivial_query,postgres_by_id,100,,,26680845.0,ns,243
bench_trivial_query,postgres_by_id,100,,,28145575.0,ns,252
bench_trivial_query,postgres_by_id,100,,,28869237.0,ns,261
bench_trivial_query,postgres_by_id,100,,,34097833.0,ns,270
bench_trivial_query,postgres_by_id,100,,,30607845.0,ns,279
bench_trivial_query,postgres_by_id,100,,,33628613.0,ns,288
bench_trivial_query,postgres_by_id,100,,,32966111.0,ns,297
bench_trivial_query,postgres_by_id,100,,,33822459.0,ns,306
bench_trivial_query,postgres_by_id,100,,,34677705.0,ns,315
bench_trivial_query,postgres_by_id,100,,,38993619.0,ns,324
bench_trivial_query,postgres_by_id,100,,,36939940.0,ns,333
bench_trivial_query,postgres_by_id,100,,,37650999.0,ns,342
bench_trivial_query,postgres_by_id,100,,,38956500.0,ns,351
bench_trivial_query,postgres_by_id,100,,,43005307.0,ns,360
bench_trivial_query,postgres_by_id,100,,,40593166.0,ns,369
bench_trivial_query,postgres_by_id,100,,,48199042.0,ns,378
bench_trivial_query,postgres_by_id,100,,,43342255.0,ns,387
bench_trivial_query,postgres_by_id,100,,,44470908.0,ns,396
bench_trivial_query,postgres_by_id,100,,,46151221.0,ns,405
