group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10000,,,57580677.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57710718.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,53734177.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56993081.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57986678.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57317539.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,52043782.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57717009.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57670493.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57587720.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58272964.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57744540.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,51503534.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,51405883.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57201566.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58046989.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58945961.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,53114432.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57926987.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57322420.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57520195.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57641779.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57861627.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58454643.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,56759649.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57047651.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57468379.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,52105477.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,58358552.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57614740.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,51621312.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57168785.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57240048.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,51523020.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57677365.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,51936363.0,ns,8
bench_medium_complex_query,sea-orm,10000,,,57991586.0,ns,8
