group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_as_macro,1,,,2140715.0,ns,13
bench_medium_complex_query,sqlx_query_as_macro,1,,,3755593.0,ns,26
bench_medium_complex_query,sqlx_query_as_macro,1,,,3904672.0,ns,39
bench_medium_complex_query,sqlx_query_as_macro,1,,,4846699.0,ns,52
bench_medium_complex_query,sqlx_query_as_macro,1,,,5651428.0,ns,65
bench_medium_complex_query,sqlx_query_as_macro,1,,,6958927.0,ns,78
bench_medium_complex_query,sqlx_query_as_macro,1,,,9951977.0,ns,91
bench_medium_complex_query,sqlx_query_as_macro,1,,,8580420.0,ns,104
bench_medium_complex_query,sqlx_query_as_macro,1,,,9629648.0,ns,117
bench_medium_complex_query,sqlx_query_as_macro,1,,,13980326.0,ns,130
bench_medium_complex_query,sqlx_query_as_macro,1,,,11408463.0,ns,143
bench_medium_complex_query,sqlx_query_as_macro,1,,,12433806.0,ns,156
bench_medium_complex_query,sqlx_query_as_macro,1,,,13187950.0,ns,169
bench_medium_complex_query,sqlx_query_as_macro,1,,,17964497.0,ns,182
bench_medium_complex_query,sqlx_query_as_macro,1,,,15052875.0,ns,195
bench_medium_complex_query,sqlx_query_as_macro,1,,,21814718.0,ns,208
bench_medium_complex_query,sqlx_query_as_macro,1,,,17300182.0,ns,221
bench_medium_complex_query,sqlx_query_as_macro,1,,,24728351.0,ns,234
bench_medium_complex_query,sqlx_query_as_macro,1,,,23131627.0,ns,247
bench_medium_complex_query,sqlx_query_as_macro,1,,,20031553.0,ns,260
bench_medium_complex_query,sqlx_query_as_macro,1,,,24781222.0,ns,273
bench_medium_complex_query,sqlx_query_as_macro,1,,,29635332.0,ns,286
bench_medium_complex_query,sqlx_query_as_macro,1,,,23291709.0,ns,299
bench_medium_complex_query,sqlx_query_as_macro,1,,,32372525.0,ns,312
bench_medium_complex_query,sqlx_query_as_macro,1,,,25557285.0,ns,325
bench_medium_complex_query,sqlx_query_as_macro,1,,,28905393.0,ns,338
bench_medium_complex_query,sqlx_query_as_macro,1,,,32228203.0,ns,351
bench_medium_complex_query,sqlx_query_as_macro,1,,,36520259.0,ns,364
bench_medium_complex_query,sqlx_query_as_macro,1,,,29538842.0,ns,377
bench_medium_complex_query,sqlx_query_as_macro,1,,,30678298.0,ns,390
bench_medium_complex_query,sqlx_query_as_macro,1,,,36429897.0,ns,403
bench_medium_complex_query,sqlx_query_as_macro,1,,,42992876.0,ns,416
bench_medium_complex_query,sqlx_query_as_macro,1,,,33577922.0,ns,429
bench_medium_complex_query,sqlx_query_as_macro,1,,,38943023.0,ns,442
bench_medium_complex_query,sqlx_query_as_macro,1,,,39905778.0,ns,455
bench_medium_complex_query,sqlx_query_as_macro,1,,,37162685.0,ns,468
bench_medium_complex_query,sqlx_query_as_macro,1,,,36571500.0,ns,481
bench_medium_complex_query,sqlx_query_as_macro,1,,,43851078.0,ns,494
bench_medium_complex_query,sqlx_query_as_macro,1,,,39244598.0,ns,507
bench_medium_complex_query,sqlx_query_as_macro,1,,,51184394.0,ns,520
bench_medium_complex_query,sqlx_query_as_macro,1,,,45983209.0,ns,533
bench_medium_complex_query,sqlx_query_as_macro,1,,,42213545.0,ns,546
bench_medium_complex_query,sqlx_query_as_macro,1,,,43433986.0,ns,559
bench_medium_complex_query,sqlx_query_as_macro,1,,,44675811.0,ns,572
bench_medium_complex_query,sqlx_query_as_macro,1,,,49967242.0,ns,585
bench_medium_complex_query,sqlx_query_as_macro,1,,,54307272.0,ns,598
bench_medium_complex_query,sqlx_query_as_macro,1,,,50907395.0,ns,611
bench_medium_complex_query,sqlx_query_as_macro,1,,,48553601.0,ns,624
bench_medium_complex_query,sqlx_query_as_macro,1,,,58939173.0,ns,637
bench_medium_complex_query,sqlx_query_as_macro,1,,,66496402.0,ns,650
bench_medium_complex_query,sqlx_query_as_macro,1,,,50595750.0,ns,663
bench_medium_complex_query,sqlx_query_as_macro,1,,,67708408.0,ns,676
bench_medium_complex_query,sqlx_query_as_macro,1,,,70920937.0,ns,689
bench_medium_complex_query,sqlx_query_as_macro,1,,,58346718.0,ns,702
bench_medium_complex_query,sqlx_query_as_macro,1,,,54204875.0,ns,715
bench_medium_complex_query,sqlx_query_as_macro,1,,,71819319.0,ns,728
bench_medium_complex_query,sqlx_query_as_macro,1,,,64822733.0,ns,741
bench_medium_complex_query,sqlx_query_as_macro,1,,,64794865.0,ns,754
bench_medium_complex_query,sqlx_query_as_macro,1,,,76204561.0,ns,767
bench_medium_complex_query,sqlx_query_as_macro,1,,,59826186.0,ns,780
bench_medium_complex_query,sqlx_query_as_macro,1,,,77314848.0,ns,793
bench_medium_complex_query,sqlx_query_as_macro,1,,,70677424.0,ns,806
bench_medium_complex_query,sqlx_query_as_macro,1,,,63237131.0,ns,819
bench_medium_complex_query,sqlx_query_as_macro,1,,,84386634.0,ns,832
bench_medium_complex_query,sqlx_query_as_macro,1,,,87284126.0,ns,845
