group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,100,,,2179949.0,ns,7
bench_medium_complex_query,sqlx_query_from_row,100,,,3417963.0,ns,14
bench_medium_complex_query,sqlx_query_from_row,100,,,3925368.0,ns,21
bench_medium_complex_query,sqlx_query_from_row,100,,,5658464.0,ns,28
bench_medium_complex_query,sqlx_query_from_row,100,,,5809044.0,ns,35
bench_medium_complex_query,sqlx_query_from_row,100,,,7950531.0,ns,42
bench_medium_complex_query,sqlx_query_from_row,100,,,7579507.0,ns,49
bench_medium_complex_query,sqlx_query_from_row,100,,,10237980.0,ns,56
bench_medium_complex_query,sqlx_query_from_row,100,,,11335042.0,ns,63
bench_medium_complex_query,sqlx_query_from_row,100,,,10465003.0,ns,70
bench_medium_complex_query,sqlx_query_from_row,100,,,13541169.0,ns,77
bench_medium_complex_query,sqlx_query_from_row,100,,,14546912.0,ns,84
bench_medium_complex_query,sqlx_query_from_row,100,,,13416337.0,ns,91
bench_medium_complex_query,sqlx_query_from_row,100,,,14107052.0,ns,98
bench_medium_complex_query,sqlx_query_from_row,100,,,18324684.0,ns,105
bench_medium_complex_query,sqlx_query_from_row,100,,,15889531.0,ns,112
bench_medium_complex_query,sqlx_query_from_row,100,,,20407913.0,ns,119
bench_medium_complex_query,sqlx_query_from_row,100,,,21484670.0,ns,126
bench_medium_complex_query,sqlx_query_from_row,100,,,18809286.0,ns,133
bench_medium_complex_query,sqlx_query_from_row,100,,,20064674.0,ns,140
bench_medium_complex_query,sqlx_query_from_row,100,,,24903673.0,ns,147
bench_medium_complex_query,sqlx_query_from_row,100,,,26228349.0,ns,154
bench_medium_complex_query,sqlx_query_from_row,100,,,22843294.0,ns,161
bench_medium_complex_query,sqlx_query_from_row,100,,,27612836.0,ns,168
bench_medium_complex_query,sqlx_query_from_row,100,,,29703839.0,ns,175
bench_medium_complex_query,sqlx_query_from_row,100,,,30696617.0,ns,182
bench_medium_complex_query,sqlx_query_from_row,100,,,28962379.0,ns,189
bench_medium_complex_query,sqlx_query_from_row,100,,,33139805.0,ns,196
bench_medium_complex_query,sqlx_query_from_row,100,,,28304156.0,ns,203
bench_medium_complex_query,sqlx_query_from_row,100,,,32032868.0,ns,210
bench_medium_complex_query,sqlx_query_from_row,100,,,33458884.0,ns,217
bench_medium_complex_query,sqlx_query_from_row,100,,,31465118.0,ns,224
bench_medium_complex_query,sqlx_query_from_row,100,,,32044787.0,ns,231
bench_medium_complex_query,sqlx_query_from_row,100,,,32966002.0,ns,238
bench_medium_complex_query,sqlx_query_from_row,100,,,34160987.0,ns,245
bench_medium_complex_query,sqlx_query_from_row,100,,,42308354.0,ns,252
bench_medium_complex_query,sqlx_query_from_row,100,,,43392332.0,ns,259
bench_medium_complex_query,sqlx_query_from_row,100,,,36664958.0,ns,266
bench_medium_complex_query,sqlx_query_from_row,100,,,45311335.0,ns,273
bench_medium_complex_query,sqlx_query_from_row,100,,,38873880.0,ns,280
bench_medium_complex_query,sqlx_query_from_row,100,,,39851461.0,ns,287
bench_medium_complex_query,sqlx_query_from_row,100,,,46959163.0,ns,294
bench_medium_complex_query,sqlx_query_from_row,100,,,48987394.0,ns,301
bench_medium_complex_query,sqlx_query_from_row,100,,,46096479.0,ns,308
bench_medium_complex_query,sqlx_query_from_row,100,,,45258881.0,ns,315
bench_medium_complex_query,sqlx_query_from_row,100,,,44785620.0,ns,322
bench_medium_complex_query,sqlx_query_from_row,100,,,45594155.0,ns,329
bench_medium_complex_query,sqlx_query_from_row,100,,,51057757.0,ns,336
bench_medium_complex_query,sqlx_query_from_row,100,,,47596713.0,ns,343
bench_medium_complex_query,sqlx_query_from_row,100,,,58504441.0,ns,350
bench_medium_complex_query,sqlx_query_from_row,100,,,49266453.0,ns,357
bench_medium_complex_query,sqlx_query_from_row,100,,,50304454.0,ns,364
bench_medium_complex_query,sqlx_query_from_row,100,,,54530292.0,ns,371
bench_medium_complex_query,sqlx_query_from_row,100,,,63607136.0,ns,378
bench_medium_complex_query,sqlx_query_from_row,100,,,54338474.0,ns,385
bench_medium_complex_query,sqlx_query_from_row,100,,,55386898.0,ns,392
bench_medium_complex_query,sqlx_query_from_row,100,,,62866694.0,ns,399
bench_medium_complex_query,sqlx_query_from_row,100,,,56388669.0,ns,406
bench_medium_complex_query,sqlx_query_from_row,100,,,56400584.0,ns,413
bench_medium_complex_query,sqlx_query_from_row,100,,,69722817.0,ns,420
bench_medium_complex_query,sqlx_query_from_row,100,,,59056088.0,ns,427
bench_medium_complex_query,sqlx_query_from_row,100,,,65999185.0,ns,434
bench_medium_complex_query,sqlx_query_from_row,100,,,61404835.0,ns,441
bench_medium_complex_query,sqlx_query_from_row,100,,,61657201.0,ns,448
bench_medium_complex_query,sqlx_query_from_row,100,,,63429112.0,ns,455
bench_medium_complex_query,sqlx_query_from_row,100,,,63655023.0,ns,462
bench_medium_complex_query,sqlx_query_from_row,100,,,76058572.0,ns,469
bench_medium_complex_query,sqlx_query_from_row,100,,,65813478.0,ns,476
bench_medium_complex_query,sqlx_query_from_row,100,,,80514970.0,ns,483
bench_medium_complex_query,sqlx_query_from_row,100,,,67266725.0,ns,490
