group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,wtx,100,,,1073576.0,ns,11
bench_trivial_query,wtx,100,,,1971176.0,ns,22
bench_trivial_query,wtx,100,,,3138556.0,ns,33
bench_trivial_query,wtx,100,,,4325353.0,ns,44
bench_trivial_query,wtx,100,,,4800727.0,ns,55
bench_trivial_query,wtx,100,,,6097949.0,ns,66
bench_trivial_query,wtx,100,,,6913526.0,ns,77
bench_trivial_query,wtx,100,,,8131691.0,ns,88
bench_trivial_query,wtx,100,,,9458712.0,ns,99
bench_trivial_query,wtx,100,,,9964205.0,ns,110
bench_trivial_query,wtx,100,,,11469848.0,ns,121
bench_trivial_query,wtx,100,,,11932126.0,ns,132
bench_trivial_query,wtx,100,,,13538605.0,ns,143
bench_trivial_query,wtx,100,,,14855334.0,ns,154
bench_trivial_query,wtx,100,,,15942565.0,ns,165
bench_trivial_query,wtx,100,,,15642234.0,ns,176
bench_trivial_query,wtx,100,,,16237134.0,ns,187
bench_trivial_query,wtx,100,,,19056756.0,ns,198
bench_trivial_query,wtx,100,,,20600026.0,ns,209
bench_trivial_query,wtx,100,,,20885867.0,ns,220
bench_trivial_query,wtx,100,,,21220049.0,ns,231
bench_trivial_query,wtx,100,,,23936733.0,ns,242
bench_trivial_query,wtx,100,,,22231160.0,ns,253
bench_trivial_query,wtx,100,,,24166538.0,ns,264
bench_trivial_query,wtx,100,,,25437588.0,ns,275
bench_trivial_query,wtx,100,,,27500768.0,ns,286
bench_trivial_query,wtx,100,,,29057373.0,ns,297
bench_trivial_query,wtx,100,,,30174370.0,ns,308
bench_trivial_query,wtx,100,,,29138265.0,ns,319
bench_trivial_query,wtx,100,,,29124615.0,ns,330
bench_trivial_query,wtx,100,,,30651609.0,ns,341
bench_trivial_query,wtx,100,,,31470992.0,ns,352
bench_trivial_query,wtx,100,,,36284893.0,ns,363
bench_trivial_query,wtx,100,,,32852891.0,ns,374
bench_trivial_query,wtx,100,,,35249252.0,ns,385
