group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,1835499.0,ns,4
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,3034242.0,ns,8
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,4273611.0,ns,12
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,5554624.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,6801093.0,ns,20
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,7948310.0,ns,24
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,9228391.0,ns,28
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,10258022.0,ns,32
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,11535130.0,ns,36
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,12770659.0,ns,40
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,14112382.0,ns,44
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,15123412.0,ns,48
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,16215685.0,ns,52
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,17612599.0,ns,56
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,18750011.0,ns,60
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,19746694.0,ns,64
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,20798193.0,ns,68
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,22392584.0,ns,72
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,23405218.0,ns,76
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,25608642.0,ns,80
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,25903316.0,ns,84
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,26641665.0,ns,88
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,28358377.0,ns,92
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,29713772.0,ns,96
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,30898188.0,ns,100
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,32305688.0,ns,104
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,33556027.0,ns,108
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,35257238.0,ns,112
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,35937655.0,ns,116
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,37062741.0,ns,120
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,38803835.0,ns,124
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,39165601.0,ns,128
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,40904067.0,ns,132
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,45056864.0,ns,136
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,43343304.0,ns,140
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,43581943.0,ns,144
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,44633364.0,ns,148
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,46592684.0,ns,152
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,47810543.0,ns,156
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,49481629.0,ns,160
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,50511131.0,ns,164
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,50978538.0,ns,168
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,52417726.0,ns,172
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,53880000.0,ns,176
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,54100612.0,ns,180
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,55528352.0,ns,184
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,57011505.0,ns,188
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,58375409.0,ns,192
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,60134172.0,ns,196
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,61526827.0,ns,200
bench_medium_complex_query,diesel_async_queryable_by_name,1,,,62375009.0,ns,204
