group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,100,,,1077057.0,ns,6
bench_medium_complex_query,sea-orm,100,,,2057884.0,ns,12
bench_medium_complex_query,sea-orm,100,,,3906807.0,ns,18
bench_medium_complex_query,sea-orm,100,,,4729769.0,ns,24
bench_medium_complex_query,sea-orm,100,,,5069064.0,ns,30
bench_medium_complex_query,sea-orm,100,,,7552466.0,ns,36
bench_medium_complex_query,sea-orm,100,,,7213150.0,ns,42
bench_medium_complex_query,sea-orm,100,,,9902838.0,ns,48
bench_medium_complex_query,sea-orm,100,,,10885549.0,ns,54
bench_medium_complex_query,sea-orm,100,,,12856105.0,ns,60
bench_medium_complex_query,sea-orm,100,,,11269338.0,ns,66
bench_medium_complex_query,sea-orm,100,,,14539583.0,ns,72
bench_medium_complex_query,sea-orm,100,,,15834709.0,ns,78
bench_medium_complex_query,sea-orm,100,,,16763118.0,ns,84
bench_medium_complex_query,sea-orm,100,,,18473512.0,ns,90
bench_medium_complex_query,sea-orm,100,,,17194696.0,ns,96
bench_medium_complex_query,sea-orm,100,,,20409799.0,ns,102
bench_medium_complex_query,sea-orm,100,,,22034772.0,ns,108
bench_medium_complex_query,sea-orm,100,,,23231564.0,ns,114
bench_medium_complex_query,sea-orm,100,,,20323276.0,ns,120
bench_medium_complex_query,sea-orm,100,,,26069729.0,ns,126
bench_medium_complex_query,sea-orm,100,,,22761984.0,ns,132
bench_medium_complex_query,sea-orm,100,,,23124543.0,ns,138
bench_medium_complex_query,sea-orm,100,,,24410512.0,ns,144
bench_medium_complex_query,sea-orm,100,,,30795872.0,ns,150
bench_medium_complex_query,sea-orm,100,,,26305338.0,ns,156
bench_medium_complex_query,sea-orm,100,,,33695904.0,ns,162
bench_medium_complex_query,sea-orm,100,,,28795315.0,ns,168
bench_medium_complex_query,sea-orm,100,,,36023879.0,ns,174
bench_medium_complex_query,sea-orm,100,,,36666234.0,ns,180
bench_medium_complex_query,sea-orm,100,,,33850253.0,ns,186
bench_medium_complex_query,sea-orm,100,,,37785003.0,ns,192
bench_medium_complex_query,sea-orm,100,,,39632895.0,ns,198
bench_medium_complex_query,sea-orm,100,,,41892136.0,ns,204
bench_medium_complex_query,sea-orm,100,,,42109173.0,ns,210
bench_medium_complex_query,sea-orm,100,,,37127942.0,ns,216
bench_medium_complex_query,sea-orm,100,,,46399357.0,ns,222
bench_medium_complex_query,sea-orm,100,,,39541062.0,ns,228
bench_medium_complex_query,sea-orm,100,,,47285808.0,ns,234
bench_medium_complex_query,sea-orm,100,,,41289694.0,ns,240
bench_medium_complex_query,sea-orm,100,,,50812474.0,ns,246
bench_medium_complex_query,sea-orm,100,,,46495989.0,ns,252
bench_medium_complex_query,sea-orm,100,,,52062455.0,ns,258
bench_medium_complex_query,sea-orm,100,,,53187853.0,ns,264
bench_medium_complex_query,sea-orm,100,,,49262600.0,ns,270
bench_medium_complex_query,sea-orm,100,,,56899002.0,ns,276
bench_medium_complex_query,sea-orm,100,,,48465203.0,ns,282
bench_medium_complex_query,sea-orm,100,,,49436961.0,ns,288
bench_medium_complex_query,sea-orm,100,,,50758673.0,ns,294
bench_medium_complex_query,sea-orm,100,,,61910834.0,ns,300
bench_medium_complex_query,sea-orm,100,,,62034196.0,ns,306
bench_medium_complex_query,sea-orm,100,,,63780930.0,ns,312
bench_medium_complex_query,sea-orm,100,,,63769139.0,ns,318
bench_medium_complex_query,sea-orm,100,,,65846854.0,ns,324
bench_medium_complex_query,sea-orm,100,,,64884131.0,ns,330
bench_medium_complex_query,sea-orm,100,,,68700397.0,ns,336
bench_medium_complex_query,sea-orm,100,,,62886299.0,ns,342
bench_medium_complex_query,sea-orm,100,,,68201860.0,ns,348
bench_medium_complex_query,sea-orm,100,,,72043761.0,ns,354
bench_medium_complex_query,sea-orm,100,,,64781576.0,ns,360
bench_medium_complex_query,sea-orm,100,,,63866909.0,ns,366
bench_medium_complex_query,sea-orm,100,,,67745136.0,ns,372
bench_medium_complex_query,sea-orm,100,,,74257808.0,ns,378
bench_medium_complex_query,sea-orm,100,,,65441986.0,ns,384
bench_medium_complex_query,sea-orm,100,,,66990386.0,ns,390
bench_medium_complex_query,sea-orm,100,,,73760269.0,ns,396
bench_medium_complex_query,sea-orm,100,,,74705266.0,ns,402
bench_medium_complex_query,sea-orm,100,,,80614244.0,ns,408
bench_medium_complex_query,sea-orm,100,,,80126615.0,ns,414
bench_medium_complex_query,sea-orm,100,,,71748355.0,ns,420
bench_medium_complex_query,sea-orm,100,,,83885871.0,ns,426
bench_medium_complex_query,sea-orm,100,,,80411161.0,ns,432
bench_medium_complex_query,sea-orm,100,,,75516601.0,ns,438
bench_medium_complex_query,sea-orm,100,,,91161012.0,ns,444
bench_medium_complex_query,sea-orm,100,,,90871720.0,ns,450
bench_medium_complex_query,sea-orm,100,,,83888737.0,ns,456
bench_medium_complex_query,sea-orm,100,,,92386753.0,ns,462
bench_medium_complex_query,sea-orm,100,,,80680744.0,ns,468
bench_medium_complex_query,sea-orm,100,,,97351117.0,ns,474
bench_medium_complex_query,sea-orm,100,,,82455652.0,ns,480
bench_medium_complex_query,sea-orm,100,,,98477088.0,ns,486
bench_medium_complex_query,sea-orm,100,,,84203597.0,ns,492
bench_medium_complex_query,sea-orm,100,,,100174123.0,ns,498
bench_medium_complex_query,sea-orm,100,,,87503789.0,ns,504
bench_medium_complex_query,sea-orm,100,,,104425674.0,ns,510
bench_medium_complex_query,sea-orm,100,,,104012279.0,ns,516
bench_medium_complex_query,sea-orm,100,,,94561613.0,ns,522
bench_medium_complex_query,sea-orm,100,,,91352250.0,ns,528
bench_medium_complex_query,sea-orm,100,,,107726856.0,ns,534
bench_medium_complex_query,sea-orm,100,,,104493591.0,ns,540
