group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,tokio_postgres_by_name,10000,,,60634044.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52083454.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51296575.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51148273.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50815747.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50680856.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51215431.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51035483.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50735641.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51499885.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,54288917.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51105270.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,56437606.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52845591.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51349255.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51686625.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51106353.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,57445092.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50580133.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51993975.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52766062.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,54137101.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51786158.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51453066.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51543006.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,61644359.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,53678430.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,61544793.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,55881439.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51732889.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,55082094.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50741414.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,60775412.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,58980628.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,59831093.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51029009.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,60843357.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,56336519.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,58461937.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51722803.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51014705.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51000138.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51517039.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50804872.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,58985830.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50945383.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51046549.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,54332165.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50957987.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51531156.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50734881.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50607334.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50927901.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,50660262.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,56154228.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51699427.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51499212.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,51311622.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,58554535.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,52488917.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,54254954.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,55187757.0,ns,18
bench_medium_complex_query,tokio_postgres_by_name,10000,,,60598942.0,ns,18
