group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,postgres_by_name,100,,,1823814.0,ns,9
bench_medium_complex_query,postgres_by_name,100,,,2782413.0,ns,18
bench_medium_complex_query,postgres_by_name,100,,,3804410.0,ns,27
bench_medium_complex_query,postgres_by_name,100,,,4732202.0,ns,36
bench_medium_complex_query,postgres_by_name,100,,,5774326.0,ns,45
bench_medium_complex_query,postgres_by_name,100,,,7849329.0,ns,54
bench_medium_complex_query,postgres_by_name,100,,,7656780.0,ns,63
bench_medium_complex_query,postgres_by_name,100,,,10131749.0,ns,72
bench_medium_complex_query,postgres_by_name,100,,,9586529.0,ns,81
bench_medium_complex_query,postgres_by_name,100,,,12493767.0,ns,90
bench_medium_complex_query,postgres_by_name,100,,,11561156.0,ns,99
bench_medium_complex_query,postgres_by_name,100,,,14739037.0,ns,108
bench_medium_complex_query,postgres_by_name,100,,,16053831.0,ns,117
bench_medium_complex_query,postgres_by_name,100,,,16989898.0,ns,126
bench_medium_complex_query,postgres_by_name,100,,,15847433.0,ns,135
bench_medium_complex_query,postgres_by_name,100,,,17711277.0,ns,144
bench_medium_complex_query,postgres_by_name,100,,,20947183.0,ns,153
bench_medium_complex_query,postgres_by_name,100,,,19613581.0,ns,162
bench_medium_complex_query,postgres_by_name,100,,,19933933.0,ns,171
bench_medium_complex_query,postgres_by_name,100,,,20610574.0,ns,180
bench_medium_complex_query,postgres_by_name,100,,,21680672.0,ns,189
bench_medium_complex_query,postgres_by_name,100,,,23103427.0,ns,198
bench_medium_complex_query,postgres_by_name,100,,,24088135.0,ns,207
bench_medium_complex_query,postgres_by_name,100,,,24677475.0,ns,216
bench_medium_complex_query,postgres_by_name,100,,,25575371.0,ns,225
bench_medium_complex_query,postgres_by_name,100,,,27190345.0,ns,234
bench_medium_complex_query,postgres_by_name,100,,,31119467.0,ns,243
bench_medium_complex_query,postgres_by_name,100,,,34090843.0,ns,252
bench_medium_complex_query,postgres_by_name,100,,,35255887.0,ns,261
bench_medium_complex_query,postgres_by_name,100,,,31144374.0,ns,270
bench_medium_complex_query,postgres_by_name,100,,,39055068.0,ns,279
bench_medium_complex_query,postgres_by_name,100,,,33069256.0,ns,288
bench_medium_complex_query,postgres_by_name,100,,,34160806.0,ns,297
bench_medium_complex_query,postgres_by_name,100,,,36938798.0,ns,306
bench_medium_complex_query,postgres_by_name,100,,,35830059.0,ns,315
bench_medium_complex_query,postgres_by_name,100,,,37372097.0,ns,324
bench_medium_complex_query,postgres_by_name,100,,,38978863.0,ns,333
bench_medium_complex_query,postgres_by_name,100,,,39129296.0,ns,342
bench_medium_complex_query,postgres_by_name,100,,,42258789.0,ns,351
bench_medium_complex_query,postgres_by_name,100,,,41880251.0,ns,360
bench_medium_complex_query,postgres_by_name,100,,,45044718.0,ns,369
bench_medium_complex_query,postgres_by_name,100,,,44076514.0,ns,378
bench_medium_complex_query,postgres_by_name,100,,,44628304.0,ns,387
bench_medium_complex_query,postgres_by_name,100,,,45124675.0,ns,396
bench_medium_complex_query,postgres_by_name,100,,,53178537.0,ns,405
bench_medium_complex_query,postgres_by_name,100,,,47560260.0,ns,414
bench_medium_complex_query,postgres_by_name,100,,,51331241.0,ns,423
bench_medium_complex_query,postgres_by_name,100,,,57700098.0,ns,432
bench_medium_complex_query,postgres_by_name,100,,,50769979.0,ns,441
bench_medium_complex_query,postgres_by_name,100,,,52984340.0,ns,450
bench_medium_complex_query,postgres_by_name,100,,,52463979.0,ns,459
bench_medium_complex_query,postgres_by_name,100,,,53510060.0,ns,468
bench_medium_complex_query,postgres_by_name,100,,,62341319.0,ns,477
bench_medium_complex_query,postgres_by_name,100,,,55500134.0,ns,486
bench_medium_complex_query,postgres_by_name,100,,,65097279.0,ns,495
bench_medium_complex_query,postgres_by_name,100,,,57290753.0,ns,504
bench_medium_complex_query,postgres_by_name,100,,,64278632.0,ns,513
bench_medium_complex_query,postgres_by_name,100,,,62816483.0,ns,522
bench_medium_complex_query,postgres_by_name,100,,,70802002.0,ns,531
bench_medium_complex_query,postgres_by_name,100,,,60580201.0,ns,540
bench_medium_complex_query,postgres_by_name,100,,,62092372.0,ns,549
bench_medium_complex_query,postgres_by_name,100,,,74268861.0,ns,558
bench_medium_complex_query,postgres_by_name,100,,,64437688.0,ns,567
bench_medium_complex_query,postgres_by_name,100,,,66009290.0,ns,576
bench_medium_complex_query,postgres_by_name,100,,,71479890.0,ns,585
bench_medium_complex_query,postgres_by_name,100,,,79504991.0,ns,594
bench_medium_complex_query,postgres_by_name,100,,,68408587.0,ns,603
bench_medium_complex_query,postgres_by_name,100,,,71002013.0,ns,612
bench_medium_complex_query,postgres_by_name,100,,,83024207.0,ns,621
bench_medium_complex_query,postgres_by_name,100,,,72206123.0,ns,630
bench_medium_complex_query,postgres_by_name,100,,,72801854.0,ns,639
bench_medium_complex_query,postgres_by_name,100,,,73956197.0,ns,648
bench_medium_complex_query,postgres_by_name,100,,,82769881.0,ns,657
bench_medium_complex_query,postgres_by_name,100,,,76408414.0,ns,666
bench_medium_complex_query,postgres_by_name,100,,,77270171.0,ns,675
bench_medium_complex_query,postgres_by_name,100,,,79253952.0,ns,684
bench_medium_complex_query,postgres_by_name,100,,,79650553.0,ns,693
bench_medium_complex_query,postgres_by_name,100,,,87080431.0,ns,702
bench_medium_complex_query,postgres_by_name,100,,,82079541.0,ns,711
bench_medium_complex_query,postgres_by_name,100,,,96282324.0,ns,720
bench_medium_complex_query,postgres_by_name,100,,,83048613.0,ns,729
bench_medium_complex_query,postgres_by_name,100,,,85324797.0,ns,738
bench_medium_complex_query,postgres_by_name,100,,,98572216.0,ns,747
bench_medium_complex_query,postgres_by_name,100,,,96730190.0,ns,756
bench_medium_complex_query,postgres_by_name,100,,,87450125.0,ns,765
bench_medium_complex_query,postgres_by_name,100,,,87888302.0,ns,774
bench_medium_complex_query,postgres_by_name,100,,,90032474.0,ns,783
