group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel,100,,,1123312.0,ns,10
bench_trivial_query,diesel,100,,,2047163.0,ns,20
bench_trivial_query,diesel,100,,,2937570.0,ns,30
bench_trivial_query,diesel,100,,,3894192.0,ns,40
bench_trivial_query,diesel,100,,,4854250.0,ns,50
bench_trivial_query,diesel,100,,,6715295.0,ns,60
bench_trivial_query,diesel,100,,,8379301.0,ns,70
bench_trivial_query,diesel,100,,,7705309.0,ns,80
bench_trivial_query,diesel,100,,,8334190.0,ns,90
bench_trivial_query,diesel,100,,,9514959.0,ns,100
bench_trivial_query,diesel,100,,,10566467.0,ns,110
bench_trivial_query,diesel,100,,,14345905.0,ns,120
bench_trivial_query,diesel,100,,,12652652.0,ns,130
bench_trivial_query,diesel,100,,,16399930.0,ns,140
bench_trivial_query,diesel,100,,,17983048.0,ns,150
bench_trivial_query,diesel,100,,,15510434.0,ns,160
bench_trivial_query,diesel,100,,,20124476.0,ns,170
bench_trivial_query,diesel,100,,,19331672.0,ns,180
bench_trivial_query,diesel,100,,,17753079.0,ns,190
bench_trivial_query,diesel,100,,,21299351.0,ns,200
bench_trivial_query,diesel,100,,,20521044.0,ns,210
bench_trivial_query,diesel,100,,,21789044.0,ns,220
bench_trivial_query,diesel,100,,,21849709.0,ns,230
bench_trivial_query,diesel,100,,,23645322.0,ns,240
bench_trivial_query,diesel,100,,,23764765.0,ns,250
bench_trivial_query,diesel,100,,,24540279.0,ns,260
bench_trivial_query,diesel,100,,,26264320.0,ns,270
bench_trivial_query,diesel,100,,,33049845.0,ns,280
bench_trivial_query,diesel,100,,,27797234.0,ns,290
bench_trivial_query,diesel,100,,,31760631.0,ns,300
bench_trivial_query,diesel,100,,,30113317.0,ns,310
bench_trivial_query,diesel,100,,,30308911.0,ns,320
bench_trivial_query,diesel,100,,,31520568.0,ns,330
bench_trivial_query,diesel,100,,,33048362.0,ns,340
bench_trivial_query,diesel,100,,,41263621.0,ns,350
bench_trivial_query,diesel,100,,,34723812.0,ns,360
bench_trivial_query,diesel,100,,,38298293.0,ns,370
bench_trivial_query,diesel,100,,,37752046.0,ns,380
bench_trivial_query,diesel,100,,,39537418.0,ns,390
bench_trivial_query,diesel,100,,,54205938.0,ns,400
bench_trivial_query,diesel,100,,,61261176.0,ns,410
bench_trivial_query,diesel,100,,,45564325.0,ns,420
bench_trivial_query,diesel,100,,,40652264.0,ns,430
bench_trivial_query,diesel,100,,,42171811.0,ns,440
bench_trivial_query,diesel,100,,,46876096.0,ns,450
bench_trivial_query,diesel,100,,,52087946.0,ns,460
bench_trivial_query,diesel,100,,,44623404.0,ns,470
bench_trivial_query,diesel,100,,,46534691.0,ns,480
bench_trivial_query,diesel,100,,,48754406.0,ns,490
bench_trivial_query,diesel,100,,,47637412.0,ns,500
bench_trivial_query,diesel,100,,,48299215.0,ns,510
bench_trivial_query,diesel,100,,,61920928.0,ns,520
bench_trivial_query,diesel,100,,,50867815.0,ns,530
bench_trivial_query,diesel,100,,,63730693.0,ns,540
bench_trivial_query,diesel,100,,,52637599.0,ns,550
bench_trivial_query,diesel,100,,,54282711.0,ns,560
bench_trivial_query,diesel,100,,,55135247.0,ns,570
bench_trivial_query,diesel,100,,,55050118.0,ns,580
bench_trivial_query,diesel,100,,,64409136.0,ns,590
bench_trivial_query,diesel,100,,,71052979.0,ns,600
bench_trivial_query,diesel,100,,,58534609.0,ns,610
bench_trivial_query,diesel,100,,,66112465.0,ns,620
bench_trivial_query,diesel,100,,,61136091.0,ns,630
bench_trivial_query,diesel,100,,,60874227.0,ns,640
bench_trivial_query,diesel,100,,,76630660.0,ns,650
bench_trivial_query,diesel,100,,,73480857.0,ns,660
bench_trivial_query,diesel,100,,,78403108.0,ns,670
bench_trivial_query,diesel,100,,,75489254.0,ns,680
bench_trivial_query,diesel,100,,,66460011.0,ns,690
bench_trivial_query,diesel,100,,,85291387.0,ns,700
bench_trivial_query,diesel,100,,,69281323.0,ns,710
bench_trivial_query,diesel,100,,,88274108.0,ns,720
bench_trivial_query,diesel,100,,,87382349.0,ns,730
bench_trivial_query,diesel,100,,,71274361.0,ns,740
bench_trivial_query,diesel,100,,,81764863.0,ns,750
bench_trivial_query,diesel,100,,,73167355.0,ns,760
bench_trivial_query,diesel,100,,,78540740.0,ns,770
bench_trivial_query,diesel,100,,,80943826.0,ns,780
bench_trivial_query,diesel,100,,,75432800.0,ns,790
bench_trivial_query,diesel,100,,,95363580.0,ns,800
bench_trivial_query,diesel,100,,,81105638.0,ns,810
bench_trivial_query,diesel,100,,,97151869.0,ns,820
bench_trivial_query,diesel,100,,,81138860.0,ns,830
bench_trivial_query,diesel,100,,,100099985.0,ns,840
bench_trivial_query,diesel,100,,,82845764.0,ns,850
bench_trivial_query,diesel,100,,,93280854.0,ns,860
bench_trivial_query,diesel,100,,,92110801.0,ns,870
bench_trivial_query,diesel,100,,,85338403.0,ns,880
bench_trivial_query,diesel,100,,,86107762.0,ns,890
bench_trivial_query,diesel,100,,,110172010.0,ns,900
bench_trivial_query,diesel,100,,,88340697.0,ns,910
bench_trivial_query,diesel,100,,,108026397.0,ns,920
bench_trivial_query,diesel,100,,,92414208.0,ns,930
bench_trivial_query,diesel,100,,,90875247.0,ns,940
bench_trivial_query,diesel,100,,,103773587.0,ns,950
bench_trivial_query,diesel,100,,,92529346.0,ns,960
bench_trivial_query,diesel,100,,,116403468.0,ns,970
bench_trivial_query,diesel,100,,,108477366.0,ns,980
bench_trivial_query,diesel,100,,,95077782.0,ns,990
bench_trivial_query,diesel,100,,,110512321.0,ns,1000
