group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,10,,,2124720.0,ns,11
bench_medium_complex_query,diesel_boxed,10,,,2985117.0,ns,22
bench_medium_complex_query,diesel_boxed,10,,,3892893.0,ns,33
bench_medium_complex_query,diesel_boxed,10,,,5247213.0,ns,44
bench_medium_complex_query,diesel_boxed,10,,,5720689.0,ns,55
bench_medium_complex_query,diesel_boxed,10,,,6622704.0,ns,66
bench_medium_complex_query,diesel_boxed,10,,,7391038.0,ns,77
bench_medium_complex_query,diesel_boxed,10,,,11041198.0,ns,88
bench_medium_complex_query,diesel_boxed,10,,,9214405.0,ns,99
bench_medium_complex_query,diesel_boxed,10,,,13436283.0,ns,110
bench_medium_complex_query,diesel_boxed,10,,,14794671.0,ns,121
bench_medium_complex_query,diesel_boxed,10,,,11924278.0,ns,132
bench_medium_complex_query,diesel_boxed,10,,,17401975.0,ns,143
bench_medium_complex_query,diesel_boxed,10,,,13673596.0,ns,154
bench_medium_complex_query,diesel_boxed,10,,,17270438.0,ns,165
bench_medium_complex_query,diesel_boxed,10,,,16005073.0,ns,176
bench_medium_complex_query,diesel_boxed,10,,,16647593.0,ns,187
bench_medium_complex_query,diesel_boxed,10,,,17594251.0,ns,198
bench_medium_complex_query,diesel_boxed,10,,,18454098.0,ns,209
bench_medium_complex_query,diesel_boxed,10,,,19178000.0,ns,220
bench_medium_complex_query,diesel_boxed,10,,,23381715.0,ns,231
bench_medium_complex_query,diesel_boxed,10,,,25991521.0,ns,242
bench_medium_complex_query,diesel_boxed,10,,,29880065.0,ns,253
bench_medium_complex_query,diesel_boxed,10,,,23227517.0,ns,264
bench_medium_complex_query,diesel_boxed,10,,,32361943.0,ns,275
bench_medium_complex_query,diesel_boxed,10,,,25071561.0,ns,286
bench_medium_complex_query,diesel_boxed,10,,,35584373.0,ns,297
bench_medium_complex_query,diesel_boxed,10,,,36655493.0,ns,308
bench_medium_complex_query,diesel_boxed,10,,,27503325.0,ns,319
bench_medium_complex_query,diesel_boxed,10,,,39198044.0,ns,330
bench_medium_complex_query,diesel_boxed,10,,,29653312.0,ns,341
bench_medium_complex_query,diesel_boxed,10,,,41914469.0,ns,352
bench_medium_complex_query,diesel_boxed,10,,,31263380.0,ns,363
bench_medium_complex_query,diesel_boxed,10,,,32677235.0,ns,374
bench_medium_complex_query,diesel_boxed,10,,,33618329.0,ns,385
bench_medium_complex_query,diesel_boxed,10,,,34732422.0,ns,396
bench_medium_complex_query,diesel_boxed,10,,,38251430.0,ns,407
bench_medium_complex_query,diesel_boxed,10,,,35876709.0,ns,418
bench_medium_complex_query,diesel_boxed,10,,,50657875.0,ns,429
bench_medium_complex_query,diesel_boxed,10,,,51766075.0,ns,440
bench_medium_complex_query,diesel_boxed,10,,,53029555.0,ns,451
bench_medium_complex_query,diesel_boxed,10,,,39452489.0,ns,462
bench_medium_complex_query,diesel_boxed,10,,,55729390.0,ns,473
bench_medium_complex_query,diesel_boxed,10,,,57251444.0,ns,484
bench_medium_complex_query,diesel_boxed,10,,,43001531.0,ns,495
bench_medium_complex_query,diesel_boxed,10,,,43372864.0,ns,506
bench_medium_complex_query,diesel_boxed,10,,,61026757.0,ns,517
bench_medium_complex_query,diesel_boxed,10,,,48293528.0,ns,528
bench_medium_complex_query,diesel_boxed,10,,,63401414.0,ns,539
bench_medium_complex_query,diesel_boxed,10,,,49703622.0,ns,550
bench_medium_complex_query,diesel_boxed,10,,,51028933.0,ns,561
bench_medium_complex_query,diesel_boxed,10,,,48917603.0,ns,572
bench_medium_complex_query,diesel_boxed,10,,,50684404.0,ns,583
bench_medium_complex_query,diesel_boxed,10,,,69823492.0,ns,594
bench_medium_complex_query,diesel_boxed,10,,,52096913.0,ns,605
bench_medium_complex_query,diesel_boxed,10,,,70906696.0,ns,616
bench_medium_complex_query,diesel_boxed,10,,,53919768.0,ns,627
bench_medium_complex_query,diesel_boxed,10,,,55432506.0,ns,638
bench_medium_complex_query,diesel_boxed,10,,,72392382.0,ns,649
bench_medium_complex_query,diesel_boxed,10,,,57224355.0,ns,660
bench_medium_complex_query,diesel_boxed,10,,,77036158.0,ns,671
bench_medium_complex_query,diesel_boxed,10,,,78875352.0,ns,682
bench_medium_complex_query,diesel_boxed,10,,,60389597.0,ns,693
bench_medium_complex_query,diesel_boxed,10,,,63808094.0,ns,704
bench_medium_complex_query,diesel_boxed,10,,,81706140.0,ns,715
bench_medium_complex_query,diesel_boxed,10,,,62473831.0,ns,726
bench_medium_complex_query,diesel_boxed,10,,,76529216.0,ns,737
bench_medium_complex_query,diesel_boxed,10,,,64319289.0,ns,748
bench_medium_complex_query,diesel_boxed,10,,,65759940.0,ns,759
bench_medium_complex_query,diesel_boxed,10,,,90707220.0,ns,770
bench_medium_complex_query,diesel_boxed,10,,,78927419.0,ns,781
bench_medium_complex_query,diesel_boxed,10,,,80766936.0,ns,792
bench_medium_complex_query,diesel_boxed,10,,,70779478.0,ns,803
bench_medium_complex_query,diesel_boxed,10,,,70534330.0,ns,814
bench_medium_complex_query,diesel_boxed,10,,,77640801.0,ns,825
bench_medium_complex_query,diesel_boxed,10,,,92564377.0,ns,836
bench_medium_complex_query,diesel_boxed,10,,,72568550.0,ns,847
bench_medium_complex_query,diesel_boxed,10,,,84216360.0,ns,858
bench_medium_complex_query,diesel_boxed,10,,,102124701.0,ns,869
bench_medium_complex_query,diesel_boxed,10,,,83302766.0,ns,880
bench_medium_complex_query,diesel_boxed,10,,,104480653.0,ns,891
bench_medium_complex_query,diesel_boxed,10,,,105276911.0,ns,902
bench_medium_complex_query,diesel_boxed,10,,,96324488.0,ns,913
bench_medium_complex_query,diesel_boxed,10,,,105173143.0,ns,924
bench_medium_complex_query,diesel_boxed,10,,,80600788.0,ns,935
bench_medium_complex_query,diesel_boxed,10,,,80682971.0,ns,946
bench_medium_complex_query,diesel_boxed,10,,,80930684.0,ns,957
bench_medium_complex_query,diesel_boxed,10,,,85077532.0,ns,968
bench_medium_complex_query,diesel_boxed,10,,,84332820.0,ns,979
bench_medium_complex_query,diesel_boxed,10,,,85073704.0,ns,990
bench_medium_complex_query,diesel_boxed,10,,,100062333.0,ns,1001
bench_medium_complex_query,diesel_boxed,10,,,118549380.0,ns,1012
bench_medium_complex_query,diesel_boxed,10,,,110104166.0,ns,1023
bench_medium_complex_query,diesel_boxed,10,,,90133538.0,ns,1034
bench_medium_complex_query,diesel_boxed,10,,,90113931.0,ns,1045
bench_medium_complex_query,diesel_boxed,10,,,91192599.0,ns,1056
bench_medium_complex_query,diesel_boxed,10,,,113257542.0,ns,1067
bench_medium_complex_query,diesel_boxed,10,,,105549973.0,ns,1078
bench_medium_complex_query,diesel_boxed,10,,,104474078.0,ns,1089
bench_medium_complex_query,diesel_boxed,10,,,95137489.0,ns,1100
