group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sqlx,100,,,1727051.0,ns,2
bench_insert,sqlx,100,,,2868013.0,ns,4
bench_insert,sqlx,100,,,5666737.0,ns,6
bench_insert,sqlx,100,,,5087327.0,ns,8
bench_insert,sqlx,100,,,6535112.0,ns,10
bench_insert,sqlx,100,,,7273494.0,ns,12
bench_insert,sqlx,100,,,8795565.0,ns,14
bench_insert,sqlx,100,,,9262924.0,ns,16
bench_insert,sqlx,100,,,10756832.0,ns,18
bench_insert,sqlx,100,,,11392584.0,ns,20
bench_insert,sqlx,100,,,13048943.0,ns,22
bench_insert,sqlx,100,,,13468764.0,ns,24
bench_insert,sqlx,100,,,16021721.0,ns,26
bench_insert,sqlx,100,,,15908511.0,ns,28
bench_insert,sqlx,100,,,17034021.0,ns,30
bench_insert,sqlx,100,,,19013695.0,ns,32
bench_insert,sqlx,100,,,19171408.0,ns,34
bench_insert,sqlx,100,,,21629993.0,ns,36
bench_insert,sqlx,100,,,21494147.0,ns,38
bench_insert,sqlx,100,,,23688507.0,ns,40
bench_insert,sqlx,100,,,23670744.0,ns,42
bench_insert,sqlx,100,,,26218171.0,ns,44
bench_insert,sqlx,100,,,25786319.0,ns,46
bench_insert,sqlx,100,,,28459308.0,ns,48
bench_insert,sqlx,100,,,27977322.0,ns,50
bench_insert,sqlx,100,,,29312124.0,ns,52
bench_insert,sqlx,100,,,29996507.0,ns,54
bench_insert,sqlx,100,,,33375079.0,ns,56
bench_insert,sqlx,100,,,32446372.0,ns,58
bench_insert,sqlx,100,,,35231441.0,ns,60
bench_insert,sqlx,100,,,34508597.0,ns,62
bench_insert,sqlx,100,,,35360016.0,ns,64
bench_insert,sqlx,100,,,36739993.0,ns,66
bench_insert,sqlx,100,,,40240317.0,ns,68
bench_insert,sqlx,100,,,39192776.0,ns,70
bench_insert,sqlx,100,,,43347782.0,ns,72
bench_insert,sqlx,100,,,41630170.0,ns,74
bench_insert,sqlx,100,,,44509928.0,ns,76
bench_insert,sqlx,100,,,43913564.0,ns,78
bench_insert,sqlx,100,,,45385351.0,ns,80
bench_insert,sqlx,100,,,47316753.0,ns,82
bench_insert,sqlx,100,,,46496237.0,ns,84
bench_insert,sqlx,100,,,49204811.0,ns,86
bench_insert,sqlx,100,,,51457653.0,ns,88
bench_insert,sqlx,100,,,51237233.0,ns,90
bench_insert,sqlx,100,,,55388101.0,ns,92
bench_insert,sqlx,100,,,54436401.0,ns,94
bench_insert,sqlx,100,,,54769661.0,ns,96
bench_insert,sqlx,100,,,56873503.0,ns,98
bench_insert,sqlx,100,,,58856442.0,ns,100
bench_insert,sqlx,100,,,57072786.0,ns,102
bench_insert,sqlx,100,,,61325300.0,ns,104
bench_insert,sqlx,100,,,59014597.0,ns,106
bench_insert,sqlx,100,,,59985016.0,ns,108
bench_insert,sqlx,100,,,61375681.0,ns,110
bench_insert,sqlx,100,,,62261642.0,ns,112
bench_insert,sqlx,100,,,66385480.0,ns,114
bench_insert,sqlx,100,,,64748599.0,ns,116
bench_insert,sqlx,100,,,67764723.0,ns,118
bench_insert,sqlx,100,,,69495552.0,ns,120
bench_insert,sqlx,100,,,69672722.0,ns,122
bench_insert,sqlx,100,,,70660399.0,ns,124
bench_insert,sqlx,100,,,70935340.0,ns,126
bench_insert,sqlx,100,,,73111744.0,ns,128
bench_insert,sqlx,100,,,72427945.0,ns,130
bench_insert,sqlx,100,,,76649355.0,ns,132
bench_insert,sqlx,100,,,75633837.0,ns,134
bench_insert,sqlx,100,,,79647018.0,ns,136
bench_insert,sqlx,100,,,78383082.0,ns,138
bench_insert,sqlx,100,,,77853063.0,ns,140
bench_insert,sqlx,100,,,79993203.0,ns,142
bench_insert,sqlx,100,,,80572121.0,ns,144
bench_insert,sqlx,100,,,84886954.0,ns,146
bench_insert,sqlx,100,,,82617783.0,ns,148
bench_insert,sqlx,100,,,83382752.0,ns,150
bench_insert,sqlx,100,,,84465521.0,ns,152
bench_insert,sqlx,100,,,84922594.0,ns,154
bench_insert,sqlx,100,,,87668905.0,ns,156
bench_insert,sqlx,100,,,91299691.0,ns,158
bench_insert,sqlx,100,,,94784034.0,ns,160
bench_insert,sqlx,100,,,96440325.0,ns,162
bench_insert,sqlx,100,,,93908061.0,ns,164
bench_insert,sqlx,100,,,94765520.0,ns,166
bench_insert,sqlx,100,,,96749259.0,ns,168
bench_insert,sqlx,100,,,95024823.0,ns,170
bench_insert,sqlx,100,,,99838273.0,ns,172
bench_insert,sqlx,100,,,96552864.0,ns,174
bench_insert,sqlx,100,,,100380464.0,ns,176
bench_insert,sqlx,100,,,101312810.0,ns,178
bench_insert,sqlx,100,,,99618785.0,ns,180
bench_insert,sqlx,100,,,101005363.0,ns,182
bench_insert,sqlx,100,,,128176487.0,ns,184
bench_insert,sqlx,100,,,102895087.0,ns,186
bench_insert,sqlx,100,,,108766913.0,ns,188
bench_insert,sqlx,100,,,107195382.0,ns,190
bench_insert,sqlx,100,,,108643403.0,ns,192
bench_insert,sqlx,100,,,108525762.0,ns,194
bench_insert,sqlx,100,,,109286180.0,ns,196
bench_insert,sqlx,100,,,110625681.0,ns,198
bench_insert,sqlx,100,,,111794481.0,ns,200
