group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,1000,,,3405051.0,ns,2
bench_medium_complex_query,sea-orm,1000,,,5188132.0,ns,4
bench_medium_complex_query,sea-orm,1000,,,6652588.0,ns,6
bench_medium_complex_query,sea-orm,1000,,,8959268.0,ns,8
bench_medium_complex_query,sea-orm,1000,,,10155423.0,ns,10
bench_medium_complex_query,sea-orm,1000,,,12718961.0,ns,12
bench_medium_complex_query,sea-orm,1000,,,14327316.0,ns,14
bench_medium_complex_query,sea-orm,1000,,,15192322.0,ns,16
bench_medium_complex_query,sea-orm,1000,,,17850137.0,ns,18
bench_medium_complex_query,sea-orm,1000,,,19458152.0,ns,20
bench_medium_complex_query,sea-orm,1000,,,21098235.0,ns,22
bench_medium_complex_query,sea-orm,1000,,,23177209.0,ns,24
bench_medium_complex_query,sea-orm,1000,,,24549602.0,ns,26
bench_medium_complex_query,sea-orm,1000,,,26406469.0,ns,28
bench_medium_complex_query,sea-orm,1000,,,28347989.0,ns,30
bench_medium_complex_query,sea-orm,1000,,,29913033.0,ns,32
bench_medium_complex_query,sea-orm,1000,,,29560083.0,ns,34
bench_medium_complex_query,sea-orm,1000,,,33513839.0,ns,36
bench_medium_complex_query,sea-orm,1000,,,32793504.0,ns,38
bench_medium_complex_query,sea-orm,1000,,,36681938.0,ns,40
bench_medium_complex_query,sea-orm,1000,,,38675092.0,ns,42
bench_medium_complex_query,sea-orm,1000,,,40326206.0,ns,44
bench_medium_complex_query,sea-orm,1000,,,39623713.0,ns,46
bench_medium_complex_query,sea-orm,1000,,,42934900.0,ns,48
bench_medium_complex_query,sea-orm,1000,,,46298854.0,ns,50
bench_medium_complex_query,sea-orm,1000,,,48688950.0,ns,52
bench_medium_complex_query,sea-orm,1000,,,50696893.0,ns,54
bench_medium_complex_query,sea-orm,1000,,,51639331.0,ns,56
bench_medium_complex_query,sea-orm,1000,,,52962583.0,ns,58
bench_medium_complex_query,sea-orm,1000,,,53512160.0,ns,60
bench_medium_complex_query,sea-orm,1000,,,63131641.0,ns,62
bench_medium_complex_query,sea-orm,1000,,,57333038.0,ns,64
bench_medium_complex_query,sea-orm,1000,,,60119954.0,ns,66
bench_medium_complex_query,sea-orm,1000,,,62774694.0,ns,68
bench_medium_complex_query,sea-orm,1000,,,58992147.0,ns,70
bench_medium_complex_query,sea-orm,1000,,,64833961.0,ns,72
bench_medium_complex_query,sea-orm,1000,,,66362216.0,ns,74
bench_medium_complex_query,sea-orm,1000,,,68262644.0,ns,76
bench_medium_complex_query,sea-orm,1000,,,67434269.0,ns,78
bench_medium_complex_query,sea-orm,1000,,,73752797.0,ns,80
bench_medium_complex_query,sea-orm,1000,,,70950950.0,ns,82
bench_medium_complex_query,sea-orm,1000,,,69511640.0,ns,84
bench_medium_complex_query,sea-orm,1000,,,76900453.0,ns,86
bench_medium_complex_query,sea-orm,1000,,,79022207.0,ns,88
bench_medium_complex_query,sea-orm,1000,,,81190891.0,ns,90
bench_medium_complex_query,sea-orm,1000,,,76765912.0,ns,92
bench_medium_complex_query,sea-orm,1000,,,77902493.0,ns,94
bench_medium_complex_query,sea-orm,1000,,,79597962.0,ns,96
bench_medium_complex_query,sea-orm,1000,,,81281968.0,ns,98
bench_medium_complex_query,sea-orm,1000,,,82861288.0,ns,100
bench_medium_complex_query,sea-orm,1000,,,84660720.0,ns,102
bench_medium_complex_query,sea-orm,1000,,,91667581.0,ns,104
bench_medium_complex_query,sea-orm,1000,,,87850690.0,ns,106
bench_medium_complex_query,sea-orm,1000,,,93556006.0,ns,108
bench_medium_complex_query,sea-orm,1000,,,95465596.0,ns,110
bench_medium_complex_query,sea-orm,1000,,,95849554.0,ns,112
bench_medium_complex_query,sea-orm,1000,,,96193607.0,ns,114
bench_medium_complex_query,sea-orm,1000,,,103091905.0,ns,116
bench_medium_complex_query,sea-orm,1000,,,104742597.0,ns,118
bench_medium_complex_query,sea-orm,1000,,,106308262.0,ns,120
bench_medium_complex_query,sea-orm,1000,,,104659885.0,ns,122
bench_medium_complex_query,sea-orm,1000,,,110286767.0,ns,124
bench_medium_complex_query,sea-orm,1000,,,108272652.0,ns,126
bench_medium_complex_query,sea-orm,1000,,,111933482.0,ns,128
bench_medium_complex_query,sea-orm,1000,,,111558620.0,ns,130
bench_medium_complex_query,sea-orm,1000,,,111939027.0,ns,132
bench_medium_complex_query,sea-orm,1000,,,113063921.0,ns,134
bench_medium_complex_query,sea-orm,1000,,,119512713.0,ns,136
bench_medium_complex_query,sea-orm,1000,,,120882840.0,ns,138
bench_medium_complex_query,sea-orm,1000,,,122888998.0,ns,140
bench_medium_complex_query,sea-orm,1000,,,124766274.0,ns,142
bench_medium_complex_query,sea-orm,1000,,,121520305.0,ns,144
bench_medium_complex_query,sea-orm,1000,,,127862081.0,ns,146
bench_medium_complex_query,sea-orm,1000,,,126636748.0,ns,148
bench_medium_complex_query,sea-orm,1000,,,134096502.0,ns,150
bench_medium_complex_query,sea-orm,1000,,,132640531.0,ns,152
bench_medium_complex_query,sea-orm,1000,,,127558370.0,ns,154
bench_medium_complex_query,sea-orm,1000,,,131114856.0,ns,156
bench_medium_complex_query,sea-orm,1000,,,130443301.0,ns,158
bench_medium_complex_query,sea-orm,1000,,,131534617.0,ns,160
bench_medium_complex_query,sea-orm,1000,,,141658089.0,ns,162
bench_medium_complex_query,sea-orm,1000,,,139837478.0,ns,164
bench_medium_complex_query,sea-orm,1000,,,145069677.0,ns,166
bench_medium_complex_query,sea-orm,1000,,,147565795.0,ns,168
bench_medium_complex_query,sea-orm,1000,,,149105572.0,ns,170
bench_medium_complex_query,sea-orm,1000,,,150576738.0,ns,172
