group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,sqlx,25,,,1199432.0,ns,25
bench_insert,sqlx,25,,,2586213.0,ns,50
bench_insert,sqlx,25,,,3184877.0,ns,75
bench_insert,sqlx,25,,,4025205.0,ns,100
bench_insert,sqlx,25,,,5309942.0,ns,125
bench_insert,sqlx,25,,,5737112.0,ns,150
bench_insert,sqlx,25,,,6244291.0,ns,175
bench_insert,sqlx,25,,,8532990.0,ns,200
bench_insert,sqlx,25,,,9195543.0,ns,225
bench_insert,sqlx,25,,,10208015.0,ns,250
bench_insert,sqlx,25,,,9611751.0,ns,275
bench_insert,sqlx,25,,,12776117.0,ns,300
bench_insert,sqlx,25,,,11651934.0,ns,325
bench_insert,sqlx,25,,,15315383.0,ns,350
bench_insert,sqlx,25,,,13158777.0,ns,375
bench_insert,sqlx,25,,,17296740.0,ns,400
bench_insert,sqlx,25,,,15525864.0,ns,425
bench_insert,sqlx,25,,,19014627.0,ns,450
bench_insert,sqlx,25,,,20251490.0,ns,475
bench_insert,sqlx,25,,,18212866.0,ns,500
bench_insert,sqlx,25,,,21865764.0,ns,525
bench_insert,sqlx,25,,,24545150.0,ns,550
bench_insert,sqlx,25,,,22112187.0,ns,575
bench_insert,sqlx,25,,,22729734.0,ns,600
bench_insert,sqlx,25,,,25857635.0,ns,625
bench_insert,sqlx,25,,,30154550.0,ns,650
bench_insert,sqlx,25,,,30918621.0,ns,675
bench_insert,sqlx,25,,,26763548.0,ns,700
bench_insert,sqlx,25,,,33289343.0,ns,725
bench_insert,sqlx,25,,,34330016.0,ns,750
bench_insert,sqlx,25,,,29279634.0,ns,775
bench_insert,sqlx,25,,,39438678.0,ns,800
bench_insert,sqlx,25,,,38101882.0,ns,825
bench_insert,sqlx,25,,,32143591.0,ns,850
bench_insert,sqlx,25,,,39153803.0,ns,875
bench_insert,sqlx,25,,,41862308.0,ns,900
bench_insert,sqlx,25,,,34257369.0,ns,925
bench_insert,sqlx,25,,,38897997.0,ns,950
bench_insert,sqlx,25,,,37371731.0,ns,975
bench_insert,sqlx,25,,,46437283.0,ns,1000
bench_insert,sqlx,25,,,37829566.0,ns,1025
bench_insert,sqlx,25,,,47378434.0,ns,1050
bench_insert,sqlx,25,,,40784322.0,ns,1075
bench_insert,sqlx,25,,,49885167.0,ns,1100
bench_insert,sqlx,25,,,42871126.0,ns,1125
bench_insert,sqlx,25,,,49876190.0,ns,1150
bench_insert,sqlx,25,,,54011418.0,ns,1175
bench_insert,sqlx,25,,,45852589.0,ns,1200
bench_insert,sqlx,25,,,53828901.0,ns,1225
bench_insert,sqlx,25,,,57262035.0,ns,1250
bench_insert,sqlx,25,,,49452243.0,ns,1275
bench_insert,sqlx,25,,,50037720.0,ns,1300
bench_insert,sqlx,25,,,56084456.0,ns,1325
bench_insert,sqlx,25,,,62054382.0,ns,1350
bench_insert,sqlx,25,,,52980292.0,ns,1375
bench_insert,sqlx,25,,,60766921.0,ns,1400
bench_insert,sqlx,25,,,60346248.0,ns,1425
bench_insert,sqlx,25,,,55301055.0,ns,1450
bench_insert,sqlx,25,,,65929209.0,ns,1475
bench_insert,sqlx,25,,,66748373.0,ns,1500
bench_insert,sqlx,25,,,59023291.0,ns,1525
bench_insert,sqlx,25,,,71302006.0,ns,1550
bench_insert,sqlx,25,,,60891793.0,ns,1575
bench_insert,sqlx,25,,,72744762.0,ns,1600
bench_insert,sqlx,25,,,62919470.0,ns,1625
bench_insert,sqlx,25,,,72253768.0,ns,1650
bench_insert,sqlx,25,,,67740865.0,ns,1675
bench_insert,sqlx,25,,,76910786.0,ns,1700
bench_insert,sqlx,25,,,65021778.0,ns,1725
bench_insert,sqlx,25,,,68480625.0,ns,1750
bench_insert,sqlx,25,,,76164458.0,ns,1775
bench_insert,sqlx,25,,,78814084.0,ns,1800
bench_insert,sqlx,25,,,82851325.0,ns,1825
bench_insert,sqlx,25,,,83549350.0,ns,1850
bench_insert,sqlx,25,,,83936987.0,ns,1875
bench_insert,sqlx,25,,,73159441.0,ns,1900
bench_insert,sqlx,25,,,86707697.0,ns,1925
bench_insert,sqlx,25,,,74361512.0,ns,1950
bench_insert,sqlx,25,,,78139694.0,ns,1975
bench_insert,sqlx,25,,,80383211.0,ns,2000
bench_insert,sqlx,25,,,89779570.0,ns,2025
bench_insert,sqlx,25,,,77160142.0,ns,2050
bench_insert,sqlx,25,,,92059340.0,ns,2075
bench_insert,sqlx,25,,,78451414.0,ns,2100
bench_insert,sqlx,25,,,95895863.0,ns,2125
bench_insert,sqlx,25,,,83008211.0,ns,2150
bench_insert,sqlx,25,,,97924701.0,ns,2175
bench_insert,sqlx,25,,,84558624.0,ns,2200
bench_insert,sqlx,25,,,84765230.0,ns,2225
bench_insert,sqlx,25,,,91894017.0,ns,2250
bench_insert,sqlx,25,,,99520428.0,ns,2275
bench_insert,sqlx,25,,,87585814.0,ns,2300
bench_insert,sqlx,25,,,100133628.0,ns,2325
bench_insert,sqlx,25,,,108275955.0,ns,2350
bench_insert,sqlx,25,,,90093490.0,ns,2375
bench_insert,sqlx,25,,,104392696.0,ns,2400
bench_insert,sqlx,25,,,94901818.0,ns,2425
bench_insert,sqlx,25,,,94611728.0,ns,2450
bench_insert,sqlx,25,,,115595902.0,ns,2475
bench_insert,sqlx,25,,,96165502.0,ns,2500
