group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sea-orm,100,,,1166624.0,ns,7
bench_trivial_query,sea-orm,100,,,2230325.0,ns,14
bench_trivial_query,sea-orm,100,,,3457271.0,ns,21
bench_trivial_query,sea-orm,100,,,3940356.0,ns,28
bench_trivial_query,sea-orm,100,,,5795088.0,ns,35
bench_trivial_query,sea-orm,100,,,5771914.0,ns,42
bench_trivial_query,sea-orm,100,,,7983727.0,ns,49
bench_trivial_query,sea-orm,100,,,8061189.0,ns,56
bench_trivial_query,sea-orm,100,,,10234738.0,ns,63
bench_trivial_query,sea-orm,100,,,11410138.0,ns,70
bench_trivial_query,sea-orm,100,,,12099679.0,ns,77
bench_trivial_query,sea-orm,100,,,13126020.0,ns,84
bench_trivial_query,sea-orm,100,,,14320998.0,ns,91
bench_trivial_query,sea-orm,100,,,15596379.0,ns,98
bench_trivial_query,sea-orm,100,,,16562222.0,ns,105
bench_trivial_query,sea-orm,100,,,17322115.0,ns,112
bench_trivial_query,sea-orm,100,,,19345673.0,ns,119
bench_trivial_query,sea-orm,100,,,18021584.0,ns,126
bench_trivial_query,sea-orm,100,,,21936663.0,ns,133
bench_trivial_query,sea-orm,100,,,20037878.0,ns,140
bench_trivial_query,sea-orm,100,,,20975022.0,ns,147
bench_trivial_query,sea-orm,100,,,25172616.0,ns,154
bench_trivial_query,sea-orm,100,,,25523069.0,ns,161
bench_trivial_query,sea-orm,100,,,26836946.0,ns,168
bench_trivial_query,sea-orm,100,,,27863317.0,ns,175
bench_trivial_query,sea-orm,100,,,28432021.0,ns,182
bench_trivial_query,sea-orm,100,,,29895017.0,ns,189
bench_trivial_query,sea-orm,100,,,31096983.0,ns,196
bench_trivial_query,sea-orm,100,,,32243786.0,ns,203
bench_trivial_query,sea-orm,100,,,33572425.0,ns,210
bench_trivial_query,sea-orm,100,,,35111194.0,ns,217
bench_trivial_query,sea-orm,100,,,32150892.0,ns,224
bench_trivial_query,sea-orm,100,,,36965064.0,ns,231
bench_trivial_query,sea-orm,100,,,34043986.0,ns,238
bench_trivial_query,sea-orm,100,,,39029072.0,ns,245
bench_trivial_query,sea-orm,100,,,36508609.0,ns,252
bench_trivial_query,sea-orm,100,,,37286826.0,ns,259
bench_trivial_query,sea-orm,100,,,41421539.0,ns,266
bench_trivial_query,sea-orm,100,,,39184809.0,ns,273
bench_trivial_query,sea-orm,100,,,39889358.0,ns,280
bench_trivial_query,sea-orm,100,,,45026967.0,ns,287
bench_trivial_query,sea-orm,100,,,45574059.0,ns,294
bench_trivial_query,sea-orm,100,,,43328666.0,ns,301
bench_trivial_query,sea-orm,100,,,43731079.0,ns,308
bench_trivial_query,sea-orm,100,,,47862461.0,ns,315
bench_trivial_query,sea-orm,100,,,51862762.0,ns,322
bench_trivial_query,sea-orm,100,,,52086970.0,ns,329
bench_trivial_query,sea-orm,100,,,53133728.0,ns,336
bench_trivial_query,sea-orm,100,,,53979701.0,ns,343
bench_trivial_query,sea-orm,100,,,55390947.0,ns,350
bench_trivial_query,sea-orm,100,,,56982716.0,ns,357
bench_trivial_query,sea-orm,100,,,52456904.0,ns,364
bench_trivial_query,sea-orm,100,,,53101621.0,ns,371
bench_trivial_query,sea-orm,100,,,61102518.0,ns,378
bench_trivial_query,sea-orm,100,,,60336815.0,ns,385
bench_trivial_query,sea-orm,100,,,62533768.0,ns,392
bench_trivial_query,sea-orm,100,,,64133996.0,ns,399
bench_trivial_query,sea-orm,100,,,57468255.0,ns,406
bench_trivial_query,sea-orm,100,,,58937476.0,ns,413
bench_trivial_query,sea-orm,100,,,68455663.0,ns,420
bench_trivial_query,sea-orm,100,,,61067222.0,ns,427
bench_trivial_query,sea-orm,100,,,69635367.0,ns,434
bench_trivial_query,sea-orm,100,,,67737278.0,ns,441
