group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,postgres_by_id,100,,,1908475.0,ns,9
bench_medium_complex_query,postgres_by_id,100,,,3247643.0,ns,18
bench_medium_complex_query,postgres_by_id,100,,,4417965.0,ns,27
bench_medium_complex_query,postgres_by_id,100,,,5095113.0,ns,36
bench_medium_complex_query,postgres_by_id,100,,,6037578.0,ns,45
bench_medium_complex_query,postgres_by_id,100,,,7041131.0,ns,54
bench_medium_complex_query,postgres_by_id,100,,,7860893.0,ns,63
bench_medium_complex_query,postgres_by_id,100,,,8687362.0,ns,72
bench_medium_complex_query,postgres_by_id,100,,,9630609.0,ns,81
bench_medium_complex_query,postgres_by_id,100,,,10931555.0,ns,90
bench_medium_complex_query,postgres_by_id,100,,,11861226.0,ns,99
bench_medium_complex_query,postgres_by_id,100,,,14264271.0,ns,108
bench_medium_complex_query,postgres_by_id,100,,,13982159.0,ns,117
bench_medium_complex_query,postgres_by_id,100,,,15093160.0,ns,126
bench_medium_complex_query,postgres_by_id,100,,,15731365.0,ns,135
bench_medium_complex_query,postgres_by_id,100,,,19579263.0,ns,144
bench_medium_complex_query,postgres_by_id,100,,,21598494.0,ns,153
bench_medium_complex_query,postgres_by_id,100,,,18682149.0,ns,162
bench_medium_complex_query,postgres_by_id,100,,,19966855.0,ns,171
bench_medium_complex_query,postgres_by_id,100,,,20371847.0,ns,180
bench_medium_complex_query,postgres_by_id,100,,,24826891.0,ns,189
bench_medium_complex_query,postgres_by_id,100,,,23687026.0,ns,198
bench_medium_complex_query,postgres_by_id,100,,,23585906.0,ns,207
bench_medium_complex_query,postgres_by_id,100,,,25579968.0,ns,216
bench_medium_complex_query,postgres_by_id,100,,,25928548.0,ns,225
bench_medium_complex_query,postgres_by_id,100,,,32438126.0,ns,234
bench_medium_complex_query,postgres_by_id,100,,,29421587.0,ns,243
bench_medium_complex_query,postgres_by_id,100,,,34297619.0,ns,252
bench_medium_complex_query,postgres_by_id,100,,,30937509.0,ns,261
bench_medium_complex_query,postgres_by_id,100,,,32074095.0,ns,270
bench_medium_complex_query,postgres_by_id,100,,,32206102.0,ns,279
bench_medium_complex_query,postgres_by_id,100,,,33863676.0,ns,288
bench_medium_complex_query,postgres_by_id,100,,,34213739.0,ns,297
bench_medium_complex_query,postgres_by_id,100,,,42487820.0,ns,306
bench_medium_complex_query,postgres_by_id,100,,,43272459.0,ns,315
bench_medium_complex_query,postgres_by_id,100,,,37684650.0,ns,324
bench_medium_complex_query,postgres_by_id,100,,,46213819.0,ns,333
bench_medium_complex_query,postgres_by_id,100,,,39435863.0,ns,342
bench_medium_complex_query,postgres_by_id,100,,,46043911.0,ns,351
bench_medium_complex_query,postgres_by_id,100,,,41572746.0,ns,360
bench_medium_complex_query,postgres_by_id,100,,,50737441.0,ns,369
bench_medium_complex_query,postgres_by_id,100,,,45956777.0,ns,378
bench_medium_complex_query,postgres_by_id,100,,,44896895.0,ns,387
bench_medium_complex_query,postgres_by_id,100,,,49063409.0,ns,396
bench_medium_complex_query,postgres_by_id,100,,,51362301.0,ns,405
bench_medium_complex_query,postgres_by_id,100,,,49866991.0,ns,414
bench_medium_complex_query,postgres_by_id,100,,,52088471.0,ns,423
bench_medium_complex_query,postgres_by_id,100,,,59007631.0,ns,432
bench_medium_complex_query,postgres_by_id,100,,,51250455.0,ns,441
bench_medium_complex_query,postgres_by_id,100,,,61433775.0,ns,450
bench_medium_complex_query,postgres_by_id,100,,,52770048.0,ns,459
bench_medium_complex_query,postgres_by_id,100,,,65763856.0,ns,468
bench_medium_complex_query,postgres_by_id,100,,,55988927.0,ns,477
bench_medium_complex_query,postgres_by_id,100,,,58215428.0,ns,486
bench_medium_complex_query,postgres_by_id,100,,,57344867.0,ns,495
bench_medium_complex_query,postgres_by_id,100,,,58142760.0,ns,504
bench_medium_complex_query,postgres_by_id,100,,,70603210.0,ns,513
bench_medium_complex_query,postgres_by_id,100,,,59944035.0,ns,522
bench_medium_complex_query,postgres_by_id,100,,,72992274.0,ns,531
bench_medium_complex_query,postgres_by_id,100,,,71222279.0,ns,540
bench_medium_complex_query,postgres_by_id,100,,,62256195.0,ns,549
bench_medium_complex_query,postgres_by_id,100,,,71490361.0,ns,558
bench_medium_complex_query,postgres_by_id,100,,,66823410.0,ns,567
bench_medium_complex_query,postgres_by_id,100,,,77954328.0,ns,576
bench_medium_complex_query,postgres_by_id,100,,,71518624.0,ns,585
bench_medium_complex_query,postgres_by_id,100,,,68471958.0,ns,594
bench_medium_complex_query,postgres_by_id,100,,,71380623.0,ns,603
bench_medium_complex_query,postgres_by_id,100,,,70343964.0,ns,612
bench_medium_complex_query,postgres_by_id,100,,,71770316.0,ns,621
bench_medium_complex_query,postgres_by_id,100,,,72428148.0,ns,630
bench_medium_complex_query,postgres_by_id,100,,,73342112.0,ns,639
bench_medium_complex_query,postgres_by_id,100,,,88880503.0,ns,648
bench_medium_complex_query,postgres_by_id,100,,,76098813.0,ns,657
bench_medium_complex_query,postgres_by_id,100,,,83608350.0,ns,666
bench_medium_complex_query,postgres_by_id,100,,,95312390.0,ns,675
bench_medium_complex_query,postgres_by_id,100,,,84571344.0,ns,684
bench_medium_complex_query,postgres_by_id,100,,,79626187.0,ns,693
bench_medium_complex_query,postgres_by_id,100,,,83330587.0,ns,702
bench_medium_complex_query,postgres_by_id,100,,,92807127.0,ns,711
bench_medium_complex_query,postgres_by_id,100,,,82478391.0,ns,720
bench_medium_complex_query,postgres_by_id,100,,,82755519.0,ns,729
bench_medium_complex_query,postgres_by_id,100,,,84061897.0,ns,738
bench_medium_complex_query,postgres_by_id,100,,,85222120.0,ns,747
bench_medium_complex_query,postgres_by_id,100,,,85564300.0,ns,756
bench_medium_complex_query,postgres_by_id,100,,,87930072.0,ns,765
bench_medium_complex_query,postgres_by_id,100,,,92677614.0,ns,774
bench_medium_complex_query,postgres_by_id,100,,,107410361.0,ns,783
bench_medium_complex_query,postgres_by_id,100,,,90850679.0,ns,792
bench_medium_complex_query,postgres_by_id,100,,,91226106.0,ns,801
bench_medium_complex_query,postgres_by_id,100,,,99039832.0,ns,810
bench_medium_complex_query,postgres_by_id,100,,,94670858.0,ns,819
