group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,10000,,,55786932.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60488196.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58242208.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58722303.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59353844.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56951419.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,55229457.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60319167.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58647940.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59631184.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58794664.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56930312.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59497915.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57838243.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58992249.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59018456.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56543872.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60369584.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58934919.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56230236.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59974867.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56357090.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59088586.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58665042.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59839690.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57275089.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59161657.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57918757.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60558046.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60610113.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59995916.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60669484.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57718835.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59856736.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59189068.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59860123.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58953690.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60447442.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58656395.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59343728.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60072812.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60753782.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58128137.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59388259.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57215240.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57966953.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57059519.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58426772.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56566827.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57344481.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57703625.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57123809.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58249042.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59396674.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58473133.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60045480.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57628126.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60307370.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59400114.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59395495.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56407216.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60438803.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56384825.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59371347.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60319107.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59020067.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58061914.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60366798.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59678819.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58922037.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58517231.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59259482.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57343554.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58194248.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58058131.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58128977.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59306720.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58892797.0,ns,4
