group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rusqlite_by_name,100,,,1024111.0,ns,34
bench_trivial_query,rusqlite_by_name,100,,,2006332.0,ns,68
bench_trivial_query,rusqlite_by_name,100,,,2999575.0,ns,102
bench_trivial_query,rusqlite_by_name,100,,,4030419.0,ns,136
bench_trivial_query,rusqlite_by_name,100,,,5032548.0,ns,170
bench_trivial_query,rusqlite_by_name,100,,,6062800.0,ns,204
bench_trivial_query,rusqlite_by_name,100,,,7076301.0,ns,238
bench_trivial_query,rusqlite_by_name,100,,,8051459.0,ns,272
bench_trivial_query,rusqlite_by_name,100,,,9097171.0,ns,306
bench_trivial_query,rusqlite_by_name,100,,,10020592.0,ns,340
bench_trivial_query,rusqlite_by_name,100,,,11081432.0,ns,374
bench_trivial_query,rusqlite_by_name,100,,,12077039.0,ns,408
bench_trivial_query,rusqlite_by_name,100,,,13144131.0,ns,442
bench_trivial_query,rusqlite_by_name,100,,,14086788.0,ns,476
bench_trivial_query,rusqlite_by_name,100,,,15042149.0,ns,510
bench_trivial_query,rusqlite_by_name,100,,,16210663.0,ns,544
bench_trivial_query,rusqlite_by_name,100,,,17122502.0,ns,578
bench_trivial_query,rusqlite_by_name,100,,,18163974.0,ns,612
bench_trivial_query,rusqlite_by_name,100,,,19095490.0,ns,646
bench_trivial_query,rusqlite_by_name,100,,,20130793.0,ns,680
bench_trivial_query,rusqlite_by_name,100,,,21139545.0,ns,714
bench_trivial_query,rusqlite_by_name,100,,,22258544.0,ns,748
bench_trivial_query,rusqlite_by_name,100,,,23197365.0,ns,782
bench_trivial_query,rusqlite_by_name,100,,,24809875.0,ns,816
bench_trivial_query,rusqlite_by_name,100,,,25388094.0,ns,850
bench_trivial_query,rusqlite_by_name,100,,,26471397.0,ns,884
bench_trivial_query,rusqlite_by_name,100,,,27253522.0,ns,918
bench_trivial_query,rusqlite_by_name,100,,,28315483.0,ns,952
bench_trivial_query,rusqlite_by_name,100,,,29385741.0,ns,986
bench_trivial_query,rusqlite_by_name,100,,,30200968.0,ns,1020
bench_trivial_query,rusqlite_by_name,100,,,31493225.0,ns,1054
bench_trivial_query,rusqlite_by_name,100,,,32493190.0,ns,1088
bench_trivial_query,rusqlite_by_name,100,,,33704554.0,ns,1122
bench_trivial_query,rusqlite_by_name,100,,,34362594.0,ns,1156
bench_trivial_query,rusqlite_by_name,100,,,35620486.0,ns,1190
bench_trivial_query,rusqlite_by_name,100,,,36168679.0,ns,1224
bench_trivial_query,rusqlite_by_name,100,,,37419888.0,ns,1258
bench_trivial_query,rusqlite_by_name,100,,,38420805.0,ns,1292
bench_trivial_query,rusqlite_by_name,100,,,39621950.0,ns,1326
bench_trivial_query,rusqlite_by_name,100,,,40457295.0,ns,1360
bench_trivial_query,rusqlite_by_name,100,,,41536700.0,ns,1394
bench_trivial_query,rusqlite_by_name,100,,,42618219.0,ns,1428
bench_trivial_query,rusqlite_by_name,100,,,43648161.0,ns,1462
bench_trivial_query,rusqlite_by_name,100,,,44842241.0,ns,1496
bench_trivial_query,rusqlite_by_name,100,,,46133526.0,ns,1530
bench_trivial_query,rusqlite_by_name,100,,,46304559.0,ns,1564
bench_trivial_query,rusqlite_by_name,100,,,47643765.0,ns,1598
bench_trivial_query,rusqlite_by_name,100,,,48372797.0,ns,1632
