group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sea-orm,10,,,972402.0,ns,13
bench_medium_complex_query,sea-orm,10,,,1830452.0,ns,26
bench_medium_complex_query,sea-orm,10,,,3197750.0,ns,39
bench_medium_complex_query,sea-orm,10,,,3956066.0,ns,52
bench_medium_complex_query,sea-orm,10,,,4545243.0,ns,65
bench_medium_complex_query,sea-orm,10,,,5581001.0,ns,78
bench_medium_complex_query,sea-orm,10,,,7151099.0,ns,91
bench_medium_complex_query,sea-orm,10,,,7071853.0,ns,104
bench_medium_complex_query,sea-orm,10,,,9447329.0,ns,117
bench_medium_complex_query,sea-orm,10,,,8623253.0,ns,130
bench_medium_complex_query,sea-orm,10,,,10108831.0,ns,143
bench_medium_complex_query,sea-orm,10,,,12242349.0,ns,156
bench_medium_complex_query,sea-orm,10,,,12635181.0,ns,169
bench_medium_complex_query,sea-orm,10,,,13224597.0,ns,182
bench_medium_complex_query,sea-orm,10,,,15817862.0,ns,195
bench_medium_complex_query,sea-orm,10,,,15539223.0,ns,208
bench_medium_complex_query,sea-orm,10,,,17037528.0,ns,221
bench_medium_complex_query,sea-orm,10,,,17493887.0,ns,234
bench_medium_complex_query,sea-orm,10,,,18866375.0,ns,247
bench_medium_complex_query,sea-orm,10,,,20543801.0,ns,260
bench_medium_complex_query,sea-orm,10,,,20638298.0,ns,273
bench_medium_complex_query,sea-orm,10,,,22312260.0,ns,286
bench_medium_complex_query,sea-orm,10,,,22699517.0,ns,299
bench_medium_complex_query,sea-orm,10,,,24392738.0,ns,312
bench_medium_complex_query,sea-orm,10,,,24488124.0,ns,325
bench_medium_complex_query,sea-orm,10,,,25699922.0,ns,338
bench_medium_complex_query,sea-orm,10,,,28540156.0,ns,351
bench_medium_complex_query,sea-orm,10,,,28918541.0,ns,364
bench_medium_complex_query,sea-orm,10,,,29286227.0,ns,377
bench_medium_complex_query,sea-orm,10,,,29257286.0,ns,390
bench_medium_complex_query,sea-orm,10,,,30341850.0,ns,403
bench_medium_complex_query,sea-orm,10,,,30835117.0,ns,416
bench_medium_complex_query,sea-orm,10,,,34130202.0,ns,429
bench_medium_complex_query,sea-orm,10,,,33159034.0,ns,442
bench_medium_complex_query,sea-orm,10,,,35838072.0,ns,455
bench_medium_complex_query,sea-orm,10,,,35619147.0,ns,468
bench_medium_complex_query,sea-orm,10,,,37982536.0,ns,481
bench_medium_complex_query,sea-orm,10,,,37690130.0,ns,494
bench_medium_complex_query,sea-orm,10,,,40261082.0,ns,507
bench_medium_complex_query,sea-orm,10,,,38903074.0,ns,520
bench_medium_complex_query,sea-orm,10,,,39133761.0,ns,533
bench_medium_complex_query,sea-orm,10,,,43643026.0,ns,546
bench_medium_complex_query,sea-orm,10,,,44125442.0,ns,559
bench_medium_complex_query,sea-orm,10,,,44389881.0,ns,572
bench_medium_complex_query,sea-orm,10,,,43777032.0,ns,585
bench_medium_complex_query,sea-orm,10,,,47241703.0,ns,598
bench_medium_complex_query,sea-orm,10,,,45956718.0,ns,611
bench_medium_complex_query,sea-orm,10,,,49963295.0,ns,624
bench_medium_complex_query,sea-orm,10,,,50031543.0,ns,637
bench_medium_complex_query,sea-orm,10,,,51034913.0,ns,650
bench_medium_complex_query,sea-orm,10,,,53220088.0,ns,663
bench_medium_complex_query,sea-orm,10,,,53479405.0,ns,676
bench_medium_complex_query,sea-orm,10,,,51340724.0,ns,689
bench_medium_complex_query,sea-orm,10,,,56030304.0,ns,702
