group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,tokio_postgres_by_id,1,,,1729011.0,ns,10
bench_medium_complex_query,tokio_postgres_by_id,1,,,2728672.0,ns,20
bench_medium_complex_query,tokio_postgres_by_id,1,,,3723477.0,ns,30
bench_medium_complex_query,tokio_postgres_by_id,1,,,4713430.0,ns,40
bench_medium_complex_query,tokio_postgres_by_id,1,,,5625337.0,ns,50
bench_medium_complex_query,tokio_postgres_by_id,1,,,6389845.0,ns,60
bench_medium_complex_query,tokio_postgres_by_id,1,,,8054313.0,ns,70
bench_medium_complex_query,tokio_postgres_by_id,1,,,9296071.0,ns,80
bench_medium_complex_query,tokio_postgres_by_id,1,,,9794572.0,ns,90
bench_medium_complex_query,tokio_postgres_by_id,1,,,10787661.0,ns,100
bench_medium_complex_query,tokio_postgres_by_id,1,,,11623146.0,ns,110
bench_medium_complex_query,tokio_postgres_by_id,1,,,12668781.0,ns,120
bench_medium_complex_query,tokio_postgres_by_id,1,,,14039588.0,ns,130
bench_medium_complex_query,tokio_postgres_by_id,1,,,15043320.0,ns,140
bench_medium_complex_query,tokio_postgres_by_id,1,,,15901141.0,ns,150
bench_medium_complex_query,tokio_postgres_by_id,1,,,16980905.0,ns,160
bench_medium_complex_query,tokio_postgres_by_id,1,,,16985745.0,ns,170
bench_medium_complex_query,tokio_postgres_by_id,1,,,19557515.0,ns,180
bench_medium_complex_query,tokio_postgres_by_id,1,,,19900080.0,ns,190
bench_medium_complex_query,tokio_postgres_by_id,1,,,21265749.0,ns,200
bench_medium_complex_query,tokio_postgres_by_id,1,,,22100569.0,ns,210
bench_medium_complex_query,tokio_postgres_by_id,1,,,22419112.0,ns,220
bench_medium_complex_query,tokio_postgres_by_id,1,,,23956473.0,ns,230
bench_medium_complex_query,tokio_postgres_by_id,1,,,24583145.0,ns,240
bench_medium_complex_query,tokio_postgres_by_id,1,,,26326403.0,ns,250
bench_medium_complex_query,tokio_postgres_by_id,1,,,27558329.0,ns,260
bench_medium_complex_query,tokio_postgres_by_id,1,,,27587947.0,ns,270
bench_medium_complex_query,tokio_postgres_by_id,1,,,28986807.0,ns,280
bench_medium_complex_query,tokio_postgres_by_id,1,,,30670438.0,ns,290
bench_medium_complex_query,tokio_postgres_by_id,1,,,32816394.0,ns,300
bench_medium_complex_query,tokio_postgres_by_id,1,,,32501432.0,ns,310
bench_medium_complex_query,tokio_postgres_by_id,1,,,32448597.0,ns,320
bench_medium_complex_query,tokio_postgres_by_id,1,,,34851672.0,ns,330
bench_medium_complex_query,tokio_postgres_by_id,1,,,34871457.0,ns,340
bench_medium_complex_query,tokio_postgres_by_id,1,,,36387835.0,ns,350
bench_medium_complex_query,tokio_postgres_by_id,1,,,37755509.0,ns,360
bench_medium_complex_query,tokio_postgres_by_id,1,,,38115110.0,ns,370
bench_medium_complex_query,tokio_postgres_by_id,1,,,39815735.0,ns,380
bench_medium_complex_query,tokio_postgres_by_id,1,,,38936413.0,ns,390
bench_medium_complex_query,tokio_postgres_by_id,1,,,40572041.0,ns,400
bench_medium_complex_query,tokio_postgres_by_id,1,,,42474111.0,ns,410
bench_medium_complex_query,tokio_postgres_by_id,1,,,43202632.0,ns,420
bench_medium_complex_query,tokio_postgres_by_id,1,,,45618980.0,ns,430
bench_medium_complex_query,tokio_postgres_by_id,1,,,45259912.0,ns,440
bench_medium_complex_query,tokio_postgres_by_id,1,,,45366635.0,ns,450
bench_medium_complex_query,tokio_postgres_by_id,1,,,48247636.0,ns,460
bench_medium_complex_query,tokio_postgres_by_id,1,,,48429518.0,ns,470
bench_medium_complex_query,tokio_postgres_by_id,1,,,49888655.0,ns,480
bench_medium_complex_query,tokio_postgres_by_id,1,,,49721980.0,ns,490
bench_medium_complex_query,tokio_postgres_by_id,1,,,51509574.0,ns,500
bench_medium_complex_query,tokio_postgres_by_id,1,,,51709629.0,ns,510
bench_medium_complex_query,tokio_postgres_by_id,1,,,53393920.0,ns,520
bench_medium_complex_query,tokio_postgres_by_id,1,,,54909012.0,ns,530
bench_medium_complex_query,tokio_postgres_by_id,1,,,56163042.0,ns,540
bench_medium_complex_query,tokio_postgres_by_id,1,,,57516591.0,ns,550
bench_medium_complex_query,tokio_postgres_by_id,1,,,58441730.0,ns,560
bench_medium_complex_query,tokio_postgres_by_id,1,,,58109764.0,ns,570
bench_medium_complex_query,tokio_postgres_by_id,1,,,61151539.0,ns,580
bench_medium_complex_query,tokio_postgres_by_id,1,,,61076346.0,ns,590
bench_medium_complex_query,tokio_postgres_by_id,1,,,61945885.0,ns,600
bench_medium_complex_query,tokio_postgres_by_id,1,,,62486370.0,ns,610
bench_medium_complex_query,tokio_postgres_by_id,1,,,64328628.0,ns,620
bench_medium_complex_query,tokio_postgres_by_id,1,,,65226418.0,ns,630
bench_medium_complex_query,tokio_postgres_by_id,1,,,66882973.0,ns,640
bench_medium_complex_query,tokio_postgres_by_id,1,,,67705812.0,ns,650
bench_medium_complex_query,tokio_postgres_by_id,1,,,67668626.0,ns,660
bench_medium_complex_query,tokio_postgres_by_id,1,,,68929479.0,ns,670
bench_medium_complex_query,tokio_postgres_by_id,1,,,68846460.0,ns,680
bench_medium_complex_query,tokio_postgres_by_id,1,,,71306831.0,ns,690
