group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,1000,,,1438166.0,ns,2
bench_trivial_query,sqlx_query_as_macro,1000,,,2732422.0,ns,4
bench_trivial_query,sqlx_query_as_macro,1000,,,3971428.0,ns,6
bench_trivial_query,sqlx_query_as_macro,1000,,,5263812.0,ns,8
bench_trivial_query,sqlx_query_as_macro,1000,,,6498720.0,ns,10
bench_trivial_query,sqlx_query_as_macro,1000,,,6925082.0,ns,12
bench_trivial_query,sqlx_query_as_macro,1000,,,9122150.0,ns,14
bench_trivial_query,sqlx_query_as_macro,1000,,,10442154.0,ns,16
bench_trivial_query,sqlx_query_as_macro,1000,,,9956762.0,ns,18
bench_trivial_query,sqlx_query_as_macro,1000,,,12897402.0,ns,20
bench_trivial_query,sqlx_query_as_macro,1000,,,12220684.0,ns,22
bench_trivial_query,sqlx_query_as_macro,1000,,,15356086.0,ns,24
bench_trivial_query,sqlx_query_as_macro,1000,,,14381720.0,ns,26
bench_trivial_query,sqlx_query_as_macro,1000,,,17765036.0,ns,28
bench_trivial_query,sqlx_query_as_macro,1000,,,18973616.0,ns,30
bench_trivial_query,sqlx_query_as_macro,1000,,,20440504.0,ns,32
bench_trivial_query,sqlx_query_as_macro,1000,,,18718898.0,ns,34
bench_trivial_query,sqlx_query_as_macro,1000,,,23026855.0,ns,36
bench_trivial_query,sqlx_query_as_macro,1000,,,21993383.0,ns,38
bench_trivial_query,sqlx_query_as_macro,1000,,,22390812.0,ns,40
bench_trivial_query,sqlx_query_as_macro,1000,,,23359544.0,ns,42
bench_trivial_query,sqlx_query_as_macro,1000,,,24465502.0,ns,44
bench_trivial_query,sqlx_query_as_macro,1000,,,27918088.0,ns,46
bench_trivial_query,sqlx_query_as_macro,1000,,,29954245.0,ns,48
bench_trivial_query,sqlx_query_as_macro,1000,,,30311346.0,ns,50
bench_trivial_query,sqlx_query_as_macro,1000,,,33206603.0,ns,52
bench_trivial_query,sqlx_query_as_macro,1000,,,30102557.0,ns,54
bench_trivial_query,sqlx_query_as_macro,1000,,,31777413.0,ns,56
