group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_as_macro,1,,,2102966.0,ns,12
bench_medium_complex_query,sqlx_query_as_macro,1,,,2957762.0,ns,24
bench_medium_complex_query,sqlx_query_as_macro,1,,,4895589.0,ns,36
bench_medium_complex_query,sqlx_query_as_macro,1,,,6059071.0,ns,48
bench_medium_complex_query,sqlx_query_as_macro,1,,,5668090.0,ns,60
bench_medium_complex_query,sqlx_query_as_macro,1,,,8049145.0,ns,72
bench_medium_complex_query,sqlx_query_as_macro,1,,,7366381.0,ns,84
bench_medium_complex_query,sqlx_query_as_macro,1,,,8269026.0,ns,96
bench_medium_complex_query,sqlx_query_as_macro,1,,,10739336.0,ns,108
bench_medium_complex_query,sqlx_query_as_macro,1,,,10206192.0,ns,120
bench_medium_complex_query,sqlx_query_as_macro,1,,,11005965.0,ns,132
bench_medium_complex_query,sqlx_query_as_macro,1,,,11904512.0,ns,144
bench_medium_complex_query,sqlx_query_as_macro,1,,,12757074.0,ns,156
bench_medium_complex_query,sqlx_query_as_macro,1,,,18074159.0,ns,168
bench_medium_complex_query,sqlx_query_as_macro,1,,,19443485.0,ns,180
bench_medium_complex_query,sqlx_query_as_macro,1,,,15680541.0,ns,192
bench_medium_complex_query,sqlx_query_as_macro,1,,,22198409.0,ns,204
bench_medium_complex_query,sqlx_query_as_macro,1,,,17682435.0,ns,216
bench_medium_complex_query,sqlx_query_as_macro,1,,,23049109.0,ns,228
bench_medium_complex_query,sqlx_query_as_macro,1,,,25168421.0,ns,240
bench_medium_complex_query,sqlx_query_as_macro,1,,,20561904.0,ns,252
bench_medium_complex_query,sqlx_query_as_macro,1,,,21246361.0,ns,264
bench_medium_complex_query,sqlx_query_as_macro,1,,,23874898.0,ns,276
bench_medium_complex_query,sqlx_query_as_macro,1,,,31226551.0,ns,288
bench_medium_complex_query,sqlx_query_as_macro,1,,,24169698.0,ns,300
bench_medium_complex_query,sqlx_query_as_macro,1,,,24013586.0,ns,312
bench_medium_complex_query,sqlx_query_as_macro,1,,,25976170.0,ns,324
bench_medium_complex_query,sqlx_query_as_macro,1,,,26209746.0,ns,336
bench_medium_complex_query,sqlx_query_as_macro,1,,,37761000.0,ns,348
bench_medium_complex_query,sqlx_query_as_macro,1,,,31058258.0,ns,360
bench_medium_complex_query,sqlx_query_as_macro,1,,,30133615.0,ns,372
bench_medium_complex_query,sqlx_query_as_macro,1,,,30665473.0,ns,384
bench_medium_complex_query,sqlx_query_as_macro,1,,,31615187.0,ns,396
bench_medium_complex_query,sqlx_query_as_macro,1,,,32157876.0,ns,408
bench_medium_complex_query,sqlx_query_as_macro,1,,,33379701.0,ns,420
bench_medium_complex_query,sqlx_query_as_macro,1,,,44871660.0,ns,432
bench_medium_complex_query,sqlx_query_as_macro,1,,,34991081.0,ns,444
bench_medium_complex_query,sqlx_query_as_macro,1,,,40894735.0,ns,456
bench_medium_complex_query,sqlx_query_as_macro,1,,,36962455.0,ns,468
bench_medium_complex_query,sqlx_query_as_macro,1,,,38046499.0,ns,480
bench_medium_complex_query,sqlx_query_as_macro,1,,,39523010.0,ns,492
bench_medium_complex_query,sqlx_query_as_macro,1,,,53216429.0,ns,504
bench_medium_complex_query,sqlx_query_as_macro,1,,,40608161.0,ns,516
bench_medium_complex_query,sqlx_query_as_macro,1,,,52555765.0,ns,528
bench_medium_complex_query,sqlx_query_as_macro,1,,,58069810.0,ns,540
bench_medium_complex_query,sqlx_query_as_macro,1,,,49186831.0,ns,552
bench_medium_complex_query,sqlx_query_as_macro,1,,,44561391.0,ns,564
bench_medium_complex_query,sqlx_query_as_macro,1,,,44982237.0,ns,576
bench_medium_complex_query,sqlx_query_as_macro,1,,,50472542.0,ns,588
bench_medium_complex_query,sqlx_query_as_macro,1,,,46655557.0,ns,600
bench_medium_complex_query,sqlx_query_as_macro,1,,,56288070.0,ns,612
bench_medium_complex_query,sqlx_query_as_macro,1,,,54742301.0,ns,624
bench_medium_complex_query,sqlx_query_as_macro,1,,,50492889.0,ns,636
bench_medium_complex_query,sqlx_query_as_macro,1,,,68976335.0,ns,648
bench_medium_complex_query,sqlx_query_as_macro,1,,,59543667.0,ns,660
bench_medium_complex_query,sqlx_query_as_macro,1,,,68611725.0,ns,672
bench_medium_complex_query,sqlx_query_as_macro,1,,,57219906.0,ns,684
bench_medium_complex_query,sqlx_query_as_macro,1,,,74311373.0,ns,696
bench_medium_complex_query,sqlx_query_as_macro,1,,,56406953.0,ns,708
bench_medium_complex_query,sqlx_query_as_macro,1,,,76377489.0,ns,720
bench_medium_complex_query,sqlx_query_as_macro,1,,,58182744.0,ns,732
bench_medium_complex_query,sqlx_query_as_macro,1,,,58838825.0,ns,744
bench_medium_complex_query,sqlx_query_as_macro,1,,,80703132.0,ns,756
bench_medium_complex_query,sqlx_query_as_macro,1,,,70067362.0,ns,768
bench_medium_complex_query,sqlx_query_as_macro,1,,,74597677.0,ns,780
bench_medium_complex_query,sqlx_query_as_macro,1,,,62699651.0,ns,792
bench_medium_complex_query,sqlx_query_as_macro,1,,,71735031.0,ns,804
bench_medium_complex_query,sqlx_query_as_macro,1,,,64888397.0,ns,816
bench_medium_complex_query,sqlx_query_as_macro,1,,,81908912.0,ns,828
bench_medium_complex_query,sqlx_query_as_macro,1,,,66582471.0,ns,840
bench_medium_complex_query,sqlx_query_as_macro,1,,,81619635.0,ns,852
bench_medium_complex_query,sqlx_query_as_macro,1,,,91318014.0,ns,864
bench_medium_complex_query,sqlx_query_as_macro,1,,,92608171.0,ns,876
bench_medium_complex_query,sqlx_query_as_macro,1,,,72281040.0,ns,888
bench_medium_complex_query,sqlx_query_as_macro,1,,,71245240.0,ns,900
bench_medium_complex_query,sqlx_query_as_macro,1,,,71875276.0,ns,912
bench_medium_complex_query,sqlx_query_as_macro,1,,,80423800.0,ns,924
bench_medium_complex_query,sqlx_query_as_macro,1,,,99386633.0,ns,936
bench_medium_complex_query,sqlx_query_as_macro,1,,,86365272.0,ns,948
bench_medium_complex_query,sqlx_query_as_macro,1,,,76104935.0,ns,960
bench_medium_complex_query,sqlx_query_as_macro,1,,,76335735.0,ns,972
bench_medium_complex_query,sqlx_query_as_macro,1,,,104694577.0,ns,984
bench_medium_complex_query,sqlx_query_as_macro,1,,,85609903.0,ns,996
bench_medium_complex_query,sqlx_query_as_macro,1,,,81103039.0,ns,1008
bench_medium_complex_query,sqlx_query_as_macro,1,,,89349634.0,ns,1020
bench_medium_complex_query,sqlx_query_as_macro,1,,,82904422.0,ns,1032
bench_medium_complex_query,sqlx_query_as_macro,1,,,95098071.0,ns,1044
bench_medium_complex_query,sqlx_query_as_macro,1,,,103357367.0,ns,1056
bench_medium_complex_query,sqlx_query_as_macro,1,,,108836271.0,ns,1068
bench_medium_complex_query,sqlx_query_as_macro,1,,,84341796.0,ns,1080
bench_medium_complex_query,sqlx_query_as_macro,1,,,116926290.0,ns,1092
bench_medium_complex_query,sqlx_query_as_macro,1,,,87029094.0,ns,1104
bench_medium_complex_query,sqlx_query_as_macro,1,,,109100886.0,ns,1116
bench_medium_complex_query,sqlx_query_as_macro,1,,,122033335.0,ns,1128
bench_medium_complex_query,sqlx_query_as_macro,1,,,94788103.0,ns,1140
bench_medium_complex_query,sqlx_query_as_macro,1,,,91744797.0,ns,1152
bench_medium_complex_query,sqlx_query_as_macro,1,,,96936050.0,ns,1164
bench_medium_complex_query,sqlx_query_as_macro,1,,,106072800.0,ns,1176
bench_medium_complex_query,sqlx_query_as_macro,1,,,112984496.0,ns,1188
