group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,diesel_async,10000,,,53090173.0,ns,12
bench_trivial_query,diesel_async,10000,,,51644800.0,ns,12
bench_trivial_query,diesel_async,10000,,,51574168.0,ns,12
bench_trivial_query,diesel_async,10000,,,51780373.0,ns,12
bench_trivial_query,diesel_async,10000,,,51935584.0,ns,12
bench_trivial_query,diesel_async,10000,,,54127163.0,ns,12
bench_trivial_query,diesel_async,10000,,,54977563.0,ns,12
bench_trivial_query,diesel_async,10000,,,56223574.0,ns,12
bench_trivial_query,diesel_async,10000,,,50593002.0,ns,12
bench_trivial_query,diesel_async,10000,,,51395994.0,ns,12
bench_trivial_query,diesel_async,10000,,,50954229.0,ns,12
bench_trivial_query,diesel_async,10000,,,53314053.0,ns,12
bench_trivial_query,diesel_async,10000,,,52391206.0,ns,12
bench_trivial_query,diesel_async,10000,,,52583927.0,ns,12
bench_trivial_query,diesel_async,10000,,,53330813.0,ns,12
bench_trivial_query,diesel_async,10000,,,52846357.0,ns,12
bench_trivial_query,diesel_async,10000,,,50451061.0,ns,12
bench_trivial_query,diesel_async,10000,,,51352221.0,ns,12
bench_trivial_query,diesel_async,10000,,,51029787.0,ns,12
bench_trivial_query,diesel_async,10000,,,53449285.0,ns,12
bench_trivial_query,diesel_async,10000,,,54822819.0,ns,12
bench_trivial_query,diesel_async,10000,,,53254388.0,ns,12
bench_trivial_query,diesel_async,10000,,,51649658.0,ns,12
bench_trivial_query,diesel_async,10000,,,52744723.0,ns,12
bench_trivial_query,diesel_async,10000,,,54714697.0,ns,12
bench_trivial_query,diesel_async,10000,,,52158185.0,ns,12
bench_trivial_query,diesel_async,10000,,,54528169.0,ns,12
bench_trivial_query,diesel_async,10000,,,51533717.0,ns,12
bench_trivial_query,diesel_async,10000,,,53981155.0,ns,12
bench_trivial_query,diesel_async,10000,,,51087652.0,ns,12
bench_trivial_query,diesel_async,10000,,,59390654.0,ns,12
bench_trivial_query,diesel_async,10000,,,51836934.0,ns,12
bench_trivial_query,diesel_async,10000,,,57046970.0,ns,12
bench_trivial_query,diesel_async,10000,,,51872661.0,ns,12
bench_trivial_query,diesel_async,10000,,,54847827.0,ns,12
bench_trivial_query,diesel_async,10000,,,52157714.0,ns,12
bench_trivial_query,diesel_async,10000,,,52289852.0,ns,12
bench_trivial_query,diesel_async,10000,,,54082565.0,ns,12
bench_trivial_query,diesel_async,10000,,,52563444.0,ns,12
bench_trivial_query,diesel_async,10000,,,50815155.0,ns,12
bench_trivial_query,diesel_async,10000,,,51151174.0,ns,12
bench_trivial_query,diesel_async,10000,,,51942716.0,ns,12
bench_trivial_query,diesel_async,10000,,,52860966.0,ns,12
bench_trivial_query,diesel_async,10000,,,56944554.0,ns,12
bench_trivial_query,diesel_async,10000,,,54370303.0,ns,12
bench_trivial_query,diesel_async,10000,,,54549138.0,ns,12
bench_trivial_query,diesel_async,10000,,,52863722.0,ns,12
bench_trivial_query,diesel_async,10000,,,55101172.0,ns,12
bench_trivial_query,diesel_async,10000,,,52976213.0,ns,12
bench_trivial_query,diesel_async,10000,,,51127040.0,ns,12
bench_trivial_query,diesel_async,10000,,,51207871.0,ns,12
bench_trivial_query,diesel_async,10000,,,57339513.0,ns,12
bench_trivial_query,diesel_async,10000,,,55225073.0,ns,12
bench_trivial_query,diesel_async,10000,,,53506323.0,ns,12
bench_trivial_query,diesel_async,10000,,,57885545.0,ns,12
bench_trivial_query,diesel_async,10000,,,53798169.0,ns,12
bench_trivial_query,diesel_async,10000,,,52942598.0,ns,12
bench_trivial_query,diesel_async,10000,,,52548832.0,ns,12
bench_trivial_query,diesel_async,10000,,,52565333.0,ns,12
