group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,100,,,2279183.0,ns,8
bench_medium_complex_query,diesel_boxed,100,,,3585806.0,ns,16
bench_medium_complex_query,diesel_boxed,100,,,4086228.0,ns,24
bench_medium_complex_query,diesel_boxed,100,,,5905083.0,ns,32
bench_medium_complex_query,diesel_boxed,100,,,5910893.0,ns,40
bench_medium_complex_query,diesel_boxed,100,,,6826819.0,ns,48
bench_medium_complex_query,diesel_boxed,100,,,8760057.0,ns,56
bench_medium_complex_query,diesel_boxed,100,,,10422381.0,ns,64
bench_medium_complex_query,diesel_boxed,100,,,9655644.0,ns,72
bench_medium_complex_query,diesel_boxed,100,,,10531023.0,ns,80
bench_medium_complex_query,diesel_boxed,100,,,13808675.0,ns,88
bench_medium_complex_query,diesel_boxed,100,,,12244213.0,ns,96
bench_medium_complex_query,diesel_boxed,100,,,16072700.0,ns,104
bench_medium_complex_query,diesel_boxed,100,,,14127278.0,ns,112
bench_medium_complex_query,diesel_boxed,100,,,16927731.0,ns,120
bench_medium_complex_query,diesel_boxed,100,,,16443360.0,ns,128
bench_medium_complex_query,diesel_boxed,100,,,20024547.0,ns,136
bench_medium_complex_query,diesel_boxed,100,,,17711951.0,ns,144
bench_medium_complex_query,diesel_boxed,100,,,18817148.0,ns,152
bench_medium_complex_query,diesel_boxed,100,,,20606872.0,ns,160
bench_medium_complex_query,diesel_boxed,100,,,25427163.0,ns,168
bench_medium_complex_query,diesel_boxed,100,,,27135916.0,ns,176
bench_medium_complex_query,diesel_boxed,100,,,22871656.0,ns,184
bench_medium_complex_query,diesel_boxed,100,,,29299813.0,ns,192
bench_medium_complex_query,diesel_boxed,100,,,30535973.0,ns,200
bench_medium_complex_query,diesel_boxed,100,,,25931451.0,ns,208
bench_medium_complex_query,diesel_boxed,100,,,26613181.0,ns,216
bench_medium_complex_query,diesel_boxed,100,,,27529737.0,ns,224
bench_medium_complex_query,diesel_boxed,100,,,27898453.0,ns,232
bench_medium_complex_query,diesel_boxed,100,,,29052332.0,ns,240
bench_medium_complex_query,diesel_boxed,100,,,30802518.0,ns,248
bench_medium_complex_query,diesel_boxed,100,,,31706041.0,ns,256
bench_medium_complex_query,diesel_boxed,100,,,31790879.0,ns,264
bench_medium_complex_query,diesel_boxed,100,,,33090048.0,ns,272
bench_medium_complex_query,diesel_boxed,100,,,33581863.0,ns,280
bench_medium_complex_query,diesel_boxed,100,,,35097003.0,ns,288
bench_medium_complex_query,diesel_boxed,100,,,36039698.0,ns,296
bench_medium_complex_query,diesel_boxed,100,,,40184365.0,ns,304
bench_medium_complex_query,diesel_boxed,100,,,37785886.0,ns,312
bench_medium_complex_query,diesel_boxed,100,,,47384326.0,ns,320
bench_medium_complex_query,diesel_boxed,100,,,39096637.0,ns,328
bench_medium_complex_query,diesel_boxed,100,,,49536673.0,ns,336
bench_medium_complex_query,diesel_boxed,100,,,41673897.0,ns,344
bench_medium_complex_query,diesel_boxed,100,,,51802782.0,ns,352
bench_medium_complex_query,diesel_boxed,100,,,43918665.0,ns,360
bench_medium_complex_query,diesel_boxed,100,,,44332455.0,ns,368
bench_medium_complex_query,diesel_boxed,100,,,53415734.0,ns,376
bench_medium_complex_query,diesel_boxed,100,,,46418028.0,ns,384
bench_medium_complex_query,diesel_boxed,100,,,48151304.0,ns,392
bench_medium_complex_query,diesel_boxed,100,,,47802926.0,ns,400
bench_medium_complex_query,diesel_boxed,100,,,49912883.0,ns,408
bench_medium_complex_query,diesel_boxed,100,,,50863563.0,ns,416
bench_medium_complex_query,diesel_boxed,100,,,62293150.0,ns,424
