group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,rusqlite_by_id,100,,,1034852.0,ns,42
bench_medium_complex_query,rusqlite_by_id,100,,,2015892.0,ns,84
bench_medium_complex_query,rusqlite_by_id,100,,,2984649.0,ns,126
bench_medium_complex_query,rusqlite_by_id,100,,,3968125.0,ns,168
bench_medium_complex_query,rusqlite_by_id,100,,,4978961.0,ns,210
bench_medium_complex_query,rusqlite_by_id,100,,,5928553.0,ns,252
bench_medium_complex_query,rusqlite_by_id,100,,,6898422.0,ns,294
bench_medium_complex_query,rusqlite_by_id,100,,,8282669.0,ns,336
bench_medium_complex_query,rusqlite_by_id,100,,,8919224.0,ns,378
bench_medium_complex_query,rusqlite_by_id,100,,,9957522.0,ns,420
bench_medium_complex_query,rusqlite_by_id,100,,,11020546.0,ns,462
bench_medium_complex_query,rusqlite_by_id,100,,,11973183.0,ns,504
bench_medium_complex_query,rusqlite_by_id,100,,,12909830.0,ns,546
bench_medium_complex_query,rusqlite_by_id,100,,,13909045.0,ns,588
bench_medium_complex_query,rusqlite_by_id,100,,,15009109.0,ns,630
bench_medium_complex_query,rusqlite_by_id,100,,,15987274.0,ns,672
bench_medium_complex_query,rusqlite_by_id,100,,,16968525.0,ns,714
bench_medium_complex_query,rusqlite_by_id,100,,,17810545.0,ns,756
bench_medium_complex_query,rusqlite_by_id,100,,,18878228.0,ns,798
bench_medium_complex_query,rusqlite_by_id,100,,,19983431.0,ns,840
bench_medium_complex_query,rusqlite_by_id,100,,,20915790.0,ns,882
bench_medium_complex_query,rusqlite_by_id,100,,,21852487.0,ns,924
bench_medium_complex_query,rusqlite_by_id,100,,,23022703.0,ns,966
bench_medium_complex_query,rusqlite_by_id,100,,,23725632.0,ns,1008
bench_medium_complex_query,rusqlite_by_id,100,,,25990060.0,ns,1050
bench_medium_complex_query,rusqlite_by_id,100,,,26977242.0,ns,1092
bench_medium_complex_query,rusqlite_by_id,100,,,27010194.0,ns,1134
bench_medium_complex_query,rusqlite_by_id,100,,,27898240.0,ns,1176
bench_medium_complex_query,rusqlite_by_id,100,,,28935135.0,ns,1218
bench_medium_complex_query,rusqlite_by_id,100,,,29810318.0,ns,1260
bench_medium_complex_query,rusqlite_by_id,100,,,30685750.0,ns,1302
bench_medium_complex_query,rusqlite_by_id,100,,,31587442.0,ns,1344
bench_medium_complex_query,rusqlite_by_id,100,,,32746065.0,ns,1386
bench_medium_complex_query,rusqlite_by_id,100,,,33670750.0,ns,1428
bench_medium_complex_query,rusqlite_by_id,100,,,36155782.0,ns,1470
bench_medium_complex_query,rusqlite_by_id,100,,,37041383.0,ns,1512
bench_medium_complex_query,rusqlite_by_id,100,,,38274066.0,ns,1554
bench_medium_complex_query,rusqlite_by_id,100,,,39350104.0,ns,1596
bench_medium_complex_query,rusqlite_by_id,100,,,38560514.0,ns,1638
bench_medium_complex_query,rusqlite_by_id,100,,,41289474.0,ns,1680
bench_medium_complex_query,rusqlite_by_id,100,,,42134148.0,ns,1722
bench_medium_complex_query,rusqlite_by_id,100,,,42140540.0,ns,1764
bench_medium_complex_query,rusqlite_by_id,100,,,44472695.0,ns,1806
bench_medium_complex_query,rusqlite_by_id,100,,,46127470.0,ns,1848
bench_medium_complex_query,rusqlite_by_id,100,,,45113107.0,ns,1890
bench_medium_complex_query,rusqlite_by_id,100,,,47167421.0,ns,1932
bench_medium_complex_query,rusqlite_by_id,100,,,47279311.0,ns,1974
bench_medium_complex_query,rusqlite_by_id,100,,,49620363.0,ns,2016
bench_medium_complex_query,rusqlite_by_id,100,,,50609519.0,ns,2058
bench_medium_complex_query,rusqlite_by_id,100,,,49671428.0,ns,2100
bench_medium_complex_query,rusqlite_by_id,100,,,52283699.0,ns,2142
bench_medium_complex_query,rusqlite_by_id,100,,,51878118.0,ns,2184
bench_medium_complex_query,rusqlite_by_id,100,,,52479346.0,ns,2226
bench_medium_complex_query,rusqlite_by_id,100,,,53993477.0,ns,2268
bench_medium_complex_query,rusqlite_by_id,100,,,56637608.0,ns,2310
bench_medium_complex_query,rusqlite_by_id,100,,,56342394.0,ns,2352
