group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_queryable_by_name,10,,,1090000.0,ns,75
bench_medium_complex_query,diesel_queryable_by_name,10,,,2070726.0,ns,150
bench_medium_complex_query,diesel_queryable_by_name,10,,,3028098.0,ns,225
bench_medium_complex_query,diesel_queryable_by_name,10,,,4033851.0,ns,300
bench_medium_complex_query,diesel_queryable_by_name,10,,,5044343.0,ns,375
bench_medium_complex_query,diesel_queryable_by_name,10,,,6047150.0,ns,450
bench_medium_complex_query,diesel_queryable_by_name,10,,,7028327.0,ns,525
bench_medium_complex_query,diesel_queryable_by_name,10,,,8035822.0,ns,600
bench_medium_complex_query,diesel_queryable_by_name,10,,,9021948.0,ns,675
bench_medium_complex_query,diesel_queryable_by_name,10,,,10070932.0,ns,750
bench_medium_complex_query,diesel_queryable_by_name,10,,,11015320.0,ns,825
bench_medium_complex_query,diesel_queryable_by_name,10,,,12149473.0,ns,900
bench_medium_complex_query,diesel_queryable_by_name,10,,,13179010.0,ns,975
bench_medium_complex_query,diesel_queryable_by_name,10,,,14178551.0,ns,1050
bench_medium_complex_query,diesel_queryable_by_name,10,,,15092242.0,ns,1125
bench_medium_complex_query,diesel_queryable_by_name,10,,,15980594.0,ns,1200
bench_medium_complex_query,diesel_queryable_by_name,10,,,17092846.0,ns,1275
bench_medium_complex_query,diesel_queryable_by_name,10,,,17934602.0,ns,1350
bench_medium_complex_query,diesel_queryable_by_name,10,,,18936688.0,ns,1425
bench_medium_complex_query,diesel_queryable_by_name,10,,,20239086.0,ns,1500
bench_medium_complex_query,diesel_queryable_by_name,10,,,21021932.0,ns,1575
bench_medium_complex_query,diesel_queryable_by_name,10,,,22140155.0,ns,1650
bench_medium_complex_query,diesel_queryable_by_name,10,,,22974476.0,ns,1725
bench_medium_complex_query,diesel_queryable_by_name,10,,,23885201.0,ns,1800
bench_medium_complex_query,diesel_queryable_by_name,10,,,24988076.0,ns,1875
bench_medium_complex_query,diesel_queryable_by_name,10,,,26026400.0,ns,1950
bench_medium_complex_query,diesel_queryable_by_name,10,,,27009821.0,ns,2025
bench_medium_complex_query,diesel_queryable_by_name,10,,,29380438.0,ns,2100
bench_medium_complex_query,diesel_queryable_by_name,10,,,31668862.0,ns,2175
bench_medium_complex_query,diesel_queryable_by_name,10,,,30046765.0,ns,2250
bench_medium_complex_query,diesel_queryable_by_name,10,,,31068048.0,ns,2325
bench_medium_complex_query,diesel_queryable_by_name,10,,,31990845.0,ns,2400
bench_medium_complex_query,diesel_queryable_by_name,10,,,33221227.0,ns,2475
bench_medium_complex_query,diesel_queryable_by_name,10,,,34198978.0,ns,2550
bench_medium_complex_query,diesel_queryable_by_name,10,,,35049049.0,ns,2625
bench_medium_complex_query,diesel_queryable_by_name,10,,,36271668.0,ns,2700
bench_medium_complex_query,diesel_queryable_by_name,10,,,37240732.0,ns,2775
bench_medium_complex_query,diesel_queryable_by_name,10,,,37987920.0,ns,2850
bench_medium_complex_query,diesel_queryable_by_name,10,,,39151779.0,ns,2925
bench_medium_complex_query,diesel_queryable_by_name,10,,,39853402.0,ns,3000
bench_medium_complex_query,diesel_queryable_by_name,10,,,41050113.0,ns,3075
bench_medium_complex_query,diesel_queryable_by_name,10,,,42136867.0,ns,3150
bench_medium_complex_query,diesel_queryable_by_name,10,,,43226977.0,ns,3225
bench_medium_complex_query,diesel_queryable_by_name,10,,,43727475.0,ns,3300
bench_medium_complex_query,diesel_queryable_by_name,10,,,44923313.0,ns,3375
bench_medium_complex_query,diesel_queryable_by_name,10,,,46035334.0,ns,3450
bench_medium_complex_query,diesel_queryable_by_name,10,,,46948504.0,ns,3525
bench_medium_complex_query,diesel_queryable_by_name,10,,,47986807.0,ns,3600
bench_medium_complex_query,diesel_queryable_by_name,10,,,49456078.0,ns,3675
bench_medium_complex_query,diesel_queryable_by_name,10,,,49864092.0,ns,3750
bench_medium_complex_query,diesel_queryable_by_name,10,,,51181998.0,ns,3825
bench_medium_complex_query,diesel_queryable_by_name,10,,,52273362.0,ns,3900
bench_medium_complex_query,diesel_queryable_by_name,10,,,53098336.0,ns,3975
bench_medium_complex_query,diesel_queryable_by_name,10,,,53835756.0,ns,4050
bench_medium_complex_query,diesel_queryable_by_name,10,,,55237771.0,ns,4125
bench_medium_complex_query,diesel_queryable_by_name,10,,,55898097.0,ns,4200
bench_medium_complex_query,diesel_queryable_by_name,10,,,56713553.0,ns,4275
bench_medium_complex_query,diesel_queryable_by_name,10,,,57924230.0,ns,4350
bench_medium_complex_query,diesel_queryable_by_name,10,,,59230395.0,ns,4425
bench_medium_complex_query,diesel_queryable_by_name,10,,,60020744.0,ns,4500
bench_medium_complex_query,diesel_queryable_by_name,10,,,61086249.0,ns,4575
bench_medium_complex_query,diesel_queryable_by_name,10,,,61860619.0,ns,4650
bench_medium_complex_query,diesel_queryable_by_name,10,,,62845301.0,ns,4725
bench_medium_complex_query,diesel_queryable_by_name,10,,,63781735.0,ns,4800
bench_medium_complex_query,diesel_queryable_by_name,10,,,65421313.0,ns,4875
bench_medium_complex_query,diesel_queryable_by_name,10,,,66649803.0,ns,4950
bench_medium_complex_query,diesel_queryable_by_name,10,,,67036117.0,ns,5025
bench_medium_complex_query,diesel_queryable_by_name,10,,,67722511.0,ns,5100
bench_medium_complex_query,diesel_queryable_by_name,10,,,69009136.0,ns,5175
bench_medium_complex_query,diesel_queryable_by_name,10,,,69869034.0,ns,5250
bench_medium_complex_query,diesel_queryable_by_name,10,,,71076562.0,ns,5325
bench_medium_complex_query,diesel_queryable_by_name,10,,,71814612.0,ns,5400
bench_medium_complex_query,diesel_queryable_by_name,10,,,72918506.0,ns,5475
bench_medium_complex_query,diesel_queryable_by_name,10,,,73905151.0,ns,5550
bench_medium_complex_query,diesel_queryable_by_name,10,,,74861438.0,ns,5625
bench_medium_complex_query,diesel_queryable_by_name,10,,,76236580.0,ns,5700
bench_medium_complex_query,diesel_queryable_by_name,10,,,77046495.0,ns,5775
bench_medium_complex_query,diesel_queryable_by_name,10,,,77651856.0,ns,5850
bench_medium_complex_query,diesel_queryable_by_name,10,,,78743468.0,ns,5925
bench_medium_complex_query,diesel_queryable_by_name,10,,,80281443.0,ns,6000
bench_medium_complex_query,diesel_queryable_by_name,10,,,81058616.0,ns,6075
bench_medium_complex_query,diesel_queryable_by_name,10,,,82247820.0,ns,6150
bench_medium_complex_query,diesel_queryable_by_name,10,,,83368125.0,ns,6225
bench_medium_complex_query,diesel_queryable_by_name,10,,,83709995.0,ns,6300
bench_medium_complex_query,diesel_queryable_by_name,10,,,84738758.0,ns,6375
bench_medium_complex_query,diesel_queryable_by_name,10,,,85587876.0,ns,6450
bench_medium_complex_query,diesel_queryable_by_name,10,,,87037837.0,ns,6525
bench_medium_complex_query,diesel_queryable_by_name,10,,,87688935.0,ns,6600
bench_medium_complex_query,diesel_queryable_by_name,10,,,89310576.0,ns,6675
bench_medium_complex_query,diesel_queryable_by_name,10,,,92015905.0,ns,6750
bench_medium_complex_query,diesel_queryable_by_name,10,,,90455668.0,ns,6825
bench_medium_complex_query,diesel_queryable_by_name,10,,,92312319.0,ns,6900
bench_medium_complex_query,diesel_queryable_by_name,10,,,93033969.0,ns,6975
bench_medium_complex_query,diesel_queryable_by_name,10,,,93519988.0,ns,7050
bench_medium_complex_query,diesel_queryable_by_name,10,,,95225757.0,ns,7125
bench_medium_complex_query,diesel_queryable_by_name,10,,,95681900.0,ns,7200
bench_medium_complex_query,diesel_queryable_by_name,10,,,97436480.0,ns,7275
bench_medium_complex_query,diesel_queryable_by_name,10,,,97380156.0,ns,7350
bench_medium_complex_query,diesel_queryable_by_name,10,,,99113576.0,ns,7425
bench_medium_complex_query,diesel_queryable_by_name,10,,,99887443.0,ns,7500
