group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,rusqlite_by_id,10000,,,1888633.0,ns,1
bench_trivial_query,rusqlite_by_id,10000,,,3757759.0,ns,2
bench_trivial_query,rusqlite_by_id,10000,,,5670426.0,ns,3
bench_trivial_query,rusqlite_by_id,10000,,,7518233.0,ns,4
bench_trivial_query,rusqlite_by_id,10000,,,9382299.0,ns,5
bench_trivial_query,rusqlite_by_id,10000,,,11249792.0,ns,6
bench_trivial_query,rusqlite_by_id,10000,,,13045391.0,ns,7
bench_trivial_query,rusqlite_by_id,10000,,,14999355.0,ns,8
bench_trivial_query,rusqlite_by_id,10000,,,16877839.0,ns,9
bench_trivial_query,rusqlite_by_id,10000,,,18741394.0,ns,10
bench_trivial_query,rusqlite_by_id,10000,,,20638563.0,ns,11
bench_trivial_query,rusqlite_by_id,10000,,,22401501.0,ns,12
bench_trivial_query,rusqlite_by_id,10000,,,24290354.0,ns,13
bench_trivial_query,rusqlite_by_id,10000,,,26233418.0,ns,14
bench_trivial_query,rusqlite_by_id,10000,,,28046810.0,ns,15
bench_trivial_query,rusqlite_by_id,10000,,,29997668.0,ns,16
bench_trivial_query,rusqlite_by_id,10000,,,33195452.0,ns,17
bench_trivial_query,rusqlite_by_id,10000,,,36227738.0,ns,18
bench_trivial_query,rusqlite_by_id,10000,,,37066722.0,ns,19
bench_trivial_query,rusqlite_by_id,10000,,,37498578.0,ns,20
bench_trivial_query,rusqlite_by_id,10000,,,39051224.0,ns,21
bench_trivial_query,rusqlite_by_id,10000,,,41234907.0,ns,22
bench_trivial_query,rusqlite_by_id,10000,,,42773897.0,ns,23
bench_trivial_query,rusqlite_by_id,10000,,,44579675.0,ns,24
bench_trivial_query,rusqlite_by_id,10000,,,46823420.0,ns,25
bench_trivial_query,rusqlite_by_id,10000,,,48312607.0,ns,26
bench_trivial_query,rusqlite_by_id,10000,,,50716080.0,ns,27
bench_trivial_query,rusqlite_by_id,10000,,,52088419.0,ns,28
bench_trivial_query,rusqlite_by_id,10000,,,53995366.0,ns,29
bench_trivial_query,rusqlite_by_id,10000,,,55956453.0,ns,30
bench_trivial_query,rusqlite_by_id,10000,,,57430243.0,ns,31
bench_trivial_query,rusqlite_by_id,10000,,,59881975.0,ns,32
bench_trivial_query,rusqlite_by_id,10000,,,61750400.0,ns,33
bench_trivial_query,rusqlite_by_id,10000,,,63618915.0,ns,34
bench_trivial_query,rusqlite_by_id,10000,,,65191407.0,ns,35
bench_trivial_query,rusqlite_by_id,10000,,,66970015.0,ns,36
bench_trivial_query,rusqlite_by_id,10000,,,69194304.0,ns,37
bench_trivial_query,rusqlite_by_id,10000,,,71234629.0,ns,38
bench_trivial_query,rusqlite_by_id,10000,,,72995834.0,ns,39
bench_trivial_query,rusqlite_by_id,10000,,,74692208.0,ns,40
bench_trivial_query,rusqlite_by_id,10000,,,76922548.0,ns,41
bench_trivial_query,rusqlite_by_id,10000,,,78100714.0,ns,42
bench_trivial_query,rusqlite_by_id,10000,,,80520026.0,ns,43
bench_trivial_query,rusqlite_by_id,10000,,,82294396.0,ns,44
bench_trivial_query,rusqlite_by_id,10000,,,84178610.0,ns,45
bench_trivial_query,rusqlite_by_id,10000,,,86124500.0,ns,46
bench_trivial_query,rusqlite_by_id,10000,,,87608628.0,ns,47
bench_trivial_query,rusqlite_by_id,10000,,,89496358.0,ns,48
bench_trivial_query,rusqlite_by_id,10000,,,91336270.0,ns,49
bench_trivial_query,rusqlite_by_id,10000,,,93383449.0,ns,50
bench_trivial_query,rusqlite_by_id,10000,,,95135065.0,ns,51
bench_trivial_query,rusqlite_by_id,10000,,,96945822.0,ns,52
bench_trivial_query,rusqlite_by_id,10000,,,98555605.0,ns,53
bench_trivial_query,rusqlite_by_id,10000,,,100912130.0,ns,54
bench_trivial_query,rusqlite_by_id,10000,,,102825839.0,ns,55
bench_trivial_query,rusqlite_by_id,10000,,,106041456.0,ns,56
bench_trivial_query,rusqlite_by_id,10000,,,106652526.0,ns,57
bench_trivial_query,rusqlite_by_id,10000,,,108267439.0,ns,58
bench_trivial_query,rusqlite_by_id,10000,,,110280513.0,ns,59
bench_trivial_query,rusqlite_by_id,10000,,,120449178.0,ns,60
bench_trivial_query,rusqlite_by_id,10000,,,122794642.0,ns,61
bench_trivial_query,rusqlite_by_id,10000,,,115897098.0,ns,62
bench_trivial_query,rusqlite_by_id,10000,,,117995112.0,ns,63
bench_trivial_query,rusqlite_by_id,10000,,,119001929.0,ns,64
bench_trivial_query,rusqlite_by_id,10000,,,122015860.0,ns,65
bench_trivial_query,rusqlite_by_id,10000,,,123843669.0,ns,66
bench_trivial_query,rusqlite_by_id,10000,,,124883388.0,ns,67
bench_trivial_query,rusqlite_by_id,10000,,,126597175.0,ns,68
bench_trivial_query,rusqlite_by_id,10000,,,128660433.0,ns,69
bench_trivial_query,rusqlite_by_id,10000,,,130302616.0,ns,70
bench_trivial_query,rusqlite_by_id,10000,,,132263984.0,ns,71
bench_trivial_query,rusqlite_by_id,10000,,,134618125.0,ns,72
bench_trivial_query,rusqlite_by_id,10000,,,136553574.0,ns,73
bench_trivial_query,rusqlite_by_id,10000,,,138373729.0,ns,74
bench_trivial_query,rusqlite_by_id,10000,,,139405223.0,ns,75
