group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_as_macro,10000,,,56644264.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,59710882.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56450563.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56495757.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,61333549.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57481611.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57670415.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,58958475.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,60215858.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,60508629.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57352108.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,58720951.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56591356.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56868855.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56504403.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57573255.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56090037.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,61962267.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57503763.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57729764.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56916353.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,58473798.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,62725706.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56504162.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57542597.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,59133842.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,59829450.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,58146907.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,60785436.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56712404.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,64240791.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56969804.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56715257.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56394377.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57284633.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,64185228.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57583913.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56403875.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57049231.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,61799457.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,55789384.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57793676.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,59405886.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56460651.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57834041.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56378326.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57028864.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,58103953.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,62623384.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57171371.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,61906864.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,57298609.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,62387363.0,ns,7
bench_trivial_query,sqlx_query_as_macro,10000,,,56846643.0,ns,7
