group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,sqlx_query_from_row,10000,,,59515526.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59213770.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58404360.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56711499.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60336300.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57951325.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58032116.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58967403.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58738582.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58856588.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58808516.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57189271.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59079091.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59019249.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58318495.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58993155.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58454611.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58082765.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58865566.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58734922.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59020794.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58902214.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60586322.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59423399.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59935928.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58523077.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57291282.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58605239.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58276900.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59606371.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58943993.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58862100.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57843376.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58694397.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58211304.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57993017.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,55976559.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59905690.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57947672.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58595973.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57689159.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59052326.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58004007.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58463195.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56263525.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58076933.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56774990.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57641169.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58736906.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58528614.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57656501.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58927770.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58564316.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59325736.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58316553.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58441792.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59198101.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58552269.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56792403.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59319765.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56579024.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59464185.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57666960.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57457012.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57708347.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58948619.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58456966.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58152234.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58449719.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56132107.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57256603.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60053746.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58583870.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59264840.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58059261.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56150544.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59376441.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59912652.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59104524.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59713591.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60376530.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58770689.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57538937.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,60033108.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59838906.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58142255.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59479054.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58495414.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,56784699.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,61653008.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58828665.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58734705.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59857249.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59252207.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59538503.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59415297.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59135962.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,58568983.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,57807059.0,ns,4
bench_medium_complex_query,sqlx_query_from_row,10000,,,59088883.0,ns,4
