group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,postgres,100,,,1789022.0,ns,2
bench_insert,postgres,100,,,3210466.0,ns,4
bench_insert,postgres,100,,,4492819.0,ns,6
bench_insert,postgres,100,,,5915064.0,ns,8
bench_insert,postgres,100,,,7768929.0,ns,10
bench_insert,postgres,100,,,9278698.0,ns,12
bench_insert,postgres,100,,,10934100.0,ns,14
bench_insert,postgres,100,,,14734672.0,ns,16
bench_insert,postgres,100,,,14016426.0,ns,18
bench_insert,postgres,100,,,15392836.0,ns,20
bench_insert,postgres,100,,,16907895.0,ns,22
bench_insert,postgres,100,,,17454419.0,ns,24
bench_insert,postgres,100,,,19756524.0,ns,26
bench_insert,postgres,100,,,22711261.0,ns,28
bench_insert,postgres,100,,,22030375.0,ns,30
bench_insert,postgres,100,,,25285033.0,ns,32
bench_insert,postgres,100,,,25270055.0,ns,34
bench_insert,postgres,100,,,27685533.0,ns,36
bench_insert,postgres,100,,,27490448.0,ns,38
bench_insert,postgres,100,,,28837692.0,ns,40
bench_insert,postgres,100,,,30476042.0,ns,42
bench_insert,postgres,100,,,32370873.0,ns,44
bench_insert,postgres,100,,,35845605.0,ns,46
bench_insert,postgres,100,,,34937854.0,ns,48
bench_insert,postgres,100,,,36024411.0,ns,50
bench_insert,postgres,100,,,40126277.0,ns,52
bench_insert,postgres,100,,,40586160.0,ns,54
bench_insert,postgres,100,,,40661481.0,ns,56
bench_insert,postgres,100,,,42930710.0,ns,58
bench_insert,postgres,100,,,46013900.0,ns,60
bench_insert,postgres,100,,,48474492.0,ns,62
bench_insert,postgres,100,,,46691060.0,ns,64
bench_insert,postgres,100,,,48798227.0,ns,66
bench_insert,postgres,100,,,50060364.0,ns,68
bench_insert,postgres,100,,,53392038.0,ns,70
bench_insert,postgres,100,,,51982286.0,ns,72
bench_insert,postgres,100,,,53404410.0,ns,74
bench_insert,postgres,100,,,59157101.0,ns,76
bench_insert,postgres,100,,,56621249.0,ns,78
bench_insert,postgres,100,,,61677755.0,ns,80
bench_insert,postgres,100,,,65029827.0,ns,82
bench_insert,postgres,100,,,61886516.0,ns,84
bench_insert,postgres,100,,,63568408.0,ns,86
bench_insert,postgres,100,,,68368164.0,ns,88
bench_insert,postgres,100,,,67738574.0,ns,90
bench_insert,postgres,100,,,66598746.0,ns,92
bench_insert,postgres,100,,,69319997.0,ns,94
bench_insert,postgres,100,,,70311935.0,ns,96
bench_insert,postgres,100,,,71635667.0,ns,98
bench_insert,postgres,100,,,72931976.0,ns,100
bench_insert,postgres,100,,,74229977.0,ns,102
bench_insert,postgres,100,,,76973651.0,ns,104
bench_insert,postgres,100,,,79871921.0,ns,106
bench_insert,postgres,100,,,83122243.0,ns,108
bench_insert,postgres,100,,,81478450.0,ns,110
bench_insert,postgres,100,,,87179795.0,ns,112
bench_insert,postgres,100,,,95075863.0,ns,114
bench_insert,postgres,100,,,84361555.0,ns,116
bench_insert,postgres,100,,,92639538.0,ns,118
bench_insert,postgres,100,,,87329477.0,ns,120
bench_insert,postgres,100,,,96205843.0,ns,122
bench_insert,postgres,100,,,95639922.0,ns,124
bench_insert,postgres,100,,,92637652.0,ns,126
bench_insert,postgres,100,,,93641437.0,ns,128
bench_insert,postgres,100,,,100310143.0,ns,130
bench_insert,postgres,100,,,102138497.0,ns,132
bench_insert,postgres,100,,,100667272.0,ns,134
bench_insert,postgres,100,,,102355365.0,ns,136
bench_insert,postgres,100,,,108597804.0,ns,138
bench_insert,postgres,100,,,103353898.0,ns,140
bench_insert,postgres,100,,,107475529.0,ns,142
bench_insert,postgres,100,,,104605813.0,ns,144
bench_insert,postgres,100,,,114100747.0,ns,146
bench_insert,postgres,100,,,115073447.0,ns,148
bench_insert,postgres,100,,,109733941.0,ns,150
bench_insert,postgres,100,,,115709080.0,ns,152
bench_insert,postgres,100,,,121502987.0,ns,154
bench_insert,postgres,100,,,116885004.0,ns,156
bench_insert,postgres,100,,,128727846.0,ns,158
bench_insert,postgres,100,,,117798556.0,ns,160
bench_insert,postgres,100,,,119731417.0,ns,162
bench_insert,postgres,100,,,120406054.0,ns,164
bench_insert,postgres,100,,,130164700.0,ns,166
bench_insert,postgres,100,,,130233170.0,ns,168
bench_insert,postgres,100,,,134300220.0,ns,170
bench_insert,postgres,100,,,126730275.0,ns,172
bench_insert,postgres,100,,,134827889.0,ns,174
bench_insert,postgres,100,,,128295958.0,ns,176
bench_insert,postgres,100,,,136662016.0,ns,178
bench_insert,postgres,100,,,133468722.0,ns,180
bench_insert,postgres,100,,,134973642.0,ns,182
bench_insert,postgres,100,,,145581060.0,ns,184
bench_insert,postgres,100,,,143563932.0,ns,186
bench_insert,postgres,100,,,140320580.0,ns,188
bench_insert,postgres,100,,,142212378.0,ns,190
bench_insert,postgres,100,,,153827554.0,ns,192
bench_insert,postgres,100,,,141973128.0,ns,194
bench_insert,postgres,100,,,158747593.0,ns,196
bench_insert,postgres,100,,,155618652.0,ns,198
bench_insert,postgres,100,,,147591068.0,ns,200
