group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,diesel_async,50,,,1730791.0,ns,3
bench_insert,diesel_async,50,,,3111838.0,ns,6
bench_insert,diesel_async,50,,,4287790.0,ns,9
bench_insert,diesel_async,50,,,5372903.0,ns,12
bench_insert,diesel_async,50,,,6567818.0,ns,15
bench_insert,diesel_async,50,,,7758783.0,ns,18
bench_insert,diesel_async,50,,,8680337.0,ns,21
bench_insert,diesel_async,50,,,9955755.0,ns,24
bench_insert,diesel_async,50,,,12682562.0,ns,27
bench_insert,diesel_async,50,,,12148080.0,ns,30
bench_insert,diesel_async,50,,,14982215.0,ns,33
bench_insert,diesel_async,50,,,17562714.0,ns,36
bench_insert,diesel_async,50,,,15630495.0,ns,39
bench_insert,diesel_async,50,,,17089187.0,ns,42
bench_insert,diesel_async,50,,,18633507.0,ns,45
bench_insert,diesel_async,50,,,19572694.0,ns,48
bench_insert,diesel_async,50,,,21772024.0,ns,51
bench_insert,diesel_async,50,,,22020929.0,ns,54
bench_insert,diesel_async,50,,,23125378.0,ns,57
bench_insert,diesel_async,50,,,24357618.0,ns,60
bench_insert,diesel_async,50,,,26865618.0,ns,63
bench_insert,diesel_async,50,,,27693708.0,ns,66
bench_insert,diesel_async,50,,,27783548.0,ns,69
bench_insert,diesel_async,50,,,29605300.0,ns,72
bench_insert,diesel_async,50,,,31012991.0,ns,75
bench_insert,diesel_async,50,,,31841421.0,ns,78
bench_insert,diesel_async,50,,,33541474.0,ns,81
bench_insert,diesel_async,50,,,34163382.0,ns,84
bench_insert,diesel_async,50,,,37140680.0,ns,87
bench_insert,diesel_async,50,,,36450771.0,ns,90
bench_insert,diesel_async,50,,,40002628.0,ns,93
bench_insert,diesel_async,50,,,40109310.0,ns,96
bench_insert,diesel_async,50,,,40250469.0,ns,99
bench_insert,diesel_async,50,,,41983410.0,ns,102
bench_insert,diesel_async,50,,,43292029.0,ns,105
bench_insert,diesel_async,50,,,45455333.0,ns,108
bench_insert,diesel_async,50,,,45246769.0,ns,111
bench_insert,diesel_async,50,,,47162287.0,ns,114
bench_insert,diesel_async,50,,,51479494.0,ns,117
bench_insert,diesel_async,50,,,49521777.0,ns,120
bench_insert,diesel_async,50,,,49993188.0,ns,123
bench_insert,diesel_async,50,,,53418730.0,ns,126
bench_insert,diesel_async,50,,,53761022.0,ns,129
bench_insert,diesel_async,50,,,52697516.0,ns,132
bench_insert,diesel_async,50,,,57149390.0,ns,135
bench_insert,diesel_async,50,,,57356287.0,ns,138
bench_insert,diesel_async,50,,,59527579.0,ns,141
bench_insert,diesel_async,50,,,61601120.0,ns,144
bench_insert,diesel_async,50,,,60622794.0,ns,147
bench_insert,diesel_async,50,,,64491963.0,ns,150
bench_insert,diesel_async,50,,,66769861.0,ns,153
bench_insert,diesel_async,50,,,66592769.0,ns,156
bench_insert,diesel_async,50,,,65878290.0,ns,159
bench_insert,diesel_async,50,,,65266053.0,ns,162
bench_insert,diesel_async,50,,,67446382.0,ns,165
bench_insert,diesel_async,50,,,71263866.0,ns,168
bench_insert,diesel_async,50,,,73240013.0,ns,171
bench_insert,diesel_async,50,,,73134375.0,ns,174
bench_insert,diesel_async,50,,,74560984.0,ns,177
bench_insert,diesel_async,50,,,73326834.0,ns,180
bench_insert,diesel_async,50,,,77014811.0,ns,183
bench_insert,diesel_async,50,,,82059232.0,ns,186
bench_insert,diesel_async,50,,,77648285.0,ns,189
bench_insert,diesel_async,50,,,79632478.0,ns,192
bench_insert,diesel_async,50,,,82370613.0,ns,195
bench_insert,diesel_async,50,,,83645899.0,ns,198
bench_insert,diesel_async,50,,,86991433.0,ns,201
bench_insert,diesel_async,50,,,82577696.0,ns,204
bench_insert,diesel_async,50,,,86289601.0,ns,207
bench_insert,diesel_async,50,,,86626321.0,ns,210
bench_insert,diesel_async,50,,,89122159.0,ns,213
bench_insert,diesel_async,50,,,92250285.0,ns,216
bench_insert,diesel_async,50,,,88518373.0,ns,219
bench_insert,diesel_async,50,,,94541892.0,ns,222
bench_insert,diesel_async,50,,,92423026.0,ns,225
bench_insert,diesel_async,50,,,96017097.0,ns,228
bench_insert,diesel_async,50,,,94439817.0,ns,231
bench_insert,diesel_async,50,,,95969256.0,ns,234
bench_insert,diesel_async,50,,,96539634.0,ns,237
bench_insert,diesel_async,50,,,100438076.0,ns,240
bench_insert,diesel_async,50,,,102043030.0,ns,243
bench_insert,diesel_async,50,,,103849220.0,ns,246
bench_insert,diesel_async,50,,,102523295.0,ns,249
bench_insert,diesel_async,50,,,105157207.0,ns,252
bench_insert,diesel_async,50,,,105293673.0,ns,255
bench_insert,diesel_async,50,,,107402695.0,ns,258
bench_insert,diesel_async,50,,,107859220.0,ns,261
bench_insert,diesel_async,50,,,107866115.0,ns,264
bench_insert,diesel_async,50,,,110438683.0,ns,267
bench_insert,diesel_async,50,,,115738471.0,ns,270
bench_insert,diesel_async,50,,,112847402.0,ns,273
bench_insert,diesel_async,50,,,117982384.0,ns,276
bench_insert,diesel_async,50,,,136531910.0,ns,279
bench_insert,diesel_async,50,,,120720563.0,ns,282
bench_insert,diesel_async,50,,,123347417.0,ns,285
bench_insert,diesel_async,50,,,118653027.0,ns,288
bench_insert,diesel_async,50,,,128946603.0,ns,291
bench_insert,diesel_async,50,,,162340546.0,ns,294
bench_insert,diesel_async,50,,,138414827.0,ns,297
bench_insert,diesel_async,50,,,121970982.0,ns,300
