group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_insert,tokio_postgres,50,,,1440331.0,ns,2
bench_insert,tokio_postgres,50,,,2642947.0,ns,4
bench_insert,tokio_postgres,50,,,3776111.0,ns,6
bench_insert,tokio_postgres,50,,,4709202.0,ns,8
bench_insert,tokio_postgres,50,,,6653588.0,ns,10
bench_insert,tokio_postgres,50,,,7372315.0,ns,12
bench_insert,tokio_postgres,50,,,8545997.0,ns,14
bench_insert,tokio_postgres,50,,,10064251.0,ns,16
bench_insert,tokio_postgres,50,,,10678262.0,ns,18
bench_insert,tokio_postgres,50,,,11935045.0,ns,20
bench_insert,tokio_postgres,50,,,13146504.0,ns,22
bench_insert,tokio_postgres,50,,,14847064.0,ns,24
bench_insert,tokio_postgres,50,,,15637780.0,ns,26
bench_insert,tokio_postgres,50,,,16182612.0,ns,28
bench_insert,tokio_postgres,50,,,18771435.0,ns,30
bench_insert,tokio_postgres,50,,,19076772.0,ns,32
bench_insert,tokio_postgres,50,,,20512892.0,ns,34
bench_insert,tokio_postgres,50,,,22630921.0,ns,36
bench_insert,tokio_postgres,50,,,23556476.0,ns,38
bench_insert,tokio_postgres,50,,,25680812.0,ns,40
bench_insert,tokio_postgres,50,,,25827450.0,ns,42
bench_insert,tokio_postgres,50,,,26695826.0,ns,44
bench_insert,tokio_postgres,50,,,28975279.0,ns,46
bench_insert,tokio_postgres,50,,,31469005.0,ns,48
bench_insert,tokio_postgres,50,,,33560290.0,ns,50
bench_insert,tokio_postgres,50,,,31812342.0,ns,52
bench_insert,tokio_postgres,50,,,34388162.0,ns,54
bench_insert,tokio_postgres,50,,,33877578.0,ns,56
bench_insert,tokio_postgres,50,,,36304333.0,ns,58
bench_insert,tokio_postgres,50,,,35633465.0,ns,60
bench_insert,tokio_postgres,50,,,35917764.0,ns,62
bench_insert,tokio_postgres,50,,,39048379.0,ns,64
bench_insert,tokio_postgres,50,,,39516721.0,ns,66
bench_insert,tokio_postgres,50,,,42434449.0,ns,68
bench_insert,tokio_postgres,50,,,45847390.0,ns,70
bench_insert,tokio_postgres,50,,,42165455.0,ns,72
bench_insert,tokio_postgres,50,,,47411953.0,ns,74
bench_insert,tokio_postgres,50,,,46951556.0,ns,76
bench_insert,tokio_postgres,50,,,48394970.0,ns,78
bench_insert,tokio_postgres,50,,,49132964.0,ns,80
bench_insert,tokio_postgres,50,,,51628560.0,ns,82
bench_insert,tokio_postgres,50,,,51593807.0,ns,84
bench_insert,tokio_postgres,50,,,55169835.0,ns,86
bench_insert,tokio_postgres,50,,,56436981.0,ns,88
bench_insert,tokio_postgres,50,,,54366493.0,ns,90
bench_insert,tokio_postgres,50,,,54576825.0,ns,92
bench_insert,tokio_postgres,50,,,57574501.0,ns,94
bench_insert,tokio_postgres,50,,,58465987.0,ns,96
bench_insert,tokio_postgres,50,,,59480817.0,ns,98
bench_insert,tokio_postgres,50,,,60975929.0,ns,100
bench_insert,tokio_postgres,50,,,61845508.0,ns,102
bench_insert,tokio_postgres,50,,,64375926.0,ns,104
bench_insert,tokio_postgres,50,,,62531728.0,ns,106
bench_insert,tokio_postgres,50,,,64249946.0,ns,108
bench_insert,tokio_postgres,50,,,65985092.0,ns,110
bench_insert,tokio_postgres,50,,,66546798.0,ns,112
bench_insert,tokio_postgres,50,,,68682515.0,ns,114
bench_insert,tokio_postgres,50,,,75127264.0,ns,116
bench_insert,tokio_postgres,50,,,71923153.0,ns,118
bench_insert,tokio_postgres,50,,,73746265.0,ns,120
bench_insert,tokio_postgres,50,,,76074860.0,ns,122
bench_insert,tokio_postgres,50,,,79346875.0,ns,124
bench_insert,tokio_postgres,50,,,82149398.0,ns,126
bench_insert,tokio_postgres,50,,,76041629.0,ns,128
bench_insert,tokio_postgres,50,,,95618870.0,ns,130
bench_insert,tokio_postgres,50,,,79428369.0,ns,132
bench_insert,tokio_postgres,50,,,81694846.0,ns,134
bench_insert,tokio_postgres,50,,,83179816.0,ns,136
bench_insert,tokio_postgres,50,,,85872149.0,ns,138
bench_insert,tokio_postgres,50,,,84948862.0,ns,140
bench_insert,tokio_postgres,50,,,88801116.0,ns,142
bench_insert,tokio_postgres,50,,,88989970.0,ns,144
bench_insert,tokio_postgres,50,,,89923136.0,ns,146
bench_insert,tokio_postgres,50,,,92598024.0,ns,148
bench_insert,tokio_postgres,50,,,89823120.0,ns,150
bench_insert,tokio_postgres,50,,,91037031.0,ns,152
bench_insert,tokio_postgres,50,,,93695600.0,ns,154
bench_insert,tokio_postgres,50,,,95311460.0,ns,156
bench_insert,tokio_postgres,50,,,97191481.0,ns,158
bench_insert,tokio_postgres,50,,,99354334.0,ns,160
bench_insert,tokio_postgres,50,,,100993402.0,ns,162
bench_insert,tokio_postgres,50,,,103746740.0,ns,164
bench_insert,tokio_postgres,50,,,102370782.0,ns,166
bench_insert,tokio_postgres,50,,,105421911.0,ns,168
bench_insert,tokio_postgres,50,,,107155570.0,ns,170
bench_insert,tokio_postgres,50,,,113959318.0,ns,172
bench_insert,tokio_postgres,50,,,109294688.0,ns,174
bench_insert,tokio_postgres,50,,,107035710.0,ns,176
bench_insert,tokio_postgres,50,,,109945521.0,ns,178
bench_insert,tokio_postgres,50,,,111500687.0,ns,180
bench_insert,tokio_postgres,50,,,117981478.0,ns,182
bench_insert,tokio_postgres,50,,,108880740.0,ns,184
bench_insert,tokio_postgres,50,,,114744406.0,ns,186
bench_insert,tokio_postgres,50,,,119959373.0,ns,188
bench_insert,tokio_postgres,50,,,116224962.0,ns,190
bench_insert,tokio_postgres,50,,,119095429.0,ns,192
bench_insert,tokio_postgres,50,,,119141209.0,ns,194
bench_insert,tokio_postgres,50,,,121986939.0,ns,196
bench_insert,tokio_postgres,50,,,126384092.0,ns,198
bench_insert,tokio_postgres,50,,,129983582.0,ns,200
