group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52015721.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,53046621.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,57810114.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,54360480.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,53151501.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52684369.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,53033604.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52973104.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52379199.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,53060798.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,56177113.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52467219.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52156082.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,53065857.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,54045516.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,53155104.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,56243384.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,55946949.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,56847231.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,51877763.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52471152.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52767043.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52644755.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,54942591.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,54707613.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,57304980.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52286105.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52265020.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52304745.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52968787.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52371841.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52865173.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52823649.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,58844780.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,54403203.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,56411365.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,53050571.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,59167130.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52930095.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,53001299.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52522601.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,55049685.0,ns,16
bench_medium_complex_query,diesel_async_queryable_by_name,10000,,,52572300.0,ns,16
