group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sea-orm,100,,,1575387.0,ns,5
bench_trivial_query,sea-orm,100,,,2567245.0,ns,10
bench_trivial_query,sea-orm,100,,,3589350.0,ns,15
bench_trivial_query,sea-orm,100,,,4656409.0,ns,20
bench_trivial_query,sea-orm,100,,,5963511.0,ns,25
bench_trivial_query,sea-orm,100,,,6922276.0,ns,30
bench_trivial_query,sea-orm,100,,,8197899.0,ns,35
bench_trivial_query,sea-orm,100,,,9392184.0,ns,40
bench_trivial_query,sea-orm,100,,,10386811.0,ns,45
bench_trivial_query,sea-orm,100,,,11394258.0,ns,50
bench_trivial_query,sea-orm,100,,,12710797.0,ns,55
bench_trivial_query,sea-orm,100,,,13201030.0,ns,60
bench_trivial_query,sea-orm,100,,,14924977.0,ns,65
bench_trivial_query,sea-orm,100,,,16034116.0,ns,70
bench_trivial_query,sea-orm,100,,,16993129.0,ns,75
bench_trivial_query,sea-orm,100,,,17519152.0,ns,80
bench_trivial_query,sea-orm,100,,,19406165.0,ns,85
bench_trivial_query,sea-orm,100,,,20316450.0,ns,90
bench_trivial_query,sea-orm,100,,,21715094.0,ns,95
bench_trivial_query,sea-orm,100,,,22793601.0,ns,100
bench_trivial_query,sea-orm,100,,,23722224.0,ns,105
bench_trivial_query,sea-orm,100,,,23635590.0,ns,110
bench_trivial_query,sea-orm,100,,,25682979.0,ns,115
bench_trivial_query,sea-orm,100,,,26212456.0,ns,120
bench_trivial_query,sea-orm,100,,,27036458.0,ns,125
bench_trivial_query,sea-orm,100,,,28143129.0,ns,130
bench_trivial_query,sea-orm,100,,,29218886.0,ns,135
bench_trivial_query,sea-orm,100,,,30179595.0,ns,140
bench_trivial_query,sea-orm,100,,,31348318.0,ns,145
bench_trivial_query,sea-orm,100,,,33494678.0,ns,150
bench_trivial_query,sea-orm,100,,,35025774.0,ns,155
bench_trivial_query,sea-orm,100,,,36232415.0,ns,160
bench_trivial_query,sea-orm,100,,,37378634.0,ns,165
bench_trivial_query,sea-orm,100,,,38401590.0,ns,170
bench_trivial_query,sea-orm,100,,,37741066.0,ns,175
bench_trivial_query,sea-orm,100,,,41389651.0,ns,180
bench_trivial_query,sea-orm,100,,,41324958.0,ns,185
bench_trivial_query,sea-orm,100,,,41653310.0,ns,190
bench_trivial_query,sea-orm,100,,,46745309.0,ns,195
bench_trivial_query,sea-orm,100,,,44352466.0,ns,200
bench_trivial_query,sea-orm,100,,,44160785.0,ns,205
