group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,wtx,10000,,,50260044.0,ns,20
bench_trivial_query,wtx,10000,,,54655061.0,ns,20
bench_trivial_query,wtx,10000,,,49981382.0,ns,20
bench_trivial_query,wtx,10000,,,48498750.0,ns,20
bench_trivial_query,wtx,10000,,,60985553.0,ns,20
bench_trivial_query,wtx,10000,,,43834507.0,ns,20
bench_trivial_query,wtx,10000,,,46062204.0,ns,20
bench_trivial_query,wtx,10000,,,52828428.0,ns,20
bench_trivial_query,wtx,10000,,,43763000.0,ns,20
bench_trivial_query,wtx,10000,,,54118724.0,ns,20
bench_trivial_query,wtx,10000,,,53629913.0,ns,20
bench_trivial_query,wtx,10000,,,55895649.0,ns,20
bench_trivial_query,wtx,10000,,,51837268.0,ns,20
bench_trivial_query,wtx,10000,,,47274422.0,ns,20
bench_trivial_query,wtx,10000,,,43715404.0,ns,20
bench_trivial_query,wtx,10000,,,50043078.0,ns,20
bench_trivial_query,wtx,10000,,,47727646.0,ns,20
bench_trivial_query,wtx,10000,,,49119400.0,ns,20
bench_trivial_query,wtx,10000,,,53838158.0,ns,20
bench_trivial_query,wtx,10000,,,54076001.0,ns,20
bench_trivial_query,wtx,10000,,,53175610.0,ns,20
bench_trivial_query,wtx,10000,,,55055920.0,ns,20
bench_trivial_query,wtx,10000,,,55217271.0,ns,20
bench_trivial_query,wtx,10000,,,52132448.0,ns,20
bench_trivial_query,wtx,10000,,,61342462.0,ns,20
bench_trivial_query,wtx,10000,,,52152315.0,ns,20
bench_trivial_query,wtx,10000,,,54202159.0,ns,20
bench_trivial_query,wtx,10000,,,56750307.0,ns,20
bench_trivial_query,wtx,10000,,,59729027.0,ns,20
bench_trivial_query,wtx,10000,,,56122477.0,ns,20
bench_trivial_query,wtx,10000,,,43923298.0,ns,20
bench_trivial_query,wtx,10000,,,45986968.0,ns,20
bench_trivial_query,wtx,10000,,,54088075.0,ns,20
bench_trivial_query,wtx,10000,,,60123725.0,ns,20
bench_trivial_query,wtx,10000,,,58602302.0,ns,20
bench_trivial_query,wtx,10000,,,53264449.0,ns,20
bench_trivial_query,wtx,10000,,,53778635.0,ns,20
bench_trivial_query,wtx,10000,,,52851499.0,ns,20
bench_trivial_query,wtx,10000,,,52382755.0,ns,20
bench_trivial_query,wtx,10000,,,55331190.0,ns,20
bench_trivial_query,wtx,10000,,,55966281.0,ns,20
bench_trivial_query,wtx,10000,,,53874450.0,ns,20
bench_trivial_query,wtx,10000,,,51775997.0,ns,20
bench_trivial_query,wtx,10000,,,57790397.0,ns,20
bench_trivial_query,wtx,10000,,,57958839.0,ns,20
bench_trivial_query,wtx,10000,,,53029540.0,ns,20
bench_trivial_query,wtx,10000,,,43621558.0,ns,20
bench_trivial_query,wtx,10000,,,59652008.0,ns,20
bench_trivial_query,wtx,10000,,,59325482.0,ns,20
bench_trivial_query,wtx,10000,,,46585335.0,ns,20
bench_trivial_query,wtx,10000,,,49653542.0,ns,20
bench_trivial_query,wtx,10000,,,48498835.0,ns,20
bench_trivial_query,wtx,10000,,,53835214.0,ns,20
bench_trivial_query,wtx,10000,,,43780224.0,ns,20
bench_trivial_query,wtx,10000,,,56110427.0,ns,20
bench_trivial_query,wtx,10000,,,43572674.0,ns,20
bench_trivial_query,wtx,10000,,,50063588.0,ns,20
bench_trivial_query,wtx,10000,,,43632024.0,ns,20
bench_trivial_query,wtx,10000,,,53270912.0,ns,20
bench_trivial_query,wtx,10000,,,50546461.0,ns,20
bench_trivial_query,wtx,10000,,,53183459.0,ns,20
bench_trivial_query,wtx,10000,,,44032534.0,ns,20
bench_trivial_query,wtx,10000,,,49936264.0,ns,20
bench_trivial_query,wtx,10000,,,45969968.0,ns,20
bench_trivial_query,wtx,10000,,,53681297.0,ns,20
bench_trivial_query,wtx,10000,,,60583717.0,ns,20
bench_trivial_query,wtx,10000,,,54677875.0,ns,20
bench_trivial_query,wtx,10000,,,54193161.0,ns,20
bench_trivial_query,wtx,10000,,,48537655.0,ns,20
bench_trivial_query,wtx,10000,,,60746801.0,ns,20
bench_trivial_query,wtx,10000,,,43784050.0,ns,20
bench_trivial_query,wtx,10000,,,53280671.0,ns,20
bench_trivial_query,wtx,10000,,,54101521.0,ns,20
bench_trivial_query,wtx,10000,,,48866642.0,ns,20
bench_trivial_query,wtx,10000,,,45258693.0,ns,20
bench_trivial_query,wtx,10000,,,58129646.0,ns,20
bench_trivial_query,wtx,10000,,,59144130.0,ns,20
bench_trivial_query,wtx,10000,,,53404714.0,ns,20
bench_trivial_query,wtx,10000,,,53443705.0,ns,20
bench_trivial_query,wtx,10000,,,60075261.0,ns,20
bench_trivial_query,wtx,10000,,,47380329.0,ns,20
bench_trivial_query,wtx,10000,,,55518220.0,ns,20
bench_trivial_query,wtx,10000,,,53891221.0,ns,20
bench_trivial_query,wtx,10000,,,48776662.0,ns,20
bench_trivial_query,wtx,10000,,,53528403.0,ns,20
bench_trivial_query,wtx,10000,,,49550717.0,ns,20
bench_trivial_query,wtx,10000,,,43869292.0,ns,20
bench_trivial_query,wtx,10000,,,59125530.0,ns,20
bench_trivial_query,wtx,10000,,,47264632.0,ns,20
bench_trivial_query,wtx,10000,,,43866186.0,ns,20
bench_trivial_query,wtx,10000,,,51553850.0,ns,20
bench_trivial_query,wtx,10000,,,47069767.0,ns,20
bench_trivial_query,wtx,10000,,,57627948.0,ns,20
bench_trivial_query,wtx,10000,,,43726573.0,ns,20
bench_trivial_query,wtx,10000,,,47568910.0,ns,20
bench_trivial_query,wtx,10000,,,55220229.0,ns,20
bench_trivial_query,wtx,10000,,,52951748.0,ns,20
bench_trivial_query,wtx,10000,,,49617386.0,ns,20
bench_trivial_query,wtx,10000,,,44526656.0,ns,20
bench_trivial_query,wtx,10000,,,46990542.0,ns,20
