group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sqlx_query_from_row,100,,,1103644.0,ns,7
bench_trivial_query,sqlx_query_from_row,100,,,2042520.0,ns,14
bench_trivial_query,sqlx_query_from_row,100,,,2966218.0,ns,21
bench_trivial_query,sqlx_query_from_row,100,,,3881200.0,ns,28
bench_trivial_query,sqlx_query_from_row,100,,,5709889.0,ns,35
bench_trivial_query,sqlx_query_from_row,100,,,6854060.0,ns,42
bench_trivial_query,sqlx_query_from_row,100,,,7874989.0,ns,49
bench_trivial_query,sqlx_query_from_row,100,,,9174760.0,ns,56
bench_trivial_query,sqlx_query_from_row,100,,,9200136.0,ns,63
bench_trivial_query,sqlx_query_from_row,100,,,11363544.0,ns,70
bench_trivial_query,sqlx_query_from_row,100,,,12422255.0,ns,77
bench_trivial_query,sqlx_query_from_row,100,,,13534706.0,ns,84
bench_trivial_query,sqlx_query_from_row,100,,,12264348.0,ns,91
bench_trivial_query,sqlx_query_from_row,100,,,13226679.0,ns,98
bench_trivial_query,sqlx_query_from_row,100,,,14227812.0,ns,105
bench_trivial_query,sqlx_query_from_row,100,,,18205591.0,ns,112
bench_trivial_query,sqlx_query_from_row,100,,,16083422.0,ns,119
bench_trivial_query,sqlx_query_from_row,100,,,20438939.0,ns,126
bench_trivial_query,sqlx_query_from_row,100,,,21327931.0,ns,133
bench_trivial_query,sqlx_query_from_row,100,,,19432836.0,ns,140
bench_trivial_query,sqlx_query_from_row,100,,,22768736.0,ns,147
bench_trivial_query,sqlx_query_from_row,100,,,25099325.0,ns,154
bench_trivial_query,sqlx_query_from_row,100,,,22156521.0,ns,161
bench_trivial_query,sqlx_query_from_row,100,,,23483921.0,ns,168
bench_trivial_query,sqlx_query_from_row,100,,,24778926.0,ns,175
bench_trivial_query,sqlx_query_from_row,100,,,24968839.0,ns,182
bench_trivial_query,sqlx_query_from_row,100,,,26574805.0,ns,189
bench_trivial_query,sqlx_query_from_row,100,,,31996843.0,ns,196
bench_trivial_query,sqlx_query_from_row,100,,,27705309.0,ns,203
bench_trivial_query,sqlx_query_from_row,100,,,33850323.0,ns,210
bench_trivial_query,sqlx_query_from_row,100,,,34919265.0,ns,217
bench_trivial_query,sqlx_query_from_row,100,,,30811650.0,ns,224
bench_trivial_query,sqlx_query_from_row,100,,,36950922.0,ns,231
bench_trivial_query,sqlx_query_from_row,100,,,32582982.0,ns,238
bench_trivial_query,sqlx_query_from_row,100,,,35332940.0,ns,245
bench_trivial_query,sqlx_query_from_row,100,,,34647983.0,ns,252
bench_trivial_query,sqlx_query_from_row,100,,,35471745.0,ns,259
bench_trivial_query,sqlx_query_from_row,100,,,40860394.0,ns,266
bench_trivial_query,sqlx_query_from_row,100,,,43625396.0,ns,273
bench_trivial_query,sqlx_query_from_row,100,,,38101184.0,ns,280
bench_trivial_query,sqlx_query_from_row,100,,,42278665.0,ns,287
bench_trivial_query,sqlx_query_from_row,100,,,39866686.0,ns,294
bench_trivial_query,sqlx_query_from_row,100,,,41163742.0,ns,301
bench_trivial_query,sqlx_query_from_row,100,,,49359071.0,ns,308
bench_trivial_query,sqlx_query_from_row,100,,,43113178.0,ns,315
bench_trivial_query,sqlx_query_from_row,100,,,51759420.0,ns,322
bench_trivial_query,sqlx_query_from_row,100,,,45208945.0,ns,329
bench_trivial_query,sqlx_query_from_row,100,,,47296472.0,ns,336
bench_trivial_query,sqlx_query_from_row,100,,,46620097.0,ns,343
bench_trivial_query,sqlx_query_from_row,100,,,47748568.0,ns,350
bench_trivial_query,sqlx_query_from_row,100,,,57317225.0,ns,357
bench_trivial_query,sqlx_query_from_row,100,,,49949856.0,ns,364
bench_trivial_query,sqlx_query_from_row,100,,,55401820.0,ns,371
bench_trivial_query,sqlx_query_from_row,100,,,60759674.0,ns,378
bench_trivial_query,sqlx_query_from_row,100,,,52388313.0,ns,385
bench_trivial_query,sqlx_query_from_row,100,,,63276942.0,ns,392
bench_trivial_query,sqlx_query_from_row,100,,,54872082.0,ns,399
bench_trivial_query,sqlx_query_from_row,100,,,55291266.0,ns,406
bench_trivial_query,sqlx_query_from_row,100,,,66080796.0,ns,413
