group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_trivial_query,sea-orm,10,,,1437995.0,ns,7
bench_trivial_query,sea-orm,10,,,2526644.0,ns,14
bench_trivial_query,sea-orm,10,,,3395192.0,ns,21
bench_trivial_query,sea-orm,10,,,4253411.0,ns,28
bench_trivial_query,sea-orm,10,,,5229900.0,ns,35
bench_trivial_query,sea-orm,10,,,6187924.0,ns,42
bench_trivial_query,sea-orm,10,,,7034672.0,ns,49
bench_trivial_query,sea-orm,10,,,8200246.0,ns,56
bench_trivial_query,sea-orm,10,,,9202764.0,ns,63
bench_trivial_query,sea-orm,10,,,10769801.0,ns,70
bench_trivial_query,sea-orm,10,,,11127000.0,ns,77
bench_trivial_query,sea-orm,10,,,12485506.0,ns,84
bench_trivial_query,sea-orm,10,,,13656019.0,ns,91
bench_trivial_query,sea-orm,10,,,14427168.0,ns,98
bench_trivial_query,sea-orm,10,,,14869222.0,ns,105
bench_trivial_query,sea-orm,10,,,17002353.0,ns,112
bench_trivial_query,sea-orm,10,,,17614145.0,ns,119
bench_trivial_query,sea-orm,10,,,17954390.0,ns,126
bench_trivial_query,sea-orm,10,,,19112436.0,ns,133
bench_trivial_query,sea-orm,10,,,19925326.0,ns,140
bench_trivial_query,sea-orm,10,,,22211053.0,ns,147
bench_trivial_query,sea-orm,10,,,23596787.0,ns,154
bench_trivial_query,sea-orm,10,,,24321099.0,ns,161
bench_trivial_query,sea-orm,10,,,30316690.0,ns,168
bench_trivial_query,sea-orm,10,,,26410909.0,ns,175
bench_trivial_query,sea-orm,10,,,27767958.0,ns,182
bench_trivial_query,sea-orm,10,,,28696765.0,ns,189
bench_trivial_query,sea-orm,10,,,29668855.0,ns,196
bench_trivial_query,sea-orm,10,,,28806538.0,ns,203
bench_trivial_query,sea-orm,10,,,31883036.0,ns,210
bench_trivial_query,sea-orm,10,,,30664081.0,ns,217
bench_trivial_query,sea-orm,10,,,34083917.0,ns,224
bench_trivial_query,sea-orm,10,,,35314663.0,ns,231
bench_trivial_query,sea-orm,10,,,36017050.0,ns,238
bench_trivial_query,sea-orm,10,,,39872219.0,ns,245
bench_trivial_query,sea-orm,10,,,37891529.0,ns,252
bench_trivial_query,sea-orm,10,,,39178233.0,ns,259
bench_trivial_query,sea-orm,10,,,39798035.0,ns,266
bench_trivial_query,sea-orm,10,,,38262700.0,ns,273
bench_trivial_query,sea-orm,10,,,41534390.0,ns,280
bench_trivial_query,sea-orm,10,,,43396097.0,ns,287
bench_trivial_query,sea-orm,10,,,44421869.0,ns,294
bench_trivial_query,sea-orm,10,,,48859133.0,ns,301
bench_trivial_query,sea-orm,10,,,44133017.0,ns,308
bench_trivial_query,sea-orm,10,,,47920715.0,ns,315
bench_trivial_query,sea-orm,10,,,47557377.0,ns,322
bench_trivial_query,sea-orm,10,,,49769730.0,ns,329
bench_trivial_query,sea-orm,10,,,47091621.0,ns,336
bench_trivial_query,sea-orm,10,,,48841159.0,ns,343
bench_trivial_query,sea-orm,10,,,50154241.0,ns,350
bench_trivial_query,sea-orm,10,,,53780570.0,ns,357
bench_trivial_query,sea-orm,10,,,52635790.0,ns,364
bench_trivial_query,sea-orm,10,,,56484242.0,ns,371
bench_trivial_query,sea-orm,10,,,56110742.0,ns,378
bench_trivial_query,sea-orm,10,,,58539352.0,ns,385
bench_trivial_query,sea-orm,10,,,55992368.0,ns,392
bench_trivial_query,sea-orm,10,,,63242643.0,ns,399
bench_trivial_query,sea-orm,10,,,60885409.0,ns,406
bench_trivial_query,sea-orm,10,,,58074122.0,ns,413
bench_trivial_query,sea-orm,10,,,61699835.0,ns,420
bench_trivial_query,sea-orm,10,,,63405832.0,ns,427
bench_trivial_query,sea-orm,10,,,62965978.0,ns,434
bench_trivial_query,sea-orm,10,,,67043749.0,ns,441
bench_trivial_query,sea-orm,10,,,67764299.0,ns,448
bench_trivial_query,sea-orm,10,,,68421386.0,ns,455
bench_trivial_query,sea-orm,10,,,65173143.0,ns,462
bench_trivial_query,sea-orm,10,,,72822888.0,ns,469
bench_trivial_query,sea-orm,10,,,71944541.0,ns,476
bench_trivial_query,sea-orm,10,,,77827728.0,ns,483
bench_trivial_query,sea-orm,10,,,73932512.0,ns,490
bench_trivial_query,sea-orm,10,,,80195888.0,ns,497
bench_trivial_query,sea-orm,10,,,72219567.0,ns,504
bench_trivial_query,sea-orm,10,,,76501874.0,ns,511
bench_trivial_query,sea-orm,10,,,82879262.0,ns,518
bench_trivial_query,sea-orm,10,,,79294638.0,ns,525
bench_trivial_query,sea-orm,10,,,77088180.0,ns,532
bench_trivial_query,sea-orm,10,,,81204103.0,ns,539
bench_trivial_query,sea-orm,10,,,84362152.0,ns,546
bench_trivial_query,sea-orm,10,,,82324089.0,ns,553
bench_trivial_query,sea-orm,10,,,83688978.0,ns,560
bench_trivial_query,sea-orm,10,,,84456145.0,ns,567
bench_trivial_query,sea-orm,10,,,88468092.0,ns,574
bench_trivial_query,sea-orm,10,,,87375470.0,ns,581
bench_trivial_query,sea-orm,10,,,84511186.0,ns,588
bench_trivial_query,sea-orm,10,,,84685795.0,ns,595
bench_trivial_query,sea-orm,10,,,88016725.0,ns,602
bench_trivial_query,sea-orm,10,,,92528975.0,ns,609
bench_trivial_query,sea-orm,10,,,93461882.0,ns,616
bench_trivial_query,sea-orm,10,,,90944964.0,ns,623
bench_trivial_query,sea-orm,10,,,92685455.0,ns,630
bench_trivial_query,sea-orm,10,,,98923673.0,ns,637
bench_trivial_query,sea-orm,10,,,96355744.0,ns,644
bench_trivial_query,sea-orm,10,,,95775821.0,ns,651
bench_trivial_query,sea-orm,10,,,99257964.0,ns,658
bench_trivial_query,sea-orm,10,,,98025289.0,ns,665
bench_trivial_query,sea-orm,10,,,101242602.0,ns,672
bench_trivial_query,sea-orm,10,,,102563396.0,ns,679
bench_trivial_query,sea-orm,10,,,105173468.0,ns,686
bench_trivial_query,sea-orm,10,,,102780857.0,ns,693
bench_trivial_query,sea-orm,10,,,108557767.0,ns,700
