group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_boxed,100,,,1041098.0,ns,39
bench_medium_complex_query,diesel_boxed,100,,,2041481.0,ns,78
bench_medium_complex_query,diesel_boxed,100,,,3031212.0,ns,117
bench_medium_complex_query,diesel_boxed,100,,,3985427.0,ns,156
bench_medium_complex_query,diesel_boxed,100,,,4999907.0,ns,195
bench_medium_complex_query,diesel_boxed,100,,,6003554.0,ns,234
bench_medium_complex_query,diesel_boxed,100,,,6999769.0,ns,273
bench_medium_complex_query,diesel_boxed,100,,,8021871.0,ns,312
bench_medium_complex_query,diesel_boxed,100,,,8950308.0,ns,351
bench_medium_complex_query,diesel_boxed,100,,,10115779.0,ns,390
bench_medium_complex_query,diesel_boxed,100,,,11000635.0,ns,429
bench_medium_complex_query,diesel_boxed,100,,,12000647.0,ns,468
bench_medium_complex_query,diesel_boxed,100,,,12978998.0,ns,507
bench_medium_complex_query,diesel_boxed,100,,,13999307.0,ns,546
bench_medium_complex_query,diesel_boxed,100,,,14986574.0,ns,585
bench_medium_complex_query,diesel_boxed,100,,,16062066.0,ns,624
bench_medium_complex_query,diesel_boxed,100,,,17012725.0,ns,663
bench_medium_complex_query,diesel_boxed,100,,,18047863.0,ns,702
bench_medium_complex_query,diesel_boxed,100,,,19025512.0,ns,741
bench_medium_complex_query,diesel_boxed,100,,,20234234.0,ns,780
bench_medium_complex_query,diesel_boxed,100,,,21071380.0,ns,819
bench_medium_complex_query,diesel_boxed,100,,,22232203.0,ns,858
bench_medium_complex_query,diesel_boxed,100,,,22927073.0,ns,897
bench_medium_complex_query,diesel_boxed,100,,,24106370.0,ns,936
bench_medium_complex_query,diesel_boxed,100,,,26964908.0,ns,975
bench_medium_complex_query,diesel_boxed,100,,,25868266.0,ns,1014
bench_medium_complex_query,diesel_boxed,100,,,27128545.0,ns,1053
bench_medium_complex_query,diesel_boxed,100,,,28126192.0,ns,1092
bench_medium_complex_query,diesel_boxed,100,,,28820381.0,ns,1131
bench_medium_complex_query,diesel_boxed,100,,,30003675.0,ns,1170
