group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench_medium_complex_query,diesel_async_boxed,1,,,2149316.0,ns,9
bench_medium_complex_query,diesel_async_boxed,1,,,3138219.0,ns,18
bench_medium_complex_query,diesel_async_boxed,1,,,4043918.0,ns,27
bench_medium_complex_query,diesel_async_boxed,1,,,4845850.0,ns,36
bench_medium_complex_query,diesel_async_boxed,1,,,5914364.0,ns,45
bench_medium_complex_query,diesel_async_boxed,1,,,6755311.0,ns,54
bench_medium_complex_query,diesel_async_boxed,1,,,7569239.0,ns,63
bench_medium_complex_query,diesel_async_boxed,1,,,8793319.0,ns,72
bench_medium_complex_query,diesel_async_boxed,1,,,9516598.0,ns,81
bench_medium_complex_query,diesel_async_boxed,1,,,10515180.0,ns,90
bench_medium_complex_query,diesel_async_boxed,1,,,11360816.0,ns,99
bench_medium_complex_query,diesel_async_boxed,1,,,12849053.0,ns,108
bench_medium_complex_query,diesel_async_boxed,1,,,13472122.0,ns,117
bench_medium_complex_query,diesel_async_boxed,1,,,14434475.0,ns,126
bench_medium_complex_query,diesel_async_boxed,1,,,16077918.0,ns,135
bench_medium_complex_query,diesel_async_boxed,1,,,17416484.0,ns,144
bench_medium_complex_query,diesel_async_boxed,1,,,17415114.0,ns,153
bench_medium_complex_query,diesel_async_boxed,1,,,17862364.0,ns,162
bench_medium_complex_query,diesel_async_boxed,1,,,19753029.0,ns,171
bench_medium_complex_query,diesel_async_boxed,1,,,19824730.0,ns,180
bench_medium_complex_query,diesel_async_boxed,1,,,20960199.0,ns,189
bench_medium_complex_query,diesel_async_boxed,1,,,22292029.0,ns,198
bench_medium_complex_query,diesel_async_boxed,1,,,23040015.0,ns,207
bench_medium_complex_query,diesel_async_boxed,1,,,23945862.0,ns,216
bench_medium_complex_query,diesel_async_boxed,1,,,25041255.0,ns,225
bench_medium_complex_query,diesel_async_boxed,1,,,26380440.0,ns,234
bench_medium_complex_query,diesel_async_boxed,1,,,27358744.0,ns,243
bench_medium_complex_query,diesel_async_boxed,1,,,28502968.0,ns,252
bench_medium_complex_query,diesel_async_boxed,1,,,30369254.0,ns,261
bench_medium_complex_query,diesel_async_boxed,1,,,30095967.0,ns,270
bench_medium_complex_query,diesel_async_boxed,1,,,31300242.0,ns,279
bench_medium_complex_query,diesel_async_boxed,1,,,32040709.0,ns,288
bench_medium_complex_query,diesel_async_boxed,1,,,32999138.0,ns,297
bench_medium_complex_query,diesel_async_boxed,1,,,34901785.0,ns,306
bench_medium_complex_query,diesel_async_boxed,1,,,35789879.0,ns,315
bench_medium_complex_query,diesel_async_boxed,1,,,37687697.0,ns,324
bench_medium_complex_query,diesel_async_boxed,1,,,36474085.0,ns,333
bench_medium_complex_query,diesel_async_boxed,1,,,38256014.0,ns,342
bench_medium_complex_query,diesel_async_boxed,1,,,39160723.0,ns,351
bench_medium_complex_query,diesel_async_boxed,1,,,40014896.0,ns,360
bench_medium_complex_query,diesel_async_boxed,1,,,41733406.0,ns,369
bench_medium_complex_query,diesel_async_boxed,1,,,43156751.0,ns,378
bench_medium_complex_query,diesel_async_boxed,1,,,43866414.0,ns,387
bench_medium_complex_query,diesel_async_boxed,1,,,43745971.0,ns,396
bench_medium_complex_query,diesel_async_boxed,1,,,45075647.0,ns,405
bench_medium_complex_query,diesel_async_boxed,1,,,46053628.0,ns,414
bench_medium_complex_query,diesel_async_boxed,1,,,46691718.0,ns,423
bench_medium_complex_query,diesel_async_boxed,1,,,47659787.0,ns,432
bench_medium_complex_query,diesel_async_boxed,1,,,49122911.0,ns,441
bench_medium_complex_query,diesel_async_boxed,1,,,50170797.0,ns,450
bench_medium_complex_query,diesel_async_boxed,1,,,50330861.0,ns,459
bench_medium_complex_query,diesel_async_boxed,1,,,52882859.0,ns,468
bench_medium_complex_query,diesel_async_boxed,1,,,53379132.0,ns,477
bench_medium_complex_query,diesel_async_boxed,1,,,54797779.0,ns,486
bench_medium_complex_query,diesel_async_boxed,1,,,55241198.0,ns,495
bench_medium_complex_query,diesel_async_boxed,1,,,55956148.0,ns,504
bench_medium_complex_query,diesel_async_boxed,1,,,56278587.0,ns,513
bench_medium_complex_query,diesel_async_boxed,1,,,57943314.0,ns,522
bench_medium_complex_query,diesel_async_boxed,1,,,58159096.0,ns,531
bench_medium_complex_query,diesel_async_boxed,1,,,60441430.0,ns,540
bench_medium_complex_query,diesel_async_boxed,1,,,60900707.0,ns,549
bench_medium_complex_query,diesel_async_boxed,1,,,61070521.0,ns,558
bench_medium_complex_query,diesel_async_boxed,1,,,62691432.0,ns,567
bench_medium_complex_query,diesel_async_boxed,1,,,62817830.0,ns,576
bench_medium_complex_query,diesel_async_boxed,1,,,63798095.0,ns,585
bench_medium_complex_query,diesel_async_boxed,1,,,65755685.0,ns,594
bench_medium_complex_query,diesel_async_boxed,1,,,65614681.0,ns,603
bench_medium_complex_query,diesel_async_boxed,1,,,68902187.0,ns,612
bench_medium_complex_query,diesel_async_boxed,1,,,69436567.0,ns,621
bench_medium_complex_query,diesel_async_boxed,1,,,69442964.0,ns,630
bench_medium_complex_query,diesel_async_boxed,1,,,70392885.0,ns,639
bench_medium_complex_query,diesel_async_boxed,1,,,71157362.0,ns,648
bench_medium_complex_query,diesel_async_boxed,1,,,71642544.0,ns,657
bench_medium_complex_query,diesel_async_boxed,1,,,73289488.0,ns,666
bench_medium_complex_query,diesel_async_boxed,1,,,73917076.0,ns,675
bench_medium_complex_query,diesel_async_boxed,1,,,74852757.0,ns,684
bench_medium_complex_query,diesel_async_boxed,1,,,76657233.0,ns,693
bench_medium_complex_query,diesel_async_boxed,1,,,77877868.0,ns,702
bench_medium_complex_query,diesel_async_boxed,1,,,77774556.0,ns,711
bench_medium_complex_query,diesel_async_boxed,1,,,79715953.0,ns,720
bench_medium_complex_query,diesel_async_boxed,1,,,79896823.0,ns,729
bench_medium_complex_query,diesel_async_boxed,1,,,81924820.0,ns,738
bench_medium_complex_query,diesel_async_boxed,1,,,82037935.0,ns,747
bench_medium_complex_query,diesel_async_boxed,1,,,82636238.0,ns,756
bench_medium_complex_query,diesel_async_boxed,1,,,83187706.0,ns,765
bench_medium_complex_query,diesel_async_boxed,1,,,87406720.0,ns,774
bench_medium_complex_query,diesel_async_boxed,1,,,85024862.0,ns,783
bench_medium_complex_query,diesel_async_boxed,1,,,87271508.0,ns,792
bench_medium_complex_query,diesel_async_boxed,1,,,88385446.0,ns,801
bench_medium_complex_query,diesel_async_boxed,1,,,90501278.0,ns,810
bench_medium_complex_query,diesel_async_boxed,1,,,89873507.0,ns,819
bench_medium_complex_query,diesel_async_boxed,1,,,92851048.0,ns,828
bench_medium_complex_query,diesel_async_boxed,1,,,92675850.0,ns,837
bench_medium_complex_query,diesel_async_boxed,1,,,95232326.0,ns,846
bench_medium_complex_query,diesel_async_boxed,1,,,93433312.0,ns,855
bench_medium_complex_query,diesel_async_boxed,1,,,96094991.0,ns,864
bench_medium_complex_query,diesel_async_boxed,1,,,96141320.0,ns,873
bench_medium_complex_query,diesel_async_boxed,1,,,97002084.0,ns,882
bench_medium_complex_query,diesel_async_boxed,1,,,99605815.0,ns,891
bench_medium_complex_query,diesel_async_boxed,1,,,98514491.0,ns,900
